match_id,home_team,away_team,match_date,stage,period,minute,second,type,team,interval_5min
3930158,Germany,Scotland,2024-06-14,Group Stage,1,9,55,Shot Goal,"{'id': 770, 'name': 'Germany'}",6-10
3930158,Germany,Scotland,2024-06-14,Group Stage,1,18,43,Shot Goal,"{'id': 770, 'name': 'Germany'}",16-20
3930158,Germany,Scotland,2024-06-14,Group Stage,1,45,35,Shot Goal,"{'id': 770, 'name': 'Germany'}",41-45+
3930158,Germany,Scotland,2024-06-14,Group Stage,2,67,42,Shot Goal,"{'id': 770, 'name': 'Germany'}",66-70
3930158,Germany,Scotland,2024-06-14,Group Stage,2,86,32,Own Goal,"{'id': 770, 'name': 'Germany'}",86-90+
3930158,Germany,Scotland,2024-06-14,Group Stage,2,92,32,Shot Goal,"{'id': 770, 'name': 'Germany'}",86-90+
3930159,Hungary,Switzerland,2024-06-15,Group Stage,1,11,55,Shot Goal,"{'id': 773, 'name': 'Switzerland'}",11-15
3930159,Hungary,Switzerland,2024-06-15,Group Stage,1,44,42,Shot Goal,"{'id': 773, 'name': 'Switzerland'}",41-45+
3930159,Hungary,Switzerland,2024-06-15,Group Stage,2,65,25,Shot Goal,"{'id': 916, 'name': 'Hungary'}",61-65
3930159,Hungary,Switzerland,2024-06-15,Group Stage,2,92,40,Shot Goal,"{'id': 773, 'name': 'Switzerland'}",86-90+
3930160,Spain,Croatia,2024-06-15,Group Stage,1,28,8,Shot Goal,"{'id': 772, 'name': 'Spain'}",26-30
3930160,Spain,Croatia,2024-06-15,Group Stage,1,31,24,Shot Goal,"{'id': 772, 'name': 'Spain'}",31-35
3930160,Spain,Croatia,2024-06-15,Group Stage,1,46,54,Shot Goal,"{'id': 772, 'name': 'Spain'}",41-45+
3930161,Italy,Albania,2024-06-15,Group Stage,1,0,23,Shot Goal,"{'id': 906, 'name': 'Albania'}",1-5
3930161,Italy,Albania,2024-06-15,Group Stage,1,10,15,Shot Goal,"{'id': 914, 'name': 'Italy'}",6-10
3930161,Italy,Albania,2024-06-15,Group Stage,1,15,52,Shot Goal,"{'id': 914, 'name': 'Italy'}",11-15
3930162,Slovenia,Denmark,2024-06-16,Group Stage,1,16,36,Shot Goal,"{'id': 776, 'name': 'Denmark'}",16-20
3930162,Slovenia,Denmark,2024-06-16,Group Stage,2,76,26,Shot Goal,"{'id': 944, 'name': 'Slovenia'}",76-80
3930163,Serbia,England,2024-06-16,Group Stage,1,12,11,Shot Goal,"{'id': 768, 'name': 'England'}",11-15
3938637,Poland,Netherlands,2024-06-16,Group Stage,1,15,50,Shot Goal,"{'id': 789, 'name': 'Poland'}",11-15
3938637,Poland,Netherlands,2024-06-16,Group Stage,1,28,49,Shot Goal,"{'id': 941, 'name': 'Netherlands'}",26-30
3938637,Poland,Netherlands,2024-06-16,Group Stage,2,82,42,Shot Goal,"{'id': 941, 'name': 'Netherlands'}",81-85
3930164,Belgium,Slovakia,2024-06-17,Group Stage,1,6,5,Shot Goal,"{'id': 908, 'name': 'Slovakia'}",6-10
3930165,Austria,France,2024-06-17,Group Stage,1,37,31,Own Goal,"{'id': 915, 'name': 'Austria'}",36-40
3938638,Romania,Ukraine,2024-06-17,Group Stage,1,28,46,Shot Goal,"{'id': 905, 'name': 'Romania'}",26-30
