match_id,home_team,away_team,match_date,stage,period,period_name,minute,second,team,player,card_type,event_type,event_uuid
3942819,Netherlands,England,2024-07-10,Semi-finals,1,Period 1,13,43,"{'id': 941, 'name': 'Netherlands'}","{'id': 8125, 'name': 'Denzel Dumfries'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",3c32bb56-aae3-4740-a9fb-9e0e45e5819c
3942819,Netherlands,England,2024-07-10,Semi-finals,2,Period 2,71,5,"{'id': 768, 'name': 'England'}","{'id': 30714, 'name': 'Jude Bellingham'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",b5f120e9-84f6-45ce-8e05-2cf0017ce60d
3942819,Netherlands,England,2024-07-10,Semi-finals,2,Period 2,85,0,"{'id': 768, 'name': 'England'}","{'id': 22084, 'name': 'Bukayo Saka'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",0d94c5ea-9d53-44ff-a3f2-65a5490d3edc
3942819,Netherlands,England,2024-07-10,Semi-finals,2,Period 2,86,26,"{'id': 941, 'name': 'Netherlands'}","{'id': 3669, 'name': 'Virgil van Dijk'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3942819,Netherlands,England,2024-07-10,Semi-finals,2,Period 2,90,18,"{'id': 941, 'name': 'Netherlands'}","{'id': 39167, 'name': 'Xavi Simons'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3942819,Netherlands,England,2024-07-10,Semi-finals,2,Period 2,93,41,"{'id': 768, 'name': 'England'}","{'id': 3308, 'name': 'Kieran Trippier'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3943043,Spain,England,2024-07-14,Final,1,Period 1,24,38,"{'id': 768, 'name': 'England'}","{'id': 10955, 'name': 'Harry Kane'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",
3943043,Spain,England,2024-07-14,Final,1,Period 1,29,57,"{'id': 772, 'name': 'Spain'}","{'id': 16532, 'name': 'Daniel Olmo Carvajal'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",0117c288-22a0-47d9-be1c-b55c9f9a3601
3943043,Spain,England,2024-07-14,Final,2,Period 2,52,31,"{'id': 768, 'name': 'England'}","{'id': 3244, 'name': 'John Stones'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",379b81f7-13a7-4a85-8ba2-7bbb30da96ef
3943043,Spain,England,2024-07-14,Final,2,Period 2,90,54,"{'id': 768, 'name': 'England'}","{'id': 4760, 'name': 'Ollie Watkins'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",e37a110e-5595-46a2-96fd-2822c62bf496
3942752,Spain,France,2024-07-09,Semi-finals,1,Period 1,12,59,"{'id': 772, 'name': 'Spain'}","{'id': 6821, 'name': 'Jesús Navas González'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",6294a013-ca09-4ab4-9106-b6ff94f47cde
3942752,Spain,France,2024-07-09,Semi-finals,2,Period 2,59,41,"{'id': 771, 'name': 'France'}","{'id': 10481, 'name': 'Aurélien Djani Tchouaméni'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",dd3b58b4-dcee-499f-981a-5883731edadb
3942752,Spain,France,2024-07-09,Semi-finals,2,Period 2,88,30,"{'id': 771, 'name': 'France'}","{'id': 24778, 'name': 'Eduardo Camavinga'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",0283ac20-cf04-43cd-9898-1e45df7ffcdb
3942752,Spain,France,2024-07-09,Semi-finals,2,Period 2,90,12,"{'id': 772, 'name': 'Spain'}","{'id': 316046, 'name': 'Lamine Yamal Nasraoui Ebana'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",cd4c19de-3162-4fe8-8d1c-84b088b74f5d
3942382,Netherlands,Turkey,2024-07-06,Quarter-finals,1,Period 1,29,24,"{'id': 941, 'name': 'Netherlands'}","{'id': 39167, 'name': 'Xavi Simons'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",53509b81-a16e-4d2a-b6f0-93502212068d
3942382,Netherlands,Turkey,2024-07-06,Quarter-finals,2,Period 2,53,56,"{'id': 941, 'name': 'Netherlands'}","{'id': 3306, 'name': 'Nathan Aké'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",2a3268a2-e609-44a7-b79a-b73c86508b61
3942382,Netherlands,Turkey,2024-07-06,Quarter-finals,2,Period 2,63,8,"{'id': 941, 'name': 'Netherlands'}","{'id': 3669, 'name': 'Virgil van Dijk'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",5d42cb19-0c59-4262-8a51-bf44b99cb762
3942382,Netherlands,Turkey,2024-07-06,Quarter-finals,2,Period 2,92,53,"{'id': 909, 'name': 'Turkey'}","{'id': 3648, 'name': 'Cenk Tosun'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3942382,Netherlands,Turkey,2024-07-06,Quarter-finals,2,Period 2,95,12,"{'id': 941, 'name': 'Netherlands'}","{'id': 7829, 'name': 'Wout Weghorst'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",162db422-513f-43ba-9dc8-9868a9fe9390
3942382,Netherlands,Turkey,2024-07-06,Quarter-finals,2,Period 2,95,21,"{'id': 909, 'name': 'Turkey'}","{'id': 133168, 'name': 'Bertuğ Özgür Yıldırım'}",Red Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3942349,Portugal,France,2024-07-05,Quarter-finals,2,Period 2,78,52,"{'id': 780, 'name': 'Portugal'}","{'id': 12169, 'name': 'João Maria Lobo Alves Palhinha Gonçalves'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",0f41d7bd-188c-472c-8050-3a081bd1f76c
3942349,Portugal,France,2024-07-05,Quarter-finals,2,Period 2,83,7,"{'id': 771, 'name': 'France'}","{'id': 17592, 'name': 'William Saliba'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",5024e547-08a6-480f-a839-f4cdaa5ffe36
3930180,Netherlands,Austria,2024-06-25,Group Stage,1,Period 1,31,24,"{'id': 915, 'name': 'Austria'}","{'id': 11821, 'name': 'Stefan Posch'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",786ebdf2-e048-4deb-91cd-ee9fbc8035b2
3930180,Netherlands,Austria,2024-06-25,Group Stage,1,Period 1,32,40,"{'id': 915, 'name': 'Austria'}","{'id': 33297, 'name': 'Patrick Wimmer'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",5898067f-14ef-4a20-ae12-6de6a0f3b01a
3930180,Netherlands,Austria,2024-06-25,Group Stage,2,Period 2,93,54,"{'id': 915, 'name': 'Austria'}","{'id': 152512, 'name': 'Leopold Querfeld'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3930171,Denmark,England,2024-06-20,Group Stage,1,Period 1,26,2,"{'id': 776, 'name': 'Denmark'}","{'id': 8815, 'name': 'Jannik Vestergaard'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",e96ae03b-a16e-4017-9827-264a73cec864
3930171,Denmark,England,2024-06-20,Group Stage,2,Period 2,60,55,"{'id': 768, 'name': 'England'}","{'id': 29399, 'name': 'Conor Gallagher'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",
3930171,Denmark,England,2024-06-20,Group Stage,2,Period 2,72,33,"{'id': 776, 'name': 'Denmark'}","{'id': 16554, 'name': 'Joakim Mæhle'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",24e10270-5c62-40fb-8826-7097e85d4cab
