match_id,home_team,away_team,home_score,away_score,match_result,home_num_sequences,away_num_sequences,home_longest_seq,away_longest_seq,home_avg_seq_len,away_avg_seq_len,total_windows,longest_winner,more_seq_winner,longest_margin,longest_outcome,more_seq_outcome
3930158,Germany,Scotland,5,1,home_win,22,15,6,10,2.3181818181818183,3.2666666666666666,89,away,home,4,LOSE,WIN
3930159,Hungary,Switzerland,1,3,away_win,14,17,8,6,3.5714285714285716,2.823529411764706,93,home,away,2,LOSE,WIN
3930160,Spain,Croatia,3,0,home_win,22,15,7,9,2.227272727272727,3.3333333333333335,91,away,home,2,LOSE,WIN
3930161,Italy,Albania,2,1,home_win,18,17,9,10,2.888888888888889,3.176470588235294,91,away,home,1,LOSE,WIN
3930162,Slovenia,Denmark,1,1,draw,16,14,6,7,2.875,3.2857142857142856,90,away,home,1,DRAW,DRAW
3930163,Serbia,England,0,1,away_win,16,15,8,6,2.9375,3.1333333333333333,90,home,home,2,LOSE,LOSE
3930164,Belgium,Slovakia,0,1,away_win,16,17,10,8,3.0,2.764705882352941,94,home,away,2,LOSE,WIN
3930165,Austria,France,0,1,away_win,16,17,6,9,3.125,3.176470588235294,95,away,away,3,WIN,WIN
3930166,Portugal,Czech Republic,2,1,home_win,15,18,7,6,3.066666666666667,2.6666666666666665,91,home,away,1,WIN,LOSE
3930167,Croatia,Albania,2,2,draw,16,15,10,7,3.0625,3.3333333333333335,94,home,home,3,DRAW,DRAW
3930168,Germany,Hungary,2,0,home_win,16,17,7,8,2.9375,2.823529411764706,89,away,away,1,LOSE,LOSE
3930169,Scotland,Switzerland,1,1,draw,16,16,15,8,3.1875,2.9375,90,home,tie,7,DRAW,TIE
3930170,Slovenia,Serbia,1,1,draw,17,13,9,13,2.9411764705882355,4.153846153846154,92,away,home,4,DRAW,DRAW
3930171,Denmark,England,1,1,draw,19,18,6,7,2.4210526315789473,2.5555555555555554,89,away,home,1,DRAW,DRAW
3930172,Spain,Italy,1,0,home_win,17,15,8,7,2.5294117647058822,3.2,92,home,home,1,WIN,WIN
