match_id,team_id,team_name,player_id,player_name,jersey_number,position,stage
3942819,941,Netherlands,2988,Memphis Depay,10,Center Forward,Semi-finals
3942819,941,Netherlands,3306,Nathan Aké,5,Left Back,Semi-finals
3942819,941,Netherlands,3311,Daley Blind,17,,Semi-finals
3942819,941,Netherlands,3567,Georginio Wijnaldum,8,,Semi-finals
3942819,941,Netherlands,3669,Virgil van Dijk,4,Left Center Back,Semi-finals
3942819,941,Netherlands,7787,Stefan de Vrij,6,Right Center Back,Semi-finals
3942819,941,Netherlands,7829,Wout Weghorst,9,Center Forward,Semi-finals
3942819,941,Netherlands,8069,Matthijs de Ligt,3,,Semi-finals
3942819,941,Netherlands,8125,Denzel Dumfries,22,Right Back,Semi-finals
3942819,941,Netherlands,8259,Steven Bergwijn,25,,Semi-finals
3942819,941,Netherlands,15503,Jerdy Schouten,24,Right Defensive Midfield,Semi-finals
3942819,941,Netherlands,15582,Donyell Malen,18,Right Wing,Semi-finals
3942819,941,Netherlands,16185,Justin Bijlow,13,,Semi-finals
3942819,941,Netherlands,20750,Cody Mathès Gakpo,11,Left Wing,Semi-finals
3942819,941,Netherlands,21582,Tijjani Reijnders,14,Left Defensive Midfield,Semi-finals
3942819,941,Netherlands,21633,Joey Veerman,16,Center Forward,Semi-finals
3942819,941,Netherlands,21880,Brian Brobbey,19,Right Wing,Semi-finals
3942819,941,Netherlands,22352,Lutsharel Geertruida,2,,Semi-finals
3942819,941,Netherlands,23230,Ryan Gravenberch,26,,Semi-finals
3942819,941,Netherlands,25000,Mark Flekken,23,,Semi-finals
3942819,941,Netherlands,32547,Micky van de Ven,15,,Semi-finals
3942819,941,Netherlands,32712,Jeremie Frimpong,12,,Semi-finals
3942819,941,Netherlands,33281,Joshua Zirkzee,21,Right Back,Semi-finals
3942819,941,Netherlands,37274,Bart Verbruggen,1,Goalkeeper,Semi-finals
3942819,941,Netherlands,39092,Ian Maatsen,20,,Semi-finals
3942819,941,Netherlands,39167,Xavi Simons,7,Center Attacking Midfield,Semi-finals
3942819,768,England,3088,Lewis Dunk,15,,Semi-finals
3942819,768,England,3205,Kyle Walker,2,Right Center Back,Semi-finals
3942819,768,England,3244,John Stones,5,Center Back,Semi-finals
3942819,768,England,3308,Kieran Trippier,12,Left Wing Back,Semi-finals
3942819,768,England,3382,Luke Shaw,3,Left Wing Back,Semi-finals
3942819,768,England,3468,Jordan Pickford,1,Goalkeeper,Semi-finals
3942819,768,England,3495,Joe Gomez,22,,Semi-finals
3942819,768,England,3664,Trent Alexander-Arnold,8,,Semi-finals
3942819,768,England,3822,Ezri Konsa Ngoyo,14,Right Wing Back,Semi-finals
3942819,768,England,3834,Ivan Toney,17,,Semi-finals
3942819,768,England,3943,Declan Rice,4,Left Defensive Midfield,Semi-finals
3942819,768,England,4073,Dean Henderson,23,,Semi-finals
3942819,768,England,4354,Phil Foden,11,Right Attacking Midfield,Semi-finals
3942819,768,England,4760,Ollie Watkins,19,Center Forward,Semi-finals
3942819,768,England,9000,Eberechi Eze,21,,Semi-finals
3942819,768,England,9640,Jarrod Bowen,20,,Semi-finals
3942819,768,England,10955,Harry Kane,9,Center Forward,Semi-finals
3942819,768,England,22084,Bukayo Saka,7,Right Wing Back,Semi-finals
3942819,768,England,22783,Aaron Ramsdale,13,,Semi-finals
3942819,768,England,28104,Anthony Gordon,18,,Semi-finals
3942819,768,England,29399,Conor Gallagher,16,Right Defensive Midfield,Semi-finals
3942819,768,England,30714,Jude Bellingham,10,Left Attacking Midfield,Semi-finals
3942819,768,England,34526,Marc Guehi,6,Left Center Back,Semi-finals
3942819,768,England,39461,Cole Palmer,24,Right Attacking Midfield,Semi-finals
3942819,768,England,77723,Adam Wharton,25,,Semi-finals
3942819,768,England,99174,Kobbie Mainoo,26,Right Defensive Midfield,Semi-finals
3943043,772,Spain,3042,Mikel Merino Zazón,6,Right Wing,Final
3943043,772,Spain,3265,José Luis Sanmartín Mato,9,,Final
3943043,772,Spain,3477,Álvaro Borja Morata Martín,7,Center Forward,Final
3943043,772,Spain,4127,David Raya Martin,1,,Final
3943043,772,Spain,4353,Aymeric Laporte,14,Left Center Back,Final
3943043,772,Spain,5202,José Ignacio Fernández Iglesias,4,Right Center Back,Final
3943043,772,Spain,5721,Daniel Carvajal Ramos,2,Right Back,Final
3943043,772,Spain,6655,Fabián Ruiz Peña,8,Left Defensive Midfield,Final
3943043,772,Spain,6685,Mikel Oyarzabal Ugarte,21,Center Forward,Final
3943043,772,Spain,6748,Ferrán Torres García,11,,Final
3943043,772,Spain,6765,Rodrigo Hernández Cascante,16,Right Defensive Midfield,Final
3943043,772,Spain,6821,Jesús Navas González,22,,Final
3943043,772,Spain,10336,Alejandro Grimaldo García,12,,Final
3943043,772,Spain,11748,Unai Simón Mendibil,23,Goalkeeper,Final
3943043,772,Spain,16532,Daniel Olmo Carvajal,10,Center Attacking Midfield,Final
3943043,772,Spain,17620,Marc Cucurella Saseta,24,Left Back,Final
3943043,772,Spain,22128,Robin Aime Robert Le Normand,3,Right Center Back,Final
3943043,772,Spain,24921,Martín Zubimendi Ibáñez,18,Right Defensive Midfield,Final
3943043,772,Spain,32185,Alejandro Remiro Gargallo,13,,Final
3943043,772,Spain,41115,Alejandro Baena Rodríguez,15,,Final
3943043,772,Spain,41542,Daniel Vivian Moreno,5,,Final
3943043,772,Spain,68574,Nicholas Williams Arthuer,17,Left Wing,Final
3943043,772,Spain,143864,Fermin Lopez Marin,25,,Final
3943043,772,Spain,316046,Lamine Yamal Nasraoui Ebana,19,Right Wing,Final
3943043,768,England,3088,Lewis Dunk,15,,Final
3943043,768,England,3205,Kyle Walker,2,Right Back,Final
3943043,768,England,3244,John Stones,5,Right Center Back,Final
3943043,768,England,3308,Kieran Trippier,12,,Final
3943043,768,England,3382,Luke Shaw,3,Left Back,Final
3943043,768,England,3468,Jordan Pickford,1,Goalkeeper,Final
3943043,768,England,3495,Joe Gomez,22,,Final
3943043,768,England,3664,Trent Alexander-Arnold,8,,Final
3943043,768,England,3822,Ezri Konsa Ngoyo,14,,Final
3943043,768,England,3834,Ivan Toney,17,Left Wing,Final
3943043,768,England,3943,Declan Rice,4,Left Defensive Midfield,Final
3943043,768,England,4073,Dean Henderson,23,,Final
3943043,768,England,4354,Phil Foden,11,Center Attacking Midfield,Final
3943043,768,England,4760,Ollie Watkins,19,Center Forward,Final
3943043,768,England,9000,Eberechi Eze,21,,Final
3943043,768,England,9640,Jarrod Bowen,20,,Final
3943043,768,England,10955,Harry Kane,9,Center Forward,Final
3943043,768,England,22084,Bukayo Saka,7,Right Wing,Final
3943043,768,England,22783,Aaron Ramsdale,13,,Final
3943043,768,England,28104,Anthony Gordon,18,,Final
3943043,768,England,29399,Conor Gallagher,16,,Final
3943043,768,England,30714,Jude Bellingham,10,Left Wing,Final
3943043,768,England,34526,Marc Guehi,6,Left Center Back,Final
3943043,768,England,39461,Cole Palmer,24,Right Defensive Midfield,Final
3943043,768,England,77723,Adam Wharton,25,,Final
3943043,768,England,99174,Kobbie Mainoo,26,Right Defensive Midfield,Final
3942752,771,France,2972,Marcus Thuram,15,,Semi-finals
3942752,771,France,3009,Kylian Mbappé Lottin,10,Left Wing,Semi-finals
3942752,771,France,3026,Adrien Rabiot,14,Left Center Midfield,Semi-finals
3942752,771,France,3379,Alphonse Areola,23,,Semi-finals
3942752,771,France,3604,Olivier Giroud,9,Right Wing,Semi-finals
3942752,771,France,3761,Mike Maignan,16,Goalkeeper,Semi-finals
3942752,771,France,3804,Ferland Mendy,3,,Semi-finals
3942752,771,France,3961,N'Golo Kanté,13,Right Center Midfield,Semi-finals
3942752,771,France,4445,Jules Koundé,5,Right Back,Semi-finals
3942752,771,France,4893,Brice Samba,1,,Semi-finals
3942752,771,France,5476,Benjamin Pavard,2,,Semi-finals
3942752,771,France,5477,Ousmane Dembélé,11,Right Wing,Semi-finals
3942752,771,France,5487,Antoine Griezmann,7,Right Center Midfield,Semi-finals
3942752,771,France,6704,Theo Bernard François Hernández,22,Left Back,Semi-finals
3942752,771,France,7252,Jonathan Clauss,21,,Semi-finals
3942752,771,France,8217,Kingsley Coman,20,,Semi-finals
3942752,771,France,8519,Dayotchanculle Upamecano,4,Right Center Back,Semi-finals
3942752,771,France,10481,Aurélien Djani Tchouaméni,8,Center Defensive Midfield,Semi-finals
3942752,771,France,11135,Ibrahima Konaté,24,,Semi-finals
3942752,771,France,11990,Youssouf Fofana,19,,Semi-finals
3942752,771,France,17592,William Saliba,17,Left Center Back,Semi-finals
3942752,771,France,22097,Randal Kolo Muani,12,Center Forward,Semi-finals
3942752,771,France,24778,Eduardo Camavinga,6,Left Center Midfield,Semi-finals
3942752,771,France,39420,Bradley Barcola,25,Center Forward,Semi-finals
3942752,771,France,144059,Warren Zaire Emery,18,,Semi-finals
3942752,772,Spain,3042,Mikel Merino Zazón,6,Center Attacking Midfield,Semi-finals
3942752,772,Spain,3076,Ayoze Pérez Gutiérrez,26,,Semi-finals
3942752,772,Spain,3265,José Luis Sanmartín Mato,9,,Semi-finals
3942752,772,Spain,3477,Álvaro Borja Morata Martín,7,Center Forward,Semi-finals
3942752,772,Spain,4127,David Raya Martin,1,,Semi-finals
3942752,772,Spain,4353,Aymeric Laporte,14,Left Center Back,Semi-finals
3942752,772,Spain,5202,José Ignacio Fernández Iglesias,4,Right Center Back,Semi-finals
3942752,772,Spain,6655,Fabián Ruiz Peña,8,Left Defensive Midfield,Semi-finals
3942752,772,Spain,6685,Mikel Oyarzabal Ugarte,21,Center Forward,Semi-finals
3942752,772,Spain,6748,Ferrán Torres García,11,Right Wing,Semi-finals
3942752,772,Spain,6765,Rodrigo Hernández Cascante,16,Right Defensive Midfield,Semi-finals
3942752,772,Spain,6821,Jesús Navas González,22,Right Back,Semi-finals
3942752,772,Spain,10336,Alejandro Grimaldo García,12,,Semi-finals
3942752,772,Spain,11748,Unai Simón Mendibil,23,Goalkeeper,Semi-finals
3942752,772,Spain,16532,Daniel Olmo Carvajal,10,Center Attacking Midfield,Semi-finals
3942752,772,Spain,17620,Marc Cucurella Saseta,24,Left Back,Semi-finals
3942752,772,Spain,24921,Martín Zubimendi Ibáñez,18,Left Wing,Semi-finals
3942752,772,Spain,32185,Alejandro Remiro Gargallo,13,,Semi-finals
3942752,772,Spain,41115,Alejandro Baena Rodríguez,15,,Semi-finals
3942752,772,Spain,41542,Daniel Vivian Moreno,5,Right Back,Semi-finals
3942752,772,Spain,68574,Nicholas Williams Arthuer,17,Left Wing,Semi-finals
3942752,772,Spain,143864,Fermin Lopez Marin,25,,Semi-finals
3942752,772,Spain,316046,Lamine Yamal Nasraoui Ebana,19,Right Wing,Semi-finals
3942382,941,Netherlands,2988,Memphis Depay,10,Center Forward,Quarter-finals
3942382,941,Netherlands,3306,Nathan Aké,5,Left Back,Quarter-finals
3942382,941,Netherlands,3311,Daley Blind,17,,Quarter-finals
3942382,941,Netherlands,3567,Georginio Wijnaldum,8,,Quarter-finals
3942382,941,Netherlands,3669,Virgil van Dijk,4,Left Center Back,Quarter-finals
3942382,941,Netherlands,7787,Stefan de Vrij,6,Right Center Back,Quarter-finals
3942382,941,Netherlands,7829,Wout Weghorst,9,Right Wing,Quarter-finals
3942382,941,Netherlands,8069,Matthijs de Ligt,3,,Quarter-finals
3942382,941,Netherlands,8125,Denzel Dumfries,22,Right Back,Quarter-finals
3942382,941,Netherlands,8259,Steven Bergwijn,25,Right Wing,Quarter-finals
3942382,941,Netherlands,15503,Jerdy Schouten,24,Right Defensive Midfield,Quarter-finals
3942382,941,Netherlands,15582,Donyell Malen,18,,Quarter-finals
3942382,941,Netherlands,16185,Justin Bijlow,13,,Quarter-finals
3942382,941,Netherlands,20750,Cody Mathès Gakpo,11,Left Wing,Quarter-finals
3942382,941,Netherlands,21582,Tijjani Reijnders,14,Left Defensive Midfield,Quarter-finals
3942382,941,Netherlands,21633,Joey Veerman,16,Left Defensive Midfield,Quarter-finals
3942382,941,Netherlands,21880,Brian Brobbey,19,,Quarter-finals
3942382,941,Netherlands,22352,Lutsharel Geertruida,2,,Quarter-finals
3942382,941,Netherlands,23230,Ryan Gravenberch,26,,Quarter-finals
3942382,941,Netherlands,25000,Mark Flekken,23,,Quarter-finals
3942382,941,Netherlands,32547,Micky van de Ven,15,Left Back,Quarter-finals
3942382,941,Netherlands,32712,Jeremie Frimpong,12,Center Attacking Midfield,Quarter-finals
3942382,941,Netherlands,33281,Joshua Zirkzee,21,Right Wing,Quarter-finals
3942382,941,Netherlands,37274,Bart Verbruggen,1,Goalkeeper,Quarter-finals
3942382,941,Netherlands,39167,Xavi Simons,7,Center Attacking Midfield,Quarter-finals
3942382,909,Turkey,3648,Cenk Tosun,9,Center Back,Quarter-finals
3942382,909,Turkey,7039,Hakan Çalhanoğlu,10,Left Defensive Midfield,Quarter-finals
3942382,909,Turkey,9085,Salih Özcan,15,Right Defensive Midfield,Quarter-finals
3942382,909,Turkey,10349,Mehmet Zeki Çelik,2,Right Wing Back,Quarter-finals
3942382,909,Turkey,10826,Mert Müldür,18,Right Wing Back,Quarter-finals
3942382,909,Turkey,12293,Kaan Ayhan,22,Right Center Back,Quarter-finals
3942382,909,Turkey,12555,Okay Yokuşlu,5,Right Defensive Midfield,Quarter-finals
3942382,909,Turkey,18723,Yunus Akgün,25,,Quarter-finals
3942382,909,Turkey,29989,Yusuf Yazıcı,11,,Quarter-finals
3942382,909,Turkey,30310,Fehmi Mert Günok,1,Goalkeeper,Quarter-finals
3942382,909,Turkey,30311,İrfan Can Kahveci,17,,Quarter-finals
3942382,909,Turkey,30357,Uğurcan Çakır,23,,Quarter-finals
3942382,909,Turkey,30438,Ferdi Erenay Kadıoğlu,20,Left Wing Back,Quarter-finals
3942382,909,Turkey,30442,Altay Bayındır,12,,Quarter-finals
3942382,909,Turkey,47383,Ahmetcan Kaplan,13,,Quarter-finals
3942382,909,Turkey,48383,Abdülkerim Bardakcı,14,Left Center Back,Quarter-finals
3942382,909,Turkey,49689,Muhammed Kerem Aktürkoğlu,7,Left Wing,Quarter-finals
3942382,909,Turkey,116587,Arda Güler,8,Right Wing,Quarter-finals
3942382,909,Turkey,133168,Bertuğ Özgür Yıldırım,26,,Quarter-finals
3942382,909,Turkey,133305,Samet Akaydin,4,Center Back,Quarter-finals
3942382,909,Turkey,134209,Barış Alper Yılmaz,21,Center Forward,Quarter-finals
3942382,909,Turkey,149576,Semih Kılıçsoy,24,Right Center Back,Quarter-finals
3942382,909,Turkey,151813,Kenan Yildiz,19,Left Wing,Quarter-finals
3942349,771,France,2972,Marcus Thuram,15,Center Forward,Quarter-finals
3942349,771,France,3009,Kylian Mbappé Lottin,10,Left Center Forward,Quarter-finals
3942349,771,France,3379,Alphonse Areola,23,,Quarter-finals
3942349,771,France,3604,Olivier Giroud,9,,Quarter-finals
3942349,771,France,3761,Mike Maignan,16,Goalkeeper,Quarter-finals
3942349,771,France,3804,Ferland Mendy,3,,Quarter-finals
3942349,771,France,3961,N'Golo Kanté,13,Right Center Midfield,Quarter-finals
3942349,771,France,4445,Jules Koundé,5,Right Back,Quarter-finals
3942349,771,France,4893,Brice Samba,1,,Quarter-finals
3942349,771,France,5476,Benjamin Pavard,2,,Quarter-finals
3942349,771,France,5477,Ousmane Dembélé,11,Center Attacking Midfield,Quarter-finals
3942349,771,France,5487,Antoine Griezmann,7,Center Attacking Midfield,Quarter-finals
3942349,771,France,6704,Theo Bernard François Hernández,22,Left Back,Quarter-finals
3942349,771,France,7252,Jonathan Clauss,21,,Quarter-finals
3942349,771,France,8217,Kingsley Coman,20,,Quarter-finals
3942349,771,France,8519,Dayotchanculle Upamecano,4,Right Center Back,Quarter-finals
3942349,771,France,10481,Aurélien Djani Tchouaméni,8,Center Defensive Midfield,Quarter-finals
3942349,771,France,11135,Ibrahima Konaté,24,,Quarter-finals
3942349,771,France,11990,Youssouf Fofana,19,Right Center Midfield,Quarter-finals
3942349,771,France,17592,William Saliba,17,Left Center Back,Quarter-finals
3942349,771,France,22097,Randal Kolo Muani,12,Right Center Forward,Quarter-finals
3942349,771,France,24778,Eduardo Camavinga,6,Left Center Midfield,Quarter-finals
3942349,771,France,39420,Bradley Barcola,25,Left Wing,Quarter-finals
3942349,771,France,144059,Warren Zaire Emery,18,,Quarter-finals
3942349,780,Portugal,3193,Bernardo Mota Veiga de Carvalho e Silva,10,Right Midfield,Quarter-finals
3942349,780,Portugal,5204,Bruno Miguel Borges Fernandes,8,Center Attacking Midfield,Quarter-finals
3942349,780,Portugal,5205,Rui Pedro dos Santos Patrício,1,,Quarter-finals
3942349,780,Portugal,5206,Rúben Santos Gato Alves Dias,4,Right Center Back,Quarter-finals
3942349,780,Portugal,5207,Cristiano Ronaldo dos Santos Aveiro,7,Center Forward,Quarter-finals
3942349,780,Portugal,6374,Nélson Cabral Semedo,2,Right Back,Quarter-finals
3942349,780,Portugal,7005,João Pedro Cavaco Cancelo,20,Right Back,Quarter-finals
3942349,780,Portugal,9927,Rúben Diogo Da Silva Neves,18,Right Defensive Midfield,Quarter-finals
3942349,780,Portugal,9929,Diogo José Teixeira da Silva,21,,Quarter-finals
3942349,780,Portugal,12041,João Félix Sequeira,11,Left Midfield,Quarter-finals
3942349,780,Portugal,12169,João Maria Lobo Alves Palhinha Gonçalves,6,Right Defensive Midfield,Quarter-finals
3942349,780,Portugal,13621,Danilo Luís Hélio Pereira,13,,Quarter-finals
3942349,780,Portugal,16028,José Diogo Dalot Teixeira,5,,Quarter-finals
3942349,780,Portugal,18360,Rafael Alexandre Conceição Leão,17,Left Midfield,Quarter-finals
3942349,780,Portugal,18866,José Pedro Malheiro de Sá,12,,Quarter-finals
3942349,780,Portugal,20016,Kléper Laveran Lima Ferreira,3,Left Center Back,Quarter-finals
3942349,780,Portugal,23256,Pedro Lomba Neto,25,,Quarter-finals
3942349,780,Portugal,32975,Diogo Meireles Costa,22,Goalkeeper,Quarter-finals
3942349,780,Portugal,34639,Vitor Machado Ferreira,23,Left Defensive Midfield,Quarter-finals
3942349,780,Portugal,38803,Gonçalo Matias Ramos,9,,Quarter-finals
3942349,780,Portugal,39624,Francisco Fernandes Conceição,26,Center Attacking Midfield,Quarter-finals
3942349,780,Portugal,40874,Matheus Luiz Nunes,16,Left Defensive Midfield,Quarter-finals
3942349,780,Portugal,41092,Nuno Mendes,19,Left Back,Quarter-finals
3942349,780,Portugal,42106,Gonçalo Bernardo Inácio,14,,Quarter-finals
3942349,780,Portugal,143854,António João Pereira Albuquerque Tavares Silva,24,,Quarter-finals
3942349,780,Portugal,143859,João Neves,15,,Quarter-finals
3930180,941,Netherlands,2988,Memphis Depay,10,Center Forward,Group Stage
3930180,941,Netherlands,3306,Nathan Aké,5,Left Back,Group Stage
3930180,941,Netherlands,3311,Daley Blind,17,,Group Stage
3930180,941,Netherlands,3567,Georginio Wijnaldum,8,Left Defensive Midfield,Group Stage
3930180,941,Netherlands,3669,Virgil van Dijk,4,Left Center Back,Group Stage
3930180,941,Netherlands,7787,Stefan de Vrij,6,Right Center Back,Group Stage
3930180,941,Netherlands,7829,Wout Weghorst,9,Right Wing,Group Stage
3930180,941,Netherlands,8069,Matthijs de Ligt,3,,Group Stage
3930180,941,Netherlands,8125,Denzel Dumfries,22,,Group Stage
3930180,941,Netherlands,8259,Steven Bergwijn,25,,Group Stage
3930180,941,Netherlands,15503,Jerdy Schouten,24,Center Defensive Midfield,Group Stage
3930180,941,Netherlands,15582,Donyell Malen,18,Right Wing,Group Stage
3930180,941,Netherlands,16185,Justin Bijlow,13,,Group Stage
3930180,941,Netherlands,20750,Cody Mathès Gakpo,11,Left Wing,Group Stage
3930180,941,Netherlands,21582,Tijjani Reijnders,14,Right Center Midfield,Group Stage
3930180,941,Netherlands,21633,Joey Veerman,16,Left Center Midfield,Group Stage
3930180,941,Netherlands,21880,Brian Brobbey,19,,Group Stage
3930180,941,Netherlands,22352,Lutsharel Geertruida,2,Right Back,Group Stage
3930180,941,Netherlands,23230,Ryan Gravenberch,26,,Group Stage
3930180,941,Netherlands,25000,Mark Flekken,23,,Group Stage
3930180,941,Netherlands,32547,Micky van de Ven,15,Left Back,Group Stage
3930180,941,Netherlands,32712,Jeremie Frimpong,12,,Group Stage
3930180,941,Netherlands,33281,Joshua Zirkzee,21,,Group Stage
3930180,941,Netherlands,37274,Bart Verbruggen,1,Goalkeeper,Group Stage
3930180,941,Netherlands,39092,Ian Maatsen,20,,Group Stage
3930180,941,Netherlands,39167,Xavi Simons,7,Left Center Midfield,Group Stage
3930180,915,Austria,3325,Marko Arnautović,7,Center Forward,Group Stage
3930180,915,Austria,4813,Andreas Weimann,24,Right Wing,Group Stage
3930180,915,Austria,8068,Maximilian Wöber,2,Left Center Back,Group Stage
3930180,915,Austria,8309,Michael Gregoritsch,11,Center Forward,Group Stage
3930180,915,Austria,8406,Florian Kainz,17,,Group Stage
3930180,915,Austria,8506,Konrad Laimer,20,Left Defensive Midfield,Group Stage
3930180,915,Austria,8518,Marcel Sabitzer,9,Center Attacking Midfield,Group Stage
3930180,915,Austria,8778,Gernot Trauner,3,,Group Stage
3930180,915,Austria,8784,Romano Schmid,18,Right Wing,Group Stage
3930180,915,Austria,8931,Philipp Lienhart,15,Right Center Back,Group Stage
3930180,915,Austria,9731,Patrick Pentz,13,Goalkeeper,Group Stage
3930180,915,Austria,11396,Florian Grillitsch,10,Left Defensive Midfield,Group Stage
3930180,915,Austria,11820,Kevin Danso,4,,Group Stage
3930180,915,Austria,11821,Stefan Posch,5,Right Back,Group Stage
3930180,915,Austria,13315,Philipp Mwene,16,,Group Stage
3930180,915,Austria,24977,Christoph Baumgartner,19,Left Wing,Group Stage
3930180,915,Austria,32417,Heinz Lindner,1,,Group Stage
3930180,915,Austria,33297,Patrick Wimmer,23,Left Wing,Group Stage
3930180,915,Austria,39120,Flavius Daniliuc,21,,Group Stage
3930180,915,Austria,39460,Nicolas Seiwald,6,Right Defensive Midfield,Group Stage
3930180,915,Austria,39545,Alexander Prass,8,Left Back,Group Stage
3930180,915,Austria,41371,Niklas Hedl,12,,Group Stage
3930180,915,Austria,48169,Marco Grüll,26,,Group Stage
3930180,915,Austria,152512,Leopold Querfeld,14,Right Center Back,Group Stage
3930180,915,Austria,403718,Matthias Seidl,22,,Group Stage
