match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,metadata,match_week,competition_stage,stadium,referee,home_team_name,away_team_name,home_team_id,away_team_id,stage
3942819,2024-07-10,22:00:00.000,"{'competition_id': 55, 'country_name': 'Europe', 'competition_name': 'UEFA Euro'}","{'season_id': 282, 'season_name': '2024'}","{'home_team_id': 941, 'home_team_name': 'Netherlands', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 160, 'name': 'Netherlands'}, 'managers': [{'id': 676, 'name': 'Ronald Koeman', 'nickname': None, 'dob': '1963-03-21', 'country': {'id': 160, 'name': 'Netherlands'}}]}","{'away_team_id': 768, 'away_team_name': 'England', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 277, 'name': 'Gareth Southgate', 'nickname': None, 'dob': '1970-09-03', 'country': {'id': 68, 'name': 'England'}}]}",1,2,available,available,2024-07-15T07:54:23.583297,2024-07-15T07:57:36.684453,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",6,"{'id': 15, 'name': 'Semi-finals'}","{'id': 373, 'name': 'Signal-Iduna-Park', 'country': {'id': 85, 'name': 'Germany'}}","{'id': 241, 'name': 'Felix Zwayer', 'country': {'id': 85, 'name': 'Germany'}}",Netherlands,England,941,768,Semi-finals
3943043,2024-07-14,22:00:00.000,"{'competition_id': 55, 'country_name': 'Europe', 'competition_name': 'UEFA Euro'}","{'season_id': 282, 'season_name': '2024'}","{'home_team_id': 772, 'home_team_name': 'Spain', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 214, 'name': 'Spain'}, 'managers': [{'id': 5588, 'name': 'Luis de la Fuente Castillo', 'nickname': 'Luis de la Fuente', 'dob': '1961-06-21', 'country': {'id': 214, 'name': 'Spain'}}]}","{'away_team_id': 768, 'away_team_name': 'England', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 277, 'name': 'Gareth Southgate', 'nickname': None, 'dob': '1970-09-03', 'country': {'id': 68, 'name': 'England'}}]}",2,1,available,available,2024-07-15T15:48:50.315500,2024-07-15T15:52:24.778809,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",7,"{'id': 26, 'name': 'Final'}","{'id': 367, 'name': 'Olympiastadion Berlin', 'country': {'id': 85, 'name': 'Germany'}}","{'id': 79, 'name': 'François Letexier', 'country': {'id': 78, 'name': 'France'}}",Spain,England,772,768,Final
3942752,2024-07-09,22:00:00.000,"{'competition_id': 55, 'country_name': 'Europe', 'competition_name': 'UEFA Euro'}","{'season_id': 282, 'season_name': '2024'}","{'home_team_id': 772, 'home_team_name': 'Spain', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 214, 'name': 'Spain'}, 'managers': [{'id': 5588, 'name': 'Luis de la Fuente Castillo', 'nickname': 'Luis de la Fuente', 'dob': '1961-06-21', 'country': {'id': 214, 'name': 'Spain'}}]}","{'away_team_id': 771, 'away_team_name': 'France', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 78, 'name': 'France'}, 'managers': [{'id': 545, 'name': 'Didier Deschamps', 'nickname': None, 'dob': '1968-10-15', 'country': {'id': 78, 'name': 'France'}}]}",2,1,available,available,2024-07-10T08:51:07.032303,2024-07-10T13:01:26.597509,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",6,"{'id': 15, 'name': 'Semi-finals'}","{'id': 4867, 'name': 'Allianz Arena', 'country': {'id': 85, 'name': 'Germany'}}","{'id': 943, 'name': 'Slavko Vinčić', 'country': {'id': 208, 'name': 'Slovenia'}}",Spain,France,772,771,Semi-finals
3942382,2024-07-06,22:00:00.000,"{'competition_id': 55, 'country_name': 'Europe', 'competition_name': 'UEFA Euro'}","{'season_id': 282, 'season_name': '2024'}","{'home_team_id': 941, 'home_team_name': 'Netherlands', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 160, 'name': 'Netherlands'}, 'managers': [{'id': 676, 'name': 'Ronald Koeman', 'nickname': None, 'dob': '1963-03-21', 'country': {'id': 160, 'name': 'Netherlands'}}]}","{'away_team_id': 909, 'away_team_name': 'Turkey', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 233, 'name': 'Turkey'}, 'managers': [{'id': 232, 'name': 'Vincenzo Montella', 'nickname': None, 'dob': '1974-06-18', 'country': {'id': 112, 'name': 'Italy'}}]}",2,1,available,available,2024-07-10T06:50:04.068615,2024-07-10T06:56:35.146850,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",5,"{'id': 11, 'name': 'Quarter-finals'}","{'id': 367, 'name': 'Olympiastadion Berlin', 'country': {'id': 85, 'name': 'Germany'}}","{'id': 76, 'name': 'Clément Turpin', 'country': {'id': 78, 'name': 'France'}}",Netherlands,Turkey,941,909,Quarter-finals
3942349,2024-07-05,22:00:00.000,"{'competition_id': 55, 'country_name': 'Europe', 'competition_name': 'UEFA Euro'}","{'season_id': 282, 'season_name': '2024'}","{'home_team_id': 780, 'home_team_name': 'Portugal', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 183, 'name': 'Portugal'}, 'managers': [{'id': 263, 'name': 'Roberto Martínez Montoliú', 'nickname': 'Roberto Martínez', 'dob': '1973-07-13', 'country': {'id': 214, 'name': 'Spain'}}]}","{'away_team_id': 771, 'away_team_name': 'France', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 78, 'name': 'France'}, 'managers': [{'id': 545, 'name': 'Didier Deschamps', 'nickname': None, 'dob': '1968-10-15', 'country': {'id': 78, 'name': 'France'}}]}",0,0,available,available,2024-07-12T01:57:15.210934,2024-07-12T02:00:16.871522,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",5,"{'id': 11, 'name': 'Quarter-finals'}","{'id': 379, 'name': 'Volksparkstadion', 'country': {'id': 85, 'name': 'Germany'}}","{'id': 1, 'name': 'Michael Oliver', 'country': {'id': 68, 'name': 'England'}}",Portugal,France,780,771,Quarter-finals
3930180,2024-06-25,19:00:00.000,"{'competition_id': 55, 'country_name': 'Europe', 'competition_name': 'UEFA Euro'}","{'season_id': 282, 'season_name': '2024'}","{'home_team_id': 941, 'home_team_name': 'Netherlands', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 160, 'name': 'Netherlands'}, 'managers': [{'id': 676, 'name': 'Ronald Koeman', 'nickname': None, 'dob': '1963-03-21', 'country': {'id': 160, 'name': 'Netherlands'}}]}","{'away_team_id': 915, 'away_team_name': 'Austria', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 15, 'name': 'Austria'}, 'managers': [{'id': 380, 'name': 'Ralf Rangnick', 'nickname': None, 'dob': '1958-06-29', 'country': {'id': 85, 'name': 'Germany'}}]}",2,3,available,available,2024-07-11T13:24:55.422159,2024-07-11T13:25:37.289456,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",3,"{'id': 10, 'name': 'Group Stage'}","{'id': 367, 'name': 'Olympiastadion Berlin', 'country': {'id': 85, 'name': 'Germany'}}","{'id': 941, 'name': 'Ivan Kružliak', 'country': {'id': 207, 'name': 'Slovakia'}}",Netherlands,Austria,941,915,Group Stage
3930171,2024-06-20,19:00:00.000,"{'competition_id': 55, 'country_name': 'Europe', 'competition_name': 'UEFA Euro'}","{'season_id': 282, 'season_name': '2024'}","{'home_team_id': 776, 'home_team_name': 'Denmark', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 61, 'name': 'Denmark'}, 'managers': [{'id': 255, 'name': 'Kasper Hjulmand', 'nickname': None, 'dob': '1972-04-09', 'country': {'id': 61, 'name': 'Denmark'}}]}","{'away_team_id': 768, 'away_team_name': 'England', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 277, 'name': 'Gareth Southgate', 'nickname': None, 'dob': '1970-09-03', 'country': {'id': 68, 'name': 'England'}}]}",1,1,available,available,2024-07-12T05:16:00.445930,2024-07-12T05:19:44.572914,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",2,"{'id': 10, 'name': 'Group Stage'}","{'id': 116458, 'name': 'Deutsche Bank Park', 'country': {'id': 85, 'name': 'Germany'}}","{'id': 2445, 'name': 'Artur Manuel Ribeiro Soares Dias', 'country': {'id': 183, 'name': 'Portugal'}}",Denmark,England,776,768,Group Stage
3942227,2024-07-06,19:00:00.000,"{'competition_id': 55, 'country_name': 'Europe', 'competition_name': 'UEFA Euro'}","{'season_id': 282, 'season_name': '2024'}","{'home_team_id': 768, 'home_team_name': 'England', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 277, 'name': 'Gareth Southgate', 'nickname': None, 'dob': '1970-09-03', 'country': {'id': 68, 'name': 'England'}}]}","{'away_team_id': 773, 'away_team_name': 'Switzerland', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 221, 'name': 'Switzerland'}, 'managers': [{'id': 2832, 'name': 'Murat Yakin', 'nickname': None, 'dob': '1974-09-15', 'country': {'id': 221, 'name': 'Switzerland'}}]}",1,1,available,available,2024-07-14T15:55:52.682165,2024-07-14T15:57:51.414762,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",5,"{'id': 11, 'name': 'Quarter-finals'}","{'id': 4866, 'name': 'Merkur Spiel-Arena', 'country': {'id': 85, 'name': 'Germany'}}","{'id': 269, 'name': 'Daniele Orsato', 'country': {'id': 112, 'name': 'Italy'}}",England,Switzerland,768,773,Quarter-finals
3942226,2024-07-05,19:00:00.000,"{'competition_id': 55, 'country_name': 'Europe', 'competition_name': 'UEFA Euro'}","{'season_id': 282, 'season_name': '2024'}","{'home_team_id': 772, 'home_team_name': 'Spain', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 214, 'name': 'Spain'}, 'managers': [{'id': 5588, 'name': 'Luis de la Fuente Castillo', 'nickname': 'Luis de la Fuente', 'dob': '1961-06-21', 'country': {'id': 214, 'name': 'Spain'}}]}","{'away_team_id': 770, 'away_team_name': 'Germany', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 85, 'name': 'Germany'}, 'managers': [{'id': 445, 'name': 'Julian Nagelsmann', 'nickname': None, 'dob': '1987-07-23', 'country': {'id': 85, 'name': 'Germany'}}]}",2,1,available,available,2024-07-13T03:52:05.176875,2024-07-13T03:52:43.383929,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",5,"{'id': 11, 'name': 'Quarter-finals'}","{'id': 369, 'name': 'MHPArena', 'country': {'id': 85, 'name': 'Germany'}}","{'id': 8, 'name': 'Anthony Taylor', 'country': {'id': 68, 'name': 'England'}}",Spain,Germany,772,770,Quarter-finals
3938645,2024-06-26,19:00:00.000,"{'competition_id': 55, 'country_name': 'Europe', 'competition_name': 'UEFA Euro'}","{'season_id': 282, 'season_name': '2024'}","{'home_team_id': 911, 'home_team_name': 'Ukraine', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 238, 'name': 'Ukraine'}, 'managers': [{'id': 2672, 'name': 'Sergiy Rebrov', 'nickname': None, 'dob': '1974-06-03', 'country': {'id': 238, 'name': 'Ukraine'}}]}","{'away_team_id': 782, 'away_team_name': 'Belgium', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 22, 'name': 'Belgium'}, 'managers': [{'id': 48, 'name': 'Domenico Tedesco', 'nickname': None, 'dob': '1985-09-12', 'country': {'id': 85, 'name': 'Germany'}}]}",0,0,available,available,2024-07-11T16:13:10.603169,2024-07-11T16:17:18.090189,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",3,"{'id': 10, 'name': 'Group Stage'}","{'id': 369, 'name': 'MHPArena', 'country': {'id': 85, 'name': 'Germany'}}","{'id': 8, 'name': 'Anthony Taylor', 'country': {'id': 68, 'name': 'England'}}",Ukraine,Belgium,911,782,Group Stage
