feature,type,total_values,unique_values,missing_count,missing_percentage,most_frequent_value,most_frequent_count,top_5_values
period,ordinal,187858,5,0,0.0,1.0,93628,"1(93628), 2(88447), 3(3035), 4(2688), 5(60)"
match_week,ordinal,187858,7,0,0.0,1.0,43290,"1(43290), 2(43052), 3(42355), 4(31086), 5(17950)"
minute,ordinal,187858,128,0,0.0,45.0,4228,"45(4228), 0(2858), 46(2825), 47(2668), 1(2312)"
second,ordinal,187858,60,0,0.0,0.0,3582,"0(3582), 34(3316), 16(3306), 7(3278), 20(3256)"
under_pressure,binomial,187858,2,155280,82.65817798549968,,155280,"nan(155280), True(32578)"
off_camera,binomial,187858,2,185817,98.91354107890002,,185817,"nan(185817), True(2041)"
counterpress,binomial,187858,2,183344,97.59712122986512,,183344,"nan(183344), True(4514)"
out,binomial,187858,2,186540,99.29840624301332,,186540,"nan(186540), True(1318)"
injury_stoppage,binomial,187858,2,187808,99.97338415185938,,187808,"nan(187808), {'in_chain': True}(50)"
kick_off,ordinal,187858,3,0,0.0,22:00:00.000,95908,"22:00:00.000(95908), 19:00:00.000(67907), 16:00:00.000(24043)"
