Feature,Type,Total_Values,Missing_Count,Missing_Pct,Non_Null_Count,Total_Categories,Top_Category,Top_Category_Count,Top_Category_Pct,Top_7_Categories,Distribution
under_pressure,Binomial,187858,155280,82.65817798549968,32578,1,True,32578,100.0,{True: 32578},{True: 32578}
counterpress,Binomial,187858,183344,97.59712122986511,4514,1,True,4514,100.0,{True: 4514},{True: 4514}
off_camera,Binomial,187858,185817,98.91354107890002,2041,1,True,2041,100.0,{True: 2041},{True: 2041}
injury_stoppage,Binomial,187858,187808,99.97338415185938,50,1,{'in_chain': True},50,100.0,"{""{'in_chain': True}"": 50}","{""{'in_chain': True}"": 50}"
out,Binomial,187858,186540,99.29840624301333,1318,1,True,1318,100.0,{True: 1318},{True: 1318}
period,Ordinal,187858,0,0.0,187858,5,1,93628,49.83977259419349,"{1: 93628, 2: 88447, 3: 3035, 4: 2688, 5: 60}","{1: 93628, 2: 88447, 3: 3035, 4: 2688, 5: 60}"
match_week,Ordinal,187858,0,0.0,187858,7,1,43290,23.04400132014607,"{1: 43290, 2: 43052, 3: 42355, 4: 31086, 5: 17950, 6: 6813, 7: 3312}","{1: 43290, 2: 43052, 3: 42355, 4: 31086, 5: 17950, 6: 6813, 7: 3312}"
stage,Ordinal,187858,0,0.0,187858,5,Group Stage,128697,68.50759616305933,"{'Group Stage': 128697, 'Round of 16': 31086, 'Quarter-finals': 17950, 'Semi-finals': 6813, 'Final': 3312}","{'Group Stage': 128697, 'Round of 16': 31086, 'Quarter-finals': 17950, 'Semi-finals': 6813, 'Final': 3312}"
match_date,Ordinal,187858,0,0.0,187858,22,2024-06-25,14440,7.686656943010147,"{'2024-06-25': 14440, '2024-06-26': 13023, '2024-06-20': 11415, '2024-06-15': 11218, '2024-06-16': 10830, '2024-06-19': 10726, '2024-06-21': 10593}","{'2024-06-25': 14440, '2024-06-26': 13023, '2024-06-20': 11415, '2024-06-15': 11218, '2024-06-16': 10830, '2024-06-19': 10726, '2024-06-21': 10593, '2024-06-17': 10430, '2024-06-22': 10318, '2024-07-05': 9653, '2024-06-30': 8713, '2024-07-06': 8297, '2024-07-01': 8162, '2024-06-24': 7782, '2024-06-29': 7493, '2024-06-18': 7439, '2024-06-23': 7110, '2024-07-02': 6718, '2024-07-10': 3485, '2024-06-14': 3373, '2024-07-09': 3328, '2024-07-14': 3312}"
kick_off,Ordinal,187858,0,0.0,187858,3,22:00:00.000,95908,51.05345526940561,"{'22:00:00.000': 95908, '19:00:00.000': 67907, '16:00:00.000': 24043}","{'22:00:00.000': 95908, '19:00:00.000': 67907, '16:00:00.000': 24043}"
