match_id,team,opponent,stage,period,avg_consecutive_events,max_consecutive_events,total_possessions,turnovers,turnover_rate,match_date
3942819,Netherlands,England,Semi-finals,1,14.1875,166,48,18,0.375,2024-07-10
3942819,England,Netherlands,Semi-finals,1,24.19047619047619,128,42,17,0.40476190476190477,2024-07-10
3942819,Netherlands,England,Semi-finals,2,13.966101694915254,139,59,21,0.3559322033898305,2024-07-10
3942819,England,Netherlands,Semi-finals,2,15.548387096774194,104,62,21,0.3387096774193548,2024-07-10
3943043,Spain,England,Final,1,15.041666666666666,122,72,26,0.3611111111111111,2024-07-14
3943043,England,Spain,Final,1,8.18421052631579,69,76,26,0.34210526315789475,2024-07-14
3943043,Spain,England,Final,2,14.353846153846154,96,65,22,0.3384615384615385,2024-07-14
3943043,England,Spain,Final,2,10.36923076923077,55,65,22,0.3384615384615385,2024-07-14
3942752,Spain,France,Semi-finals,1,13.693548387096774,103,62,24,0.3870967741935484,2024-07-09
3942752,France,Spain,Semi-finals,1,10.892307692307693,54,65,24,0.36923076923076925,2024-07-09
3942752,Spain,France,Semi-finals,2,13.0375,102,80,28,0.35,2024-07-09
3942752,France,Spain,Semi-finals,2,9.706666666666667,41,75,28,0.37333333333333335,2024-07-09
3942382,Netherlands,Turkey,Quarter-finals,1,17.06779661016949,124,59,22,0.3728813559322034,2024-07-06
3942382,Turkey,Netherlands,Quarter-finals,1,14.610169491525424,114,59,21,0.3559322033898305,2024-07-06
3942382,Netherlands,Turkey,Quarter-finals,2,14.934426229508198,109,61,22,0.36065573770491804,2024-07-06
3942382,Turkey,Netherlands,Quarter-finals,2,10.241935483870968,40,62,22,0.3548387096774194,2024-07-06
3942349,Portugal,France,Quarter-finals,1,18.1864406779661,153,59,22,0.3728813559322034,2024-07-05
3942349,France,Portugal,Quarter-finals,1,14.0,110,63,21,0.3333333333333333,2024-07-05
3942349,Portugal,France,Quarter-finals,2,17.723076923076924,116,65,20,0.3076923076923077,2024-07-05
3942349,France,Portugal,Quarter-finals,2,11.741935483870968,80,62,21,0.3387096774193548,2024-07-05
3930180,Netherlands,Austria,Group Stage,1,10.28,64,75,21,0.28,2024-06-25
3930180,Austria,Netherlands,Group Stage,1,13.465753424657533,113,73,20,0.273972602739726,2024-06-25
3930180,Netherlands,Austria,Group Stage,2,10.7375,51,80,25,0.3125,2024-06-25
3930180,Austria,Netherlands,Group Stage,2,7.134146341463414,29,82,25,0.3048780487804878,2024-06-25
3930171,Denmark,England,Group Stage,1,19.12727272727273,112,55,23,0.41818181818181815,2024-06-20
3930171,England,Denmark,Group Stage,1,16.203389830508474,102,59,22,0.3728813559322034,2024-06-20
3930171,Denmark,England,Group Stage,2,12.25974025974026,83,77,30,0.38961038961038963,2024-06-20
3930171,England,Denmark,Group Stage,2,11.6125,66,80,30,0.375,2024-06-20
3942227,England,Switzerland,Quarter-finals,1,18.696428571428573,147,56,20,0.35714285714285715,2024-07-06
3942227,Switzerland,England,Quarter-finals,1,16.48148148148148,125,54,19,0.35185185185185186,2024-07-06
3942227,England,Switzerland,Quarter-finals,2,12.651515151515152,93,66,23,0.3484848484848485,2024-07-06
3942227,Switzerland,England,Quarter-finals,2,13.149253731343284,77,67,23,0.34328358208955223,2024-07-06
3942226,Spain,Germany,Quarter-finals,1,12.318181818181818,74,66,25,0.3787878787878788,2024-07-05
3942226,Germany,Spain,Quarter-finals,1,13.058823529411764,89,68,24,0.35294117647058826,2024-07-05
3942226,Spain,Germany,Quarter-finals,2,10.0625,67,80,29,0.3625,2024-07-05
3942226,Germany,Spain,Quarter-finals,2,10.493827160493828,59,81,29,0.35802469135802467,2024-07-05
3938645,Ukraine,Belgium,Group Stage,1,10.971830985915492,68,71,27,0.38028169014084506,2024-06-26
3938645,Belgium,Ukraine,Group Stage,1,16.246153846153845,103,65,27,0.4153846153846154,2024-06-26
3938645,Ukraine,Belgium,Group Stage,2,8.928571428571429,55,84,30,0.35714285714285715,2024-06-26
3938645,Belgium,Ukraine,Group Stage,2,11.89873417721519,101,79,30,0.379746835443038,2024-06-26
3930184,Czech Republic,Turkey,Group Stage,1,8.208333333333334,55,72,26,0.3611111111111111,2024-06-26
3930184,Turkey,Czech Republic,Group Stage,1,14.694444444444445,105,72,25,0.3472222222222222,2024-06-26
3930184,Czech Republic,Turkey,Group Stage,2,7.3478260869565215,40,69,23,0.3333333333333333,2024-06-26
3930184,Turkey,Czech Republic,Group Stage,2,11.720588235294118,71,68,23,0.3382352941176471,2024-06-26
3941022,Austria,Turkey,Round of 16,1,13.647887323943662,142,71,22,0.30985915492957744,2024-07-02
3941022,Turkey,Austria,Round of 16,1,13.217391304347826,72,69,22,0.3188405797101449,2024-07-02
3941022,Austria,Turkey,Round of 16,2,13.74698795180723,61,83,33,0.39759036144578314,2024-07-02
3941022,Turkey,Austria,Round of 16,2,7.865168539325842,45,89,33,0.3707865168539326,2024-07-02
3941021,Romania,Netherlands,Round of 16,1,7.164383561643835,43,73,23,0.3150684931506849,2024-07-02
3941021,Netherlands,Romania,Round of 16,1,15.348484848484848,91,66,23,0.3484848484848485,2024-07-02
3941021,Romania,Netherlands,Round of 16,2,8.397435897435898,28,78,26,0.3333333333333333,2024-07-02
3941021,Netherlands,Romania,Round of 16,2,10.320512820512821,93,78,26,0.3333333333333333,2024-07-02
3941020,Portugal,Slovenia,Round of 16,1,12.1875,95,80,26,0.325,2024-07-01
3941020,Slovenia,Portugal,Round of 16,1,7.766233766233766,40,77,26,0.33766233766233766,2024-07-01
3941020,Portugal,Slovenia,Round of 16,2,15.216216216216216,91,74,25,0.33783783783783783,2024-07-01
3941020,Slovenia,Portugal,Round of 16,2,7.053333333333334,39,75,25,0.3333333333333333,2024-07-01
3941019,France,Belgium,Round of 16,1,22.18867924528302,140,53,19,0.3584905660377358,2024-07-01
3941019,Belgium,France,Round of 16,1,13.8,61,60,18,0.3,2024-07-01
3941019,France,Belgium,Round of 16,2,13.902777777777779,94,72,24,0.3333333333333333,2024-07-01
3941019,Belgium,France,Round of 16,2,13.0,66,72,24,0.3333333333333333,2024-07-01
3941018,Spain,Georgia,Round of 16,1,20.507246376811594,97,69,25,0.36231884057971014,2024-06-30
3941018,Georgia,Spain,Round of 16,1,7.6438356164383565,32,73,25,0.3424657534246575,2024-06-30
3941018,Spain,Georgia,Round of 16,2,21.79032258064516,152,62,24,0.3870967741935484,2024-06-30
3941018,Georgia,Spain,Round of 16,2,9.469696969696969,59,66,23,0.3484848484848485,2024-06-30
3941017,England,Slovakia,Round of 16,1,21.949152542372882,122,59,19,0.3220338983050847,2024-06-30
3941017,Slovakia,England,Round of 16,1,8.80327868852459,51,61,19,0.3114754098360656,2024-06-30
3941017,England,Slovakia,Round of 16,2,16.125,91,72,29,0.4027777777777778,2024-06-30
3941017,Slovakia,England,Round of 16,2,8.615384615384615,79,78,28,0.358974358974359,2024-06-30
3930182,Denmark,Serbia,Group Stage,1,16.76388888888889,123,72,25,0.3472222222222222,2024-06-25
3930182,Serbia,Denmark,Group Stage,1,11.67123287671233,62,73,25,0.3424657534246575,2024-06-25
3930182,Denmark,Serbia,Group Stage,2,10.826666666666666,71,75,28,0.37333333333333335,2024-06-25
3930182,Serbia,Denmark,Group Stage,2,12.213333333333333,63,75,27,0.36,2024-06-25
3930179,Albania,Spain,Group Stage,1,10.366197183098592,87,71,24,0.3380281690140845,2024-06-24
3930179,Spain,Albania,Group Stage,1,15.411764705882353,81,68,24,0.35294117647058826,2024-06-24
3930179,Albania,Spain,Group Stage,2,10.935897435897436,83,78,30,0.38461538461538464,2024-06-24
3930179,Spain,Albania,Group Stage,2,14.417721518987342,88,79,29,0.3670886075949367,2024-06-24
3940983,Germany,Denmark,Round of 16,1,15.45945945945946,83,74,26,0.35135135135135137,2024-06-29
