match_id,team,opponent,stage,fh_events,fh_goals,sh_events,sh_goals,total_events,total_goals,fh_events_per_goal,sh_events_per_goal,total_events_per_goal,match_date
3942819,Netherlands,England,Semi-finals,681,1,824,0,1505,1,681.0,inf,1505.0,2024-07-10
3942819,England,Netherlands,Semi-finals,1016,1,964,1,1980,2,1016.0,964.0,990.0,2024-07-10
3943043,Spain,England,Final,1083,0,933,2,2016,2,inf,466.5,1008.0,2024-07-14
3943043,England,Spain,Final,622,0,674,1,1296,1,inf,674.0,1296.0,2024-07-14
3942752,Spain,France,Semi-finals,849,2,1043,0,1892,2,424.5,inf,946.0,2024-07-09
3942752,France,Spain,Semi-finals,708,1,728,0,1436,1,708.0,inf,1436.0,2024-07-09
3942382,Netherlands,Turkey,Quarter-finals,1007,0,911,1,1918,2,inf,911.0,959.0,2024-07-06
3942382,Turkey,Netherlands,Quarter-finals,862,1,635,0,1497,1,862.0,inf,1497.0,2024-07-06
3942349,Portugal,France,Quarter-finals,1073,0,1152,0,2225,0,inf,inf,inf,2024-07-05
3942349,France,Portugal,Quarter-finals,882,0,728,0,1610,0,inf,inf,inf,2024-07-05
3930180,Netherlands,Austria,Group Stage,771,0,859,2,1630,2,inf,429.5,815.0,2024-06-25
3930180,Austria,Netherlands,Group Stage,983,0,585,2,1568,3,inf,292.5,522.6666666666666,2024-06-25
3930171,Denmark,England,Group Stage,1052,1,944,0,1996,1,1052.0,inf,1996.0,2024-06-20
3930171,England,Denmark,Group Stage,956,1,929,0,1885,1,956.0,inf,1885.0,2024-06-20
3942227,England,Switzerland,Quarter-finals,1047,0,835,1,1882,1,inf,835.0,1882.0,2024-07-06
3942227,Switzerland,England,Quarter-finals,890,0,881,1,1771,1,inf,881.0,1771.0,2024-07-06
3942226,Spain,Germany,Quarter-finals,813,0,805,1,1618,2,inf,805.0,809.0,2024-07-05
3942226,Germany,Spain,Quarter-finals,888,0,850,1,1738,1,inf,850.0,1738.0,2024-07-05
3938645,Ukraine,Belgium,Group Stage,779,0,750,0,1529,0,inf,inf,inf,2024-06-26
3938645,Belgium,Ukraine,Group Stage,1056,0,940,0,1996,0,inf,inf,inf,2024-06-26
3930184,Czech Republic,Turkey,Group Stage,591,0,507,1,1098,1,inf,507.0,1098.0,2024-06-26
3930184,Turkey,Czech Republic,Group Stage,1058,0,797,2,1855,2,inf,398.5,927.5,2024-06-26
3941022,Austria,Turkey,Round of 16,969,0,1141,1,2110,1,inf,1141.0,2110.0,2024-07-02
3941022,Turkey,Austria,Round of 16,912,1,700,1,1612,2,912.0,700.0,806.0,2024-07-02
3941021,Romania,Netherlands,Round of 16,523,0,655,0,1178,0,inf,inf,inf,2024-07-02
3941021,Netherlands,Romania,Round of 16,1013,1,805,2,1818,3,1013.0,402.5,606.0,2024-07-02
3941020,Portugal,Slovenia,Round of 16,975,0,1126,0,2101,0,inf,inf,inf,2024-07-01
3941020,Slovenia,Portugal,Round of 16,598,0,529,0,1127,0,inf,inf,inf,2024-07-01
3941019,France,Belgium,Round of 16,1176,0,1001,0,2177,1,inf,inf,2177.0,2024-07-01
3941019,Belgium,France,Round of 16,828,0,936,0,1764,0,inf,inf,inf,2024-07-01
3941018,Spain,Georgia,Round of 16,1415,1,1351,3,2766,4,1415.0,450.3333333333333,691.5,2024-06-30
3941018,Georgia,Spain,Round of 16,558,0,625,0,1183,1,inf,inf,1183.0,2024-06-30
3941017,England,Slovakia,Round of 16,1295,0,1161,1,2456,2,inf,1161.0,1228.0,2024-06-30
3941017,Slovakia,England,Round of 16,537,1,672,0,1209,1,537.0,inf,1209.0,2024-06-30
3930182,Denmark,Serbia,Group Stage,1207,0,812,0,2019,0,inf,inf,inf,2024-06-25
3930182,Serbia,Denmark,Group Stage,852,0,916,0,1768,0,inf,inf,inf,2024-06-25
3930179,Albania,Spain,Group Stage,736,0,853,0,1589,0,inf,inf,inf,2024-06-24
3930179,Spain,Albania,Group Stage,1048,1,1139,0,2187,1,1048.0,inf,2187.0,2024-06-24
