match_id,team_a,team_b,team_a_score,team_b_score,score_difference,winning_team,score_outcome,stage,fh_team_a_events,fh_team_b_events,fh_ratio,fh_reflects_score,sh_team_a_events,sh_team_b_events,sh_ratio,sh_reflects_score,total_team_a_events,total_team_b_events,total_ratio,total_reflects_score,match_date
3942819,Netherlands,England,1,2,1,England,Team B Won (1-2),Semi-finals,681,1016,0.6702755905511811,YES - Team B had more events and won,824,964,0.8547717842323651,YES - Team B had more events and won,1505,1980,0.76010101010101,YES - Team B had more events and won,2024-07-10
3943043,Spain,England,2,1,1,Spain,Team A Won (2-1),Final,1083,622,1.7411575562700965,YES - Team A had more events and won,933,674,1.3842729970326408,YES - Team A had more events and won,2016,1296,1.5555555555555556,YES - Team A had more events and won,2024-07-14
3942752,Spain,France,2,1,1,Spain,Team A Won (2-1),Semi-finals,849,708,1.1991525423728813,YES - Team A had more events and won,1043,728,1.4326923076923077,YES - Team A had more events and won,1892,1436,1.317548746518106,YES - Team A had more events and won,2024-07-09
3942382,Netherlands,Turkey,2,1,1,Netherlands,Team A Won (2-1),Quarter-finals,1007,862,1.168213457076566,YES - Team A had more events and won,911,635,1.4346456692913385,YES - Team A had more events and won,1918,1497,1.2812291249164998,YES - Team A had more events and won,2024-07-06
3942349,Portugal,France,0,0,0,Draw,Draw (0-0),Quarter-finals,1073,882,1.2165532879818595,NO - Events don't match result,1152,728,1.5824175824175823,NO - Events don't match result,2225,1610,1.3819875776397517,NO - Events don't match result,2024-07-05
3930180,Netherlands,Austria,2,3,1,Austria,Team B Won (2-3),Group Stage,771,983,0.7843336724313327,YES - Team B had more events and won,859,585,1.4683760683760683,NO - Events don't match result,1630,1568,1.0395408163265305,NO - Events don't match result,2024-06-25
3930171,Denmark,England,1,1,0,Draw,Draw (1-1),Group Stage,1052,956,1.100418410041841,YES - Balanced events for draw,944,929,1.016146393972013,YES - Balanced events for draw,1996,1885,1.0588859416445624,YES - Balanced events for draw,2024-06-20
3942227,England,Switzerland,1,1,0,Draw,Draw (1-1),Quarter-finals,1047,890,1.1764044943820224,YES - Balanced events for draw,835,881,0.9477866061293984,YES - Balanced events for draw,1882,1771,1.0626764539808018,YES - Balanced events for draw,2024-07-06
3942226,Spain,Germany,2,1,1,Spain,Team A Won (2-1),Quarter-finals,813,888,0.9155405405405406,NO - Events don't match result,805,850,0.9470588235294117,NO - Events don't match result,1618,1738,0.9309551208285386,NO - Events don't match result,2024-07-05
3938645,Ukraine,Belgium,0,0,0,Draw,Draw (0-0),Group Stage,779,1056,0.7376893939393939,NO - Events don't match result,750,940,0.7978723404255319,NO - Events don't match result,1529,1996,0.7660320641282565,NO - Events don't match result,2024-06-26
3930184,Czech Republic,Turkey,1,2,1,Turkey,Team B Won (1-2),Group Stage,591,1058,0.558601134215501,YES - Team B had more events and won,507,797,0.6361355081555834,YES - Team B had more events and won,1098,1855,0.5919137466307277,YES - Team B had more events and won,2024-06-26
3941022,Austria,Turkey,1,2,1,Turkey,Team B Won (1-2),Round of 16,969,912,1.0625,NO - Events don't match result,1141,700,1.63,NO - Events don't match result,2110,1612,1.3089330024813897,NO - Events don't match result,2024-07-02
3941021,Romania,Netherlands,0,3,3,Netherlands,Team B Won (0-3),Round of 16,523,1013,0.5162882527147088,YES - Team B had more events and won,655,805,0.8136645962732919,YES - Team B had more events and won,1178,1818,0.647964796479648,YES - Team B had more events and won,2024-07-02
3941020,Portugal,Slovenia,0,0,0,Draw,Draw (0-0),Round of 16,975,598,1.6304347826086956,NO - Events don't match result,1126,529,2.1285444234404536,NO - Events don't match result,2101,1127,1.8642413487133984,NO - Events don't match result,2024-07-01
3941019,France,Belgium,1,0,1,France,Team A Won (1-0),Round of 16,1176,828,1.4202898550724639,YES - Team A had more events and won,1001,936,1.0694444444444444,YES - Team A had more events and won,2177,1764,1.2341269841269842,YES - Team A had more events and won,2024-07-01
3941018,Spain,Georgia,4,1,3,Spain,Team A Won (4-1),Round of 16,1415,558,2.53584229390681,YES - Team A had more events and won,1351,625,2.1616,YES - Team A had more events and won,2766,1183,2.338123415046492,YES - Team A had more events and won,2024-06-30
3941017,England,Slovakia,2,1,1,England,Team A Won (2-1),Round of 16,1295,537,2.4115456238361266,YES - Team A had more events and won,1161,672,1.7276785714285714,YES - Team A had more events and won,2456,1209,2.031430934656741,YES - Team A had more events and won,2024-06-30
3930182,Denmark,Serbia,0,0,0,Draw,Draw (0-0),Group Stage,1207,852,1.4166666666666667,NO - Events don't match result,812,916,0.8864628820960698,YES - Balanced events for draw,2019,1768,1.1419683257918551,YES - Balanced events for draw,2024-06-25
3930179,Albania,Spain,0,1,1,Spain,Team B Won (0-1),Group Stage,736,1048,0.7022900763358778,YES - Team B had more events and won,853,1139,0.7489025460930641,YES - Team B had more events and won,1589,2187,0.7265660722450846,YES - Team B had more events and won,2024-06-24
3940983,Germany,Denmark,2,0,2,Germany,Team A Won (2-0),Round of 16,1144,790,1.4481012658227848,YES - Team A had more events and won,826,880,0.9386363636363636,NO - Events don't match result,1970,1670,1.1796407185628743,YES - Team A had more events and won,2024-06-29
3940878,Switzerland,Italy,2,0,2,Switzerland,Team A Won (2-0),Round of 16,1066,786,1.356234096692112,YES - Team A had more events and won,875,1126,0.7770870337477798,NO - Events don't match result,1941,1912,1.0151673640167365,YES - Team A had more events and won,2024-06-29
3930177,Scotland,Hungary,0,1,1,Hungary,Team B Won (0-1),Group Stage,986,721,1.3675450762829404,NO - Events don't match result,856,823,1.040097205346294,NO - Events don't match result,1842,1544,1.1930051813471503,NO - Events don't match result,2024-06-23
3930173,Netherlands,France,0,0,0,Draw,Draw (0-0),Group Stage,754,1146,0.6579406631762653,NO - Events don't match result,674,1107,0.6088527551942186,NO - Events don't match result,1428,2253,0.6338215712383488,NO - Events don't match result,2024-06-21
3930172,Spain,Italy,1,0,1,Spain,Team A Won (1-0),Group Stage,1164,837,1.3906810035842294,YES - Team A had more events and won,1052,929,1.132400430570506,YES - Team A had more events and won,2216,1766,1.2548131370328426,YES - Team A had more events and won,2024-06-20
3930167,Croatia,Albania,2,2,0,Draw,Draw (2-2),Group Stage,1214,648,1.873456790123457,NO - Events don't match result,1099,760,1.4460526315789475,NO - Events don't match result,2313,1408,1.6427556818181819,NO - Events don't match result,2024-06-19
3930168,Germany,Hungary,2,0,2,Germany,Team A Won (2-0),Group Stage,1360,612,2.2222222222222223,YES - Team A had more events and won,1236,672,1.8392857142857142,YES - Team A had more events and won,2596,1284,2.0218068535825546,YES - Team A had more events and won,2024-06-19
3930165,Austria,France,0,1,1,France,Team B Won (0-1),Group Stage,919,958,0.9592901878914405,YES - Team B had more events and won,1024,817,1.2533659730722153,NO - Events don't match result,1943,1775,1.0946478873239436,NO - Events don't match result,2024-06-17
3930164,Belgium,Slovakia,0,1,1,Slovakia,Team B Won (0-1),Group Stage,924,838,1.1026252983293556,NO - Events don't match result,1112,669,1.6621823617339313,NO - Events don't match result,2036,1507,1.3510285335102854,NO - Events don't match result,2024-06-17
3930161,Italy,Albania,2,1,1,Italy,Team A Won (2-1),Group Stage,1349,591,2.2825719120135366,YES - Team A had more events and won,1354,772,1.7538860103626943,YES - Team A had more events and won,2703,1363,1.9831254585473221,YES - Team A had more events and won,2024-06-15
3938637,Poland,Netherlands,1,2,1,Netherlands,Team B Won (1-2),Group Stage,622,1136,0.5475352112676056,YES - Team B had more events and won,630,1013,0.6219151036525172,YES - Team B had more events and won,1252,2149,0.5825965565379246,YES - Team B had more events and won,2024-06-16
3938640,Slovakia,Ukraine,1,2,1,Ukraine,Team B Won (1-2),Group Stage,1013,810,1.2506172839506173,NO - Events don't match result,907,782,1.159846547314578,NO - Events don't match result,1920,1592,1.2060301507537687,NO - Events don't match result,2024-06-21
3938642,Georgia,Czech Republic,1,1,0,Draw,Draw (1-1),Group Stage,773,838,0.9224343675417661,YES - Balanced events for draw,609,1112,0.5476618705035972,NO - Events don't match result,1382,1950,0.7087179487179487,NO - Events don't match result,2024-06-22
3938639,Turkey,Georgia,3,1,2,Turkey,Team A Won (3-1),Group Stage,1151,813,1.4157441574415743,YES - Team A had more events and won,929,944,0.9841101694915254,NO - Events don't match result,2080,1757,1.1838360842344906,YES - Team A had more events and won,2024-06-18
3938641,Poland,Austria,1,3,2,Austria,Team B Won (1-3),Group Stage,744,1061,0.7012252591894439,YES - Team B had more events and won,821,774,1.0607235142118863,NO - Events don't match result,1565,1835,0.8528610354223434,YES - Team B had more events and won,2024-06-21
3938644,Georgia,Portugal,2,0,2,Georgia,Team A Won (2-0),Group Stage,683,1355,0.5040590405904058,NO - Events don't match result,510,1111,0.459045904590459,NO - Events don't match result,1193,2466,0.483779399837794,NO - Events don't match result,2024-06-26
3938643,France,Poland,1,1,0,Draw,Draw (1-1),Group Stage,1106,822,1.3454987834549879,NO - Events don't match result,955,884,1.080316742081448,YES - Balanced events for draw,2061,1706,1.2080890973036342,NO - Events don't match result,2024-06-25
3938638,Romania,Ukraine,3,0,3,Romania,Team A Won (3-0),Group Stage,606,1133,0.5348631950573698,NO - Events don't match result,492,938,0.5245202558635395,NO - Events don't match result,1098,2071,0.5301786576533076,NO - Events don't match result,2024-06-17
3930183,Slovakia,Romania,1,1,0,Draw,Draw (1-1),Group Stage,810,742,1.091644204851752,YES - Balanced events for draw,769,565,1.3610619469026548,NO - Events don't match result,1579,1307,1.2081101759755164,NO - Events don't match result,2024-06-26
3930181,England,Slovenia,0,0,0,Draw,Draw (0-0),Group Stage,1255,666,1.8843843843843844,NO - Events don't match result,1267,500,2.534,NO - Events don't match result,2522,1166,2.16295025728988,NO - Events don't match result,2024-06-25
3930178,Croatia,Italy,1,1,0,Draw,Draw (1-1),Group Stage,1237,959,1.2898852971845673,NO - Events don't match result,706,1104,0.6394927536231884,NO - Events don't match result,1943,2063,0.941832283082889,YES - Balanced events for draw,2024-06-24
3930176,Switzerland,Germany,1,1,0,Draw,Draw (1-1),Group Stage,675,1306,0.5168453292496171,NO - Events don't match result,720,1023,0.7038123167155426,NO - Events don't match result,1395,2329,0.5989695148132246,NO - Events don't match result,2024-06-23
3930175,Belgium,Romania,2,0,2,Belgium,Team A Won (2-0),Group Stage,1071,630,1.7,YES - Team A had more events and won,655,844,0.7760663507109005,NO - Events don't match result,1726,1474,1.1709633649932158,YES - Team A had more events and won,2024-06-22
3930174,Turkey,Portugal,0,3,3,Portugal,Team B Won (0-3),Group Stage,729,1013,0.71964461994077,YES - Team B had more events and won,958,1086,0.8821362799263351,YES - Team B had more events and won,1687,2099,0.8037160552644116,YES - Team B had more events and won,2024-06-22
