match_id,stage,home_team,away_team,ht_home,ht_away,ht_goal_diff,ft_home,ft_away,ft_goal_diff,total_goals,has_extra_time
3942819,Semi-finals,Netherlands,England,1,1,0,1,2,1,3,False
3943043,Final,Spain,England,0,0,0,2,1,1,3,False
3942752,Semi-finals,Spain,France,2,1,1,2,1,1,3,False
3942382,Quarter-finals,Netherlands,Turkey,0,1,1,2,1,1,3,False
3942349,Quarter-finals,Portugal,France,0,0,0,0,0,0,0,True
3930180,Group Stage,Netherlands,Austria,0,0,0,2,3,1,5,False
3930171,Group Stage,Denmark,England,1,1,0,1,1,0,2,False
3942227,Quarter-finals,England,Switzerland,0,0,0,1,1,0,2,True
3942226,Quarter-finals,Spain,Germany,0,0,0,2,1,1,3,True
3938645,Group Stage,Ukraine,Belgium,0,0,0,0,0,0,0,False
3930184,Group Stage,Czech Republic,Turkey,0,0,0,1,2,1,3,False
3941022,Round of 16,Austria,Turkey,0,1,1,1,2,1,3,False
3941021,Round of 16,Romania,Netherlands,0,1,1,0,3,3,3,False
3941020,Round of 16,Portugal,Slovenia,0,0,0,0,0,0,0,True
3941019,Round of 16,France,Belgium,0,0,0,1,0,1,1,False
3941018,Round of 16,Spain,Georgia,1,0,1,4,1,3,5,False
3941017,Round of 16,England,Slovakia,0,1,1,2,1,1,3,True
3930182,Group Stage,Denmark,Serbia,0,0,0,0,0,0,0,False
3930179,Group Stage,Albania,Spain,0,1,1,0,1,1,1,False
3940983,Round of 16,Germany,Denmark,0,0,0,2,0,2,2,False
3940878,Round of 16,Switzerland,Italy,1,0,1,2,0,2,2,False
3930177,Group Stage,Scotland,Hungary,0,0,0,0,1,1,1,False
3930173,Group Stage,Netherlands,France,0,0,0,0,0,0,0,False
3930172,Group Stage,Spain,Italy,0,0,0,1,0,1,1,False
3930167,Group Stage,Croatia,Albania,0,1,1,2,2,0,4,False
3930168,Group Stage,Germany,Hungary,1,0,1,2,0,2,2,False
3930165,Group Stage,Austria,France,0,0,0,0,1,1,1,False
3930164,Group Stage,Belgium,Slovakia,0,1,1,0,1,1,1,False
3930161,Group Stage,Italy,Albania,2,1,1,2,1,1,3,False
3938637,Group Stage,Poland,Netherlands,1,1,0,1,2,1,3,False
3938640,Group Stage,Slovakia,Ukraine,1,0,1,1,2,1,3,False
3938642,Group Stage,Georgia,Czech Republic,1,0,1,1,1,0,2,False
3938639,Group Stage,Turkey,Georgia,1,1,0,3,1,2,4,False
3938641,Group Stage,Poland,Austria,1,1,0,1,3,2,4,False
3938644,Group Stage,Georgia,Portugal,1,0,1,2,0,2,2,False
3938643,Group Stage,France,Poland,0,0,0,1,1,0,2,False
3938638,Group Stage,Romania,Ukraine,1,0,1,3,0,3,3,False
3930183,Group Stage,Slovakia,Romania,1,1,0,1,1,0,2,False
3930181,Group Stage,England,Slovenia,0,0,0,0,0,0,0,False
3930178,Group Stage,Croatia,Italy,0,0,0,1,1,0,2,False
3930176,Group Stage,Switzerland,Germany,1,0,1,1,1,0,2,False
3930175,Group Stage,Belgium,Romania,1,0,1,2,0,2,2,False
3930174,Group Stage,Turkey,Portugal,0,1,1,0,3,3,3,False
3930170,Group Stage,Slovenia,Serbia,0,0,0,1,1,0,2,False
3930169,Group Stage,Scotland,Switzerland,1,1,0,1,1,0,2,False
3930166,Group Stage,Portugal,Czech Republic,0,0,0,2,1,1,3,False
3930163,Group Stage,Serbia,England,0,1,1,0,1,1,1,False
3930162,Group Stage,Slovenia,Denmark,0,1,1,1,1,0,2,False
3930160,Group Stage,Spain,Croatia,3,0,3,3,0,3,3,False
3930159,Group Stage,Hungary,Switzerland,0,2,2,1,3,2,4,False
3930158,Group Stage,Germany,Scotland,3,0,3,5,1,4,6,False
