match_id,home_team,away_team,stage,ht_home,ht_away,ht_total,ht_result,ft_home,ft_away,ft_total,ft_result,sh_home,sh_away,sh_total,result_changed,momentum_pattern
3942819,Netherlands,England,Semi-finals,1,1,2,Draw,1,2,3,Away Win,0,1,1,True,Late Winner
3943043,Spain,England,Final,0,0,0,Draw,2,1,3,Home Win,2,1,3,True,Late Winner
3942752,Spain,France,Semi-finals,2,1,3,Home Win,2,1,3,Home Win,0,0,0,False,Result Maintained
3942382,Netherlands,Turkey,Quarter-finals,0,1,1,Away Win,2,1,3,Home Win,2,0,2,True,Home Comeback
3942349,Portugal,France,Quarter-finals,0,0,0,Draw,0,0,0,Draw,0,0,0,False,Result Maintained
3930180,Netherlands,Austria,Group Stage,0,0,0,Draw,2,3,5,Away Win,2,3,5,True,Late Winner
3930171,Denmark,England,Group Stage,1,1,2,Draw,1,1,2,Draw,0,0,0,False,Result Maintained
3942227,England,Switzerland,Quarter-finals,0,0,0,Draw,1,1,2,Draw,1,1,2,False,Result Maintained
3942226,Spain,Germany,Quarter-finals,0,0,0,Draw,2,1,3,Home Win,2,1,3,True,Late Winner
3938645,Ukraine,Belgium,Group Stage,0,0,0,Draw,0,0,0,Draw,0,0,0,False,Result Maintained
3930184,Czech Republic,Turkey,Group Stage,0,0,0,Draw,1,2,3,Away Win,1,2,3,True,Late Winner
3941022,Austria,Turkey,Round of 16,0,1,1,Away Win,1,2,3,Away Win,1,1,2,False,Result Maintained
3941021,Romania,Netherlands,Round of 16,0,1,1,Away Win,0,3,3,Away Win,0,2,2,False,Result Maintained
3941020,Portugal,Slovenia,Round of 16,0,0,0,Draw,0,0,0,Draw,0,0,0,False,Result Maintained
3941019,France,Belgium,Round of 16,0,0,0,Draw,1,0,1,Home Win,1,0,1,True,Late Winner
3941018,Spain,Georgia,Round of 16,1,0,1,Home Win,4,1,5,Home Win,3,1,4,False,Result Maintained
3941017,England,Slovakia,Round of 16,0,1,1,Away Win,2,1,3,Home Win,2,0,2,True,Home Comeback
3930182,Denmark,Serbia,Group Stage,0,0,0,Draw,0,0,0,Draw,0,0,0,False,Result Maintained
3930179,Albania,Spain,Group Stage,0,1,1,Away Win,0,1,1,Away Win,0,0,0,False,Result Maintained
3940983,Germany,Denmark,Round of 16,0,0,0,Draw,2,0,2,Home Win,2,0,2,True,Late Winner
3940878,Switzerland,Italy,Round of 16,1,0,1,Home Win,2,0,2,Home Win,1,0,1,False,Result Maintained
3930177,Scotland,Hungary,Group Stage,0,0,0,Draw,0,1,1,Away Win,0,1,1,True,Late Winner
3930173,Netherlands,France,Group Stage,0,0,0,Draw,0,0,0,Draw,0,0,0,False,Result Maintained
3930172,Spain,Italy,Group Stage,0,0,0,Draw,1,0,1,Home Win,1,0,1,True,Late Winner
3930167,Croatia,Albania,Group Stage,0,1,1,Away Win,2,2,4,Draw,2,1,3,True,Equalizer
3930168,Germany,Hungary,Group Stage,1,0,1,Home Win,2,0,2,Home Win,1,0,1,False,Result Maintained
3930165,Austria,France,Group Stage,0,0,0,Draw,0,1,1,Away Win,0,1,1,True,Late Winner
3930164,Belgium,Slovakia,Group Stage,0,1,1,Away Win,0,1,1,Away Win,0,0,0,False,Result Maintained
3930161,Italy,Albania,Group Stage,2,1,3,Home Win,2,1,3,Home Win,0,0,0,False,Result Maintained
3938637,Poland,Netherlands,Group Stage,1,1,2,Draw,1,2,3,Away Win,0,1,1,True,Late Winner
3938640,Slovakia,Ukraine,Group Stage,1,0,1,Home Win,1,2,3,Away Win,0,2,2,True,Away Comeback
3938642,Georgia,Czech Republic,Group Stage,1,0,1,Home Win,1,1,2,Draw,0,1,1,True,Equalizer
3938639,Turkey,Georgia,Group Stage,1,1,2,Draw,3,1,4,Home Win,2,0,2,True,Late Winner
3938641,Poland,Austria,Group Stage,1,1,2,Draw,1,3,4,Away Win,0,2,2,True,Late Winner
3938644,Georgia,Portugal,Group Stage,1,0,1,Home Win,2,0,2,Home Win,1,0,1,False,Result Maintained
3938643,France,Poland,Group Stage,0,0,0,Draw,1,1,2,Draw,1,1,2,False,Result Maintained
3938638,Romania,Ukraine,Group Stage,1,0,1,Home Win,3,0,3,Home Win,2,0,2,False,Result Maintained
3930183,Slovakia,Romania,Group Stage,1,1,2,Draw,1,1,2,Draw,0,0,0,False,Result Maintained
3930181,England,Slovenia,Group Stage,0,0,0,Draw,0,0,0,Draw,0,0,0,False,Result Maintained
3930178,Croatia,Italy,Group Stage,0,0,0,Draw,1,1,2,Draw,1,1,2,False,Result Maintained
3930176,Switzerland,Germany,Group Stage,1,0,1,Home Win,1,1,2,Draw,0,1,1,True,Equalizer
3930175,Belgium,Romania,Group Stage,1,0,1,Home Win,2,0,2,Home Win,1,0,1,False,Result Maintained
3930174,Turkey,Portugal,Group Stage,0,1,1,Away Win,0,3,3,Away Win,0,2,2,False,Result Maintained
3930170,Slovenia,Serbia,Group Stage,0,0,0,Draw,1,1,2,Draw,1,1,2,False,Result Maintained
3930169,Scotland,Switzerland,Group Stage,1,1,2,Draw,1,1,2,Draw,0,0,0,False,Result Maintained
3930166,Portugal,Czech Republic,Group Stage,0,0,0,Draw,2,1,3,Home Win,2,1,3,True,Late Winner
3930163,Serbia,England,Group Stage,0,1,1,Away Win,0,1,1,Away Win,0,0,0,False,Result Maintained
3930162,Slovenia,Denmark,Group Stage,0,1,1,Away Win,1,1,2,Draw,1,0,1,True,Equalizer
3930160,Spain,Croatia,Group Stage,3,0,3,Home Win,3,0,3,Home Win,0,0,0,False,Result Maintained
3930159,Hungary,Switzerland,Group Stage,0,2,2,Away Win,1,3,4,Away Win,1,1,2,False,Result Maintained
3930158,Germany,Scotland,Group Stage,3,0,3,Home Win,5,1,6,Home Win,2,1,3,False,Result Maintained
