match_id,period_1_goals,period_2_goals,total_goals
3942819,2,1,3
3943043,0,3,3
3942752,3,0,3
3942382,1,2,3
3942349,0,0,0
3930180,1,4,5
3930171,2,0,2
3942227,0,2,2
3942226,0,2,2
3938645,0,0,0
3930184,0,3,3
3941022,1,2,3
3941021,1,2,3
3941020,0,0,0
3941019,0,1,1
3941018,2,3,5
3941017,1,1,2
3930182,0,0,0
3930179,1,0,1
3940983,0,2,2
3940878,1,1,2
3930177,0,1,1
3930173,0,0,0
3930172,0,1,1
3930167,1,3,4
3930168,1,1,2
3930165,1,0,1
3930164,1,0,1
3930161,3,0,3
3938637,2,1,3
3938640,1,2,3
3938642,1,1,2
3938639,2,2,4
3938641,2,2,4
3938644,1,1,2
3938643,0,2,2
3938638,1,2,3
3930183,2,0,2
3930181,0,0,0
3930178,0,2,2
3930176,1,1,2
3930175,1,1,2
3930174,2,1,3
3930170,0,2,2
3930169,2,0,2
3930166,0,3,3
3930163,1,0,1
3930162,1,1,2
3930160,3,0,3
3930159,2,2,4
3930158,3,3,6
