Feature,Missing_Count,Missing_Pct,Non_Null_Count,Field_Path,Classification,Data_Types,Unique_Count,Sample_Values,Nested_Fields
pass,133968,71.31343887404316,53890,recipient,Player Reference - contains player identification,['dict'],0,[],"{'id': {'int'}, 'name': {'str'}}"
pass,133968,71.31343887404316,53890,recipient.id,ID Field - categorical identifier (19 unique IDs),['int'],19,"['3669', '3306', '15582', '7787', '3308', '8125', '34526', '3205', '37274', '3468']",
pass,133968,71.31343887404316,53890,recipient.name,"Name Field - categorical labels (19 categories: ['Jude Bellingham', 'Bart Verbruggen', 'Phil Foden', 'Bukayo Saka', 'John Stones'])",['str'],19,"['Jude Bellingham', 'Bart Verbruggen', 'Phil Foden', 'Bukayo Saka', 'John Stones', 'Kyle Walker', 'Jordan Pickford', 'Marc Guehi', 'Memphis Depay', 'Stefan de Vrij']",
pass,133968,71.31343887404316,53890,length,Measurement - numerical value (51 unique measurements),['float'],51,51 unique values,
pass,133968,71.31343887404316,53890,angle,Measurement - numerical value (51 unique measurements),['float'],51,51 unique values,
pass,133968,71.31343887404316,53890,height,Measurement - numerical value (0 unique measurements),['dict'],0,[],"{'id': {'int'}, 'name': {'str'}}"
pass,133968,71.31343887404316,53890,height.id,Measurement - numerical value (3 unique measurements),['int'],3,"['3', '1', '2']",
pass,133968,71.31343887404316,53890,height.name,Measurement - numerical value (3 unique measurements),['str'],3,"['Ground Pass', 'Low Pass', 'High Pass']",
pass,133968,71.31343887404316,53890,end_location,"Coordinate Array - [x, y] position data",['list'],1,['coordinate_array_length_2'],
pass,133968,71.31343887404316,53890,body_part,Coordinate Value - single position value,['dict'],0,[],"{'id': {'int'}, 'name': {'str'}}"
pass,133968,71.31343887404316,53890,body_part.id,Coordinate Value - single position value,['int'],3,"['40', '38', '37']",
pass,133968,71.31343887404316,53890,body_part.name,Coordinate Value - single position value,['str'],3,"['Right Foot', 'Head', 'Left Foot']",
pass,133968,71.31343887404316,53890,type,Coordinate Value - single position value,['dict'],0,[],"{'id': {'int'}, 'name': {'str'}}"
pass,133968,71.31343887404316,53890,type.id,Coordinate Value - single position value,['int'],3,"['65', '62', '66']",
pass,133968,71.31343887404316,53890,type.name,Coordinate Value - single position value,['str'],3,"['Kick Off', 'Recovery', 'Free Kick']",
pass,133968,71.31343887404316,53890,outcome,Small Categorical - 0 categories: [],['dict'],0,[],"{'id': {'int'}, 'name': {'str'}}"
pass,133968,71.31343887404316,53890,outcome.id,ID Field - categorical identifier (2 unique IDs),['int'],2,"['9', '76']",
pass,133968,71.31343887404316,53890,outcome.name,"Name Field - categorical labels (2 categories: ['Incomplete', 'Pass Offside'])",['str'],2,"['Incomplete', 'Pass Offside']",
shot,186518,99.28669526983147,1340,statsbomb_xg,Coordinate Value - single position value,['float'],43,43 unique values,
shot,186518,99.28669526983147,1340,end_location,"Coordinate Array - [x, y] position data",['list'],2,"['coordinate_array_length_2', 'coordinate_array_length_3']",
shot,186518,99.28669526983147,1340,technique,Technique/Method - categorical (0 categories: []),['dict'],0,[],"{'id': {'int'}, 'name': {'str'}}"
shot,186518,99.28669526983147,1340,technique.id,ID Field - categorical identifier (5 unique IDs),['int'],5,"['92', '95', '93', '91', '94']",
shot,186518,99.28669526983147,1340,technique.name,"Name Field - categorical labels (5 categories: ['Lob', 'Half Volley', 'Overhead Kick', 'Volley', 'Normal'])",['str'],5,"['Lob', 'Half Volley', 'Overhead Kick', 'Volley', 'Normal']",
shot,186518,99.28669526983147,1340,body_part,Coordinate Value - single position value,['dict'],0,[],"{'id': {'int'}, 'name': {'str'}}"
shot,186518,99.28669526983147,1340,body_part.id,Coordinate Value - single position value,['int'],3,"['40', '38', '37']",
shot,186518,99.28669526983147,1340,body_part.name,Coordinate Value - single position value,['str'],3,"['Right Foot', 'Head', 'Left Foot']",
shot,186518,99.28669526983147,1340,type,Coordinate Value - single position value,['dict'],0,[],"{'id': {'int'}, 'name': {'str'}}"
shot,186518,99.28669526983147,1340,type.id,Coordinate Value - single position value,['int'],2,"['88', '87']",
shot,186518,99.28669526983147,1340,type.name,Coordinate Value - single position value,['str'],2,"['Penalty', 'Open Play']",
shot,186518,99.28669526983147,1340,outcome,Small Categorical - 0 categories: [],['dict'],0,[],"{'id': {'int'}, 'name': {'str'}}"
shot,186518,99.28669526983147,1340,outcome.id,ID Field - categorical identifier (6 unique IDs),['int'],6,"['96', '99', '97', '100', '98', '101']",
shot,186518,99.28669526983147,1340,outcome.name,"Name Field - categorical labels (6 categories: ['Saved', 'Goal', 'Post', 'Wayward', 'Off T'])",['str'],6,"['Saved', 'Goal', 'Post', 'Wayward', 'Off T', 'Blocked']",
