sequence_id,sequence_type,sequence_key_event,event_position,sequence_length,is_key_event,match_id,id,index,minute,second,period,timestamp,type,possession_team,location,player,player_id,team,position,shot,pass,dribble,carry,duel,interception,clearance,goalkeeper,under_pressure,counterpress,play_pattern,duration,related_events,home_team_name,away_team_name
1,carry_sequence,Carry,1,4,False,3943043,d64668c7-747c-4a7d-912c-e1c3ff357a67,6,0,2,1,00:00:02.870,"{'id': 42, 'name': 'Ball Receipt*'}","{'id': 768, 'name': 'England'}","[25.4, 38.8]","{'id': 3468, 'name': 'Jordan Pickford'}",,"{'id': 768, 'name': 'England'}","{'id': 1, 'name': 'Goalkeeper'}",,,,,,,,,,,"{'id': 9, 'name': 'From Kick Off'}",,['152820f0-6ca9-4df3-943b-a67d568ff472'],Spain,England
1,carry_sequence,Carry,2,4,True,3943043,9c107df3-a3c8-4ad5-bc35-00214087a105,7,0,2,1,00:00:02.870,"{'id': 43, 'name': 'Carry'}","{'id': 768, 'name': 'England'}","[25.4, 38.8]","{'id': 3468, 'name': 'Jordan Pickford'}",,"{'id': 768, 'name': 'England'}","{'id': 1, 'name': 'Goalkeeper'}",,,,"{'end_location': [28.7, 31.6]}",,,,,,,"{'id': 9, 'name': 'From Kick Off'}",1.872089,"['237201b8-aef8-4823-b282-e82875795c07', 'd64668c7-747c-4a7d-912c-e1c3ff357a67']",Spain,England
1,carry_sequence,Carry,3,4,False,3943043,237201b8-aef8-4823-b282-e82875795c07,8,0,4,1,00:00:04.742,"{'id': 30, 'name': 'Pass'}","{'id': 768, 'name': 'England'}","[28.7, 31.6]","{'id': 3468, 'name': 'Jordan Pickford'}",,"{'id': 768, 'name': 'England'}","{'id': 1, 'name': 'Goalkeeper'}",,"{'recipient': {'id': 22084, 'name': 'Bukayo Saka'}, 'length': 98.1779, 'angle': 0.3765344, 'height': {'id': 3, 'name': 'High Pass'}, 'end_location': [120.0, 67.7], 'outcome': {'id': 75, 'name': 'Out'}, 'body_part': {'id': 38, 'name': 'Left Foot'}}",,,,,,,,,"{'id': 9, 'name': 'From Kick Off'}",5.137795,['c979e198-edc1-4f22-851a-26cedb6474cf'],Spain,England
1,carry_sequence,Carry,4,4,False,3943043,c979e198-edc1-4f22-851a-26cedb6474cf,9,0,9,1,00:00:09.879,"{'id': 42, 'name': 'Ball Receipt*'}","{'id': 768, 'name': 'England'}","[96.8, 56.5]","{'id': 22084, 'name': 'Bukayo Saka'}",,"{'id': 768, 'name': 'England'}","{'id': 17, 'name': 'Right Wing'}",,,,,,,,,,,"{'id': 9, 'name': 'From Kick Off'}",,['237201b8-aef8-4823-b282-e82875795c07'],Spain,England
2,carry_sequence,Carry,1,4,False,3943043,00b729e2-1d98-4bc2-b763-3a8f4f7f1daf,11,0,35,1,00:00:35.658,"{'id': 42, 'name': 'Ball Receipt*'}","{'id': 772, 'name': 'Spain'}","[9.1, 57.2]","{'id': 22128, 'name': 'Robin Aime Robert Le Normand'}",,"{'id': 772, 'name': 'Spain'}","{'id': 3, 'name': 'Right Center Back'}",,,,,,,,,,,"{'id': 7, 'name': 'From Goal Kick'}",,['238f44cb-0f18-4217-85b5-8cc6345278fe'],Spain,England
2,carry_sequence,Carry,2,4,True,3943043,987a3f1e-4dc4-4833-8896-5513e35c3fc5,12,0,35,1,00:00:35.658,"{'id': 43, 'name': 'Carry'}","{'id': 772, 'name': 'Spain'}","[9.1, 57.2]","{'id': 22128, 'name': 'Robin Aime Robert Le Normand'}",,"{'id': 772, 'name': 'Spain'}","{'id': 3, 'name': 'Right Center Back'}",,,,"{'end_location': [8.9, 57.2]}",,,,,,,"{'id': 7, 'name': 'From Goal Kick'}",0.620663,"['00b729e2-1d98-4bc2-b763-3a8f4f7f1daf', '660f4d9e-9ae4-4a8c-9f44-acdbc0a04e8c']",Spain,England
2,carry_sequence,Carry,3,4,False,3943043,660f4d9e-9ae4-4a8c-9f44-acdbc0a04e8c,13,0,36,1,00:00:36.279,"{'id': 30, 'name': 'Pass'}","{'id': 772, 'name': 'Spain'}","[8.9, 57.2]","{'id': 22128, 'name': 'Robin Aime Robert Le Normand'}",,"{'id': 772, 'name': 'Spain'}","{'id': 3, 'name': 'Right Center Back'}",,"{'recipient': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'length': 21.973848, 'angle': 1.0093026, 'height': {'id': 1, 'name': 'Ground Pass'}, 'end_location': [20.6, 75.8], 'body_part': {'id': 40, 'name': 'Right Foot'}}",,,,,,,,,"{'id': 7, 'name': 'From Goal Kick'}",1.390837,['55276290-a4be-4d29-972d-a996549a9641'],Spain,England
2,carry_sequence,Carry,4,4,False,3943043,55276290-a4be-4d29-972d-a996549a9641,14,0,37,1,00:00:37.670,"{'id': 42, 'name': 'Ball Receipt*'}","{'id': 772, 'name': 'Spain'}","[20.6, 75.8]","{'id': 5721, 'name': 'Daniel Carvajal Ramos'}",,"{'id': 772, 'name': 'Spain'}","{'id': 2, 'name': 'Right Back'}",,,,,,,,,,,"{'id': 7, 'name': 'From Goal Kick'}",,['660f4d9e-9ae4-4a8c-9f44-acdbc0a04e8c'],Spain,England
3,pressure_sequence,Pressure,1,5,False,3943043,55276290-a4be-4d29-972d-a996549a9641,14,0,37,1,00:00:37.670,"{'id': 42, 'name': 'Ball Receipt*'}","{'id': 772, 'name': 'Spain'}","[20.6, 75.8]","{'id': 5721, 'name': 'Daniel Carvajal Ramos'}",,"{'id': 772, 'name': 'Spain'}","{'id': 2, 'name': 'Right Back'}",,,,,,,,,,,"{'id': 7, 'name': 'From Goal Kick'}",,['660f4d9e-9ae4-4a8c-9f44-acdbc0a04e8c'],Spain,England
3,pressure_sequence,Pressure,2,5,False,3943043,786c039a-7010-475c-9a75-9bf41b4e5700,15,0,37,1,00:00:37.670,"{'id': 43, 'name': 'Carry'}","{'id': 772, 'name': 'Spain'}","[20.6, 75.8]","{'id': 5721, 'name': 'Daniel Carvajal Ramos'}",,"{'id': 772, 'name': 'Spain'}","{'id': 2, 'name': 'Right Back'}",,,,"{'end_location': [28.6, 76.4]}",,,,,True,,"{'id': 7, 'name': 'From Goal Kick'}",1.766383,"['55276290-a4be-4d29-972d-a996549a9641', 'c57df114-dea7-41d2-a984-4e02aa3564fb', 'dd8cccdf-05dc-41ca-b617-8812c416d5d2']",Spain,England
