match_id,match_date,stage,kick_off_time,stadium,referee,team_a,team_b,team_a_score,team_b_score,team_a_matches_played,team_a_wins,team_a_draws,team_a_losses,team_a_goals_scored,team_a_goals_conceded,team_a_goal_difference,team_a_last_result,team_a_last_score,team_a_last_opponent,team_b_matches_played,team_b_wins,team_b_draws,team_b_losses,team_b_goals_scored,team_b_goals_conceded,team_b_goal_difference,team_b_last_result,team_b_last_score,team_b_last_opponent,team_a_lineup,team_b_lineup,event_number,event_id,minute,second,period,timestamp,event_type,event_team,is_team_a_event,player_name,player_position,location,under_pressure,duration,pass_details,carry_details,shot_details
3930158,2024-06-14,Group Stage,22:00:00.000,Allianz Arena,Clément Turpin,Germany,Scotland,5,1,0,0,0,0,0,0,0,No previous match,N/A,N/A,0,0,0,0,0,0,0,No previous match,N/A,N/A,1.Manuel Neuer | 2.Antonio Rüdiger | 3.David Raum | 4.Jonathan Tah | 5.Pascal Groß | 6.Joshua Kimmich | 7.Kai Havertz | 8.Toni Kroos | 9.Niclas Füllkrug | 10.Jamal Musiala | 11.Chris Führich,1.Angus Gunn | 2.Anthony Ralston | 3.Andrew Robertson | 4.Scott McTominay | 5.Grant Campbell Hanley | 6.Kieran Tierney | 7.John McGinn | 8.Callum McGregor | 9.Lawrence Shankland | 10.Che Adams | 11.Ryan Christie,1,f2207d37-beed-4073-84a5-f9d696e2afdd,0,0,1,00:00:00.000,Starting XI,Germany,True,None,Unknown,,,0.0,,,
3930158,2024-06-14,Group Stage,22:00:00.000,Allianz Arena,Clément Turpin,Germany,Scotland,5,1,0,0,0,0,0,0,0,No previous match,N/A,N/A,0,0,0,0,0,0,0,No previous match,N/A,N/A,1.Manuel Neuer | 2.Antonio Rüdiger | 3.David Raum | 4.Jonathan Tah | 5.Pascal Groß | 6.Joshua Kimmich | 7.Kai Havertz | 8.Toni Kroos | 9.Niclas Füllkrug | 10.Jamal Musiala | 11.Chris Führich,1.Angus Gunn | 2.Anthony Ralston | 3.Andrew Robertson | 4.Scott McTominay | 5.Grant Campbell Hanley | 6.Kieran Tierney | 7.John McGinn | 8.Callum McGregor | 9.Lawrence Shankland | 10.Che Adams | 11.Ryan Christie,2,43e494fe-4871-4b2a-a509-a325c17a5e3f,0,0,1,00:00:00.000,Starting XI,Scotland,False,None,Unknown,,,0.0,,,
3930158,2024-06-14,Group Stage,22:00:00.000,Allianz Arena,Clément Turpin,Germany,Scotland,5,1,0,0,0,0,0,0,0,No previous match,N/A,N/A,0,0,0,0,0,0,0,No previous match,N/A,N/A,1.Manuel Neuer | 2.Antonio Rüdiger | 3.David Raum | 4.Jonathan Tah | 5.Pascal Groß | 6.Joshua Kimmich | 7.Kai Havertz | 8.Toni Kroos | 9.Niclas Füllkrug | 10.Jamal Musiala | 11.Chris Führich,1.Angus Gunn | 2.Anthony Ralston | 3.Andrew Robertson | 4.Scott McTominay | 5.Grant Campbell Hanley | 6.Kieran Tierney | 7.John McGinn | 8.Callum McGregor | 9.Lawrence Shankland | 10.Che Adams | 11.Ryan Christie,3,d9de8fe7-3122-4067-a1c2-a742c7edb2b8,0,0,1,00:00:00.000,Half Start,Germany,True,None,Unknown,,,0.0,,,
3930158,2024-06-14,Group Stage,22:00:00.000,Allianz Arena,Clément Turpin,Germany,Scotland,5,1,0,0,0,0,0,0,0,No previous match,N/A,N/A,0,0,0,0,0,0,0,No previous match,N/A,N/A,1.Manuel Neuer | 2.Antonio Rüdiger | 3.David Raum | 4.Jonathan Tah | 5.Pascal Groß | 6.Joshua Kimmich | 7.Kai Havertz | 8.Toni Kroos | 9.Niclas Füllkrug | 10.Jamal Musiala | 11.Chris Führich,1.Angus Gunn | 2.Anthony Ralston | 3.Andrew Robertson | 4.Scott McTominay | 5.Grant Campbell Hanley | 6.Kieran Tierney | 7.John McGinn | 8.Callum McGregor | 9.Lawrence Shankland | 10.Che Adams | 11.Ryan Christie,4,455f819f-3926-4ed4-a0e9-4e9e4d0bf95a,0,0,1,00:00:00.000,Half Start,Scotland,False,None,Unknown,,,0.0,,,
3930171,2024-06-20,Group Stage,19:00:00.000,Deutsche Bank Park,Artur Manuel Ribeiro Soares Dias,Denmark,England,1,1,1,0,1,0,1,1,0,Draw,1-1,Slovenia,1,1,0,0,1,0,1,Win,1-0,Serbia,1.Kasper Schmeichel | 2.Joachim Andersen | 3.Jannik Vestergaard | 4.Simon Thorup Kjær | 5.Joakim Mæhle | 6.Andreas Christensen | 7.Mathias Jensen | 9.Rasmus Winther Højlund | 10.Christian Dannemann Eriksen | 11.Andreas Skov Olsen | 12.Kasper Dolberg,1.Jordan Pickford | 2.Kyle Walker | 4.Declan Rice | 5.John Stones | 6.Marc Guehi | 7.Bukayo Saka | 8.Trent Alexander-Arnold | 9.Harry Kane | 10.Jude Bellingham | 11.Phil Foden | 12.Kieran Trippier,1,d87ba68c-2ca2-41a5-b9cd-2e71fd786eef,0,0,1,00:00:00.000,Starting XI,Denmark,True,None,Unknown,,,0.0,,,
3930171,2024-06-20,Group Stage,19:00:00.000,Deutsche Bank Park,Artur Manuel Ribeiro Soares Dias,Denmark,England,1,1,1,0,1,0,1,1,0,Draw,1-1,Slovenia,1,1,0,0,1,0,1,Win,1-0,Serbia,1.Kasper Schmeichel | 2.Joachim Andersen | 3.Jannik Vestergaard | 4.Simon Thorup Kjær | 5.Joakim Mæhle | 6.Andreas Christensen | 7.Mathias Jensen | 9.Rasmus Winther Højlund | 10.Christian Dannemann Eriksen | 11.Andreas Skov Olsen | 12.Kasper Dolberg,1.Jordan Pickford | 2.Kyle Walker | 4.Declan Rice | 5.John Stones | 6.Marc Guehi | 7.Bukayo Saka | 8.Trent Alexander-Arnold | 9.Harry Kane | 10.Jude Bellingham | 11.Phil Foden | 12.Kieran Trippier,2,d0bb7726-943a-47fa-9c7a-418600126d19,0,0,1,00:00:00.000,Starting XI,England,False,None,Unknown,,,0.0,,,
3930171,2024-06-20,Group Stage,19:00:00.000,Deutsche Bank Park,Artur Manuel Ribeiro Soares Dias,Denmark,England,1,1,1,0,1,0,1,1,0,Draw,1-1,Slovenia,1,1,0,0,1,0,1,Win,1-0,Serbia,1.Kasper Schmeichel | 2.Joachim Andersen | 3.Jannik Vestergaard | 4.Simon Thorup Kjær | 5.Joakim Mæhle | 6.Andreas Christensen | 7.Mathias Jensen | 9.Rasmus Winther Højlund | 10.Christian Dannemann Eriksen | 11.Andreas Skov Olsen | 12.Kasper Dolberg,1.Jordan Pickford | 2.Kyle Walker | 4.Declan Rice | 5.John Stones | 6.Marc Guehi | 7.Bukayo Saka | 8.Trent Alexander-Arnold | 9.Harry Kane | 10.Jude Bellingham | 11.Phil Foden | 12.Kieran Trippier,3,b564ba0b-eae4-434b-80a5-e7eb21d1f231,0,0,1,00:00:00.000,Half Start,England,False,None,Unknown,,,0.0,,,
3930171,2024-06-20,Group Stage,19:00:00.000,Deutsche Bank Park,Artur Manuel Ribeiro Soares Dias,Denmark,England,1,1,1,0,1,0,1,1,0,Draw,1-1,Slovenia,1,1,0,0,1,0,1,Win,1-0,Serbia,1.Kasper Schmeichel | 2.Joachim Andersen | 3.Jannik Vestergaard | 4.Simon Thorup Kjær | 5.Joakim Mæhle | 6.Andreas Christensen | 7.Mathias Jensen | 9.Rasmus Winther Højlund | 10.Christian Dannemann Eriksen | 11.Andreas Skov Olsen | 12.Kasper Dolberg,1.Jordan Pickford | 2.Kyle Walker | 4.Declan Rice | 5.John Stones | 6.Marc Guehi | 7.Bukayo Saka | 8.Trent Alexander-Arnold | 9.Harry Kane | 10.Jude Bellingham | 11.Phil Foden | 12.Kieran Trippier,4,85d3d214-fb4f-4357-ad30-30f6034e2b2f,0,0,1,00:00:00.000,Half Start,Denmark,True,None,Unknown,,,0.0,,,
3930180,2024-06-25,Group Stage,19:00:00.000,Olympiastadion Berlin,Ivan Kružliak,Netherlands,Austria,2,3,2,1,1,0,2,1,1,Win,2-1,Poland,2,1,0,1,3,2,1,Win,3-1,Poland,1.Bart Verbruggen | 2.Lutsharel Geertruida | 3.Matthijs de Ligt | 4.Virgil van Dijk | 5.Nathan Aké | 6.Stefan de Vrij | 7.Xavi Simons | 8.Georginio Wijnaldum | 9.Wout Weghorst | 10.Memphis Depay | 11.Cody Mathès Gakpo,1.Heinz Lindner | 2.Maximilian Wöber | 3.Gernot Trauner | 4.Kevin Danso | 5.Stefan Posch | 6.Nicolas Seiwald | 7.Marko Arnautović | 8.Alexander Prass | 9.Marcel Sabitzer | 10.Florian Grillitsch | 11.Michael Gregoritsch,1,d6422116-ef88-44b6-84d3-b466bdfa05d2,0,0,1,00:00:00.000,Starting XI,Netherlands,True,None,Unknown,,,0.0,,,
3930180,2024-06-25,Group Stage,19:00:00.000,Olympiastadion Berlin,Ivan Kružliak,Netherlands,Austria,2,3,2,1,1,0,2,1,1,Win,2-1,Poland,2,1,0,1,3,2,1,Win,3-1,Poland,1.Bart Verbruggen | 2.Lutsharel Geertruida | 3.Matthijs de Ligt | 4.Virgil van Dijk | 5.Nathan Aké | 6.Stefan de Vrij | 7.Xavi Simons | 8.Georginio Wijnaldum | 9.Wout Weghorst | 10.Memphis Depay | 11.Cody Mathès Gakpo,1.Heinz Lindner | 2.Maximilian Wöber | 3.Gernot Trauner | 4.Kevin Danso | 5.Stefan Posch | 6.Nicolas Seiwald | 7.Marko Arnautović | 8.Alexander Prass | 9.Marcel Sabitzer | 10.Florian Grillitsch | 11.Michael Gregoritsch,2,abcd22f7-e442-4196-8706-4d482a37fd7c,0,0,1,00:00:00.000,Starting XI,Austria,False,None,Unknown,,,0.0,,,
3930180,2024-06-25,Group Stage,19:00:00.000,Olympiastadion Berlin,Ivan Kružliak,Netherlands,Austria,2,3,2,1,1,0,2,1,1,Win,2-1,Poland,2,1,0,1,3,2,1,Win,3-1,Poland,1.Bart Verbruggen | 2.Lutsharel Geertruida | 3.Matthijs de Ligt | 4.Virgil van Dijk | 5.Nathan Aké | 6.Stefan de Vrij | 7.Xavi Simons | 8.Georginio Wijnaldum | 9.Wout Weghorst | 10.Memphis Depay | 11.Cody Mathès Gakpo,1.Heinz Lindner | 2.Maximilian Wöber | 3.Gernot Trauner | 4.Kevin Danso | 5.Stefan Posch | 6.Nicolas Seiwald | 7.Marko Arnautović | 8.Alexander Prass | 9.Marcel Sabitzer | 10.Florian Grillitsch | 11.Michael Gregoritsch,3,11f88a8e-9dcc-4709-a1e6-7a2e9ef0cd0c,0,0,1,00:00:00.000,Half Start,Netherlands,True,None,Unknown,,,0.0,,,
