match_id,stage,stadium,referee,team_a,team_b,team_a_matches_played,team_a_wins,team_a_draws,team_a_losses,team_a_goals_scored,team_a_goals_conceded,team_a_goal_difference,team_a_last_result,team_a_last_score,team_a_last_opponent,team_b_matches_played,team_b_wins,team_b_draws,team_b_losses,team_b_goals_scored,team_b_goals_conceded,team_b_goal_difference,team_b_last_result,team_b_last_score,team_b_last_opponent,commentary
3930158,Group Stage,Allianz Arena,Clément Turpin,Germany,Scotland,0,0,0,0,0,0,0,No previous match,,,0,0,0,0,0,0,0,No previous match,,,Welcome to Allianz Arena for this Group Stage clash between Germany and Scotland. Clément Turpin will be taking charge of today's match. Germany are making their tournament debut. Scotland are also starting their tournament campaign. We're all set for kick-off here at Allianz Arena.
3930171,Group Stage,Deutsche Bank Park,Artur Manuel Ribeiro Soares Dias,Denmark,England,1,0,1,0,1,1,0,Draw,1-1,Slovenia,1,1,0,0,1,0,1,Win,1-0,Serbia,"Welcome to Deutsche Bank Park for this Group Stage clash between Denmark and England. Artur Manuel Ribeiro Soares Dias will be taking charge of today's match. Denmark come into this match having recorded 0 wins, 1 draw, and 0 losses in the tournament so far. They've scored 1 goal while conceding 1. Their previous match ended in a 1-1 draw against Slovenia. England have managed 1 win, 0 draws, and 0 losses so far in Euro 2024. With 1 goal scored and 0 conceded, they come in confident after beating Serbia 1-0. We're all set for kick-off here at Deutsche Bank Park."
3930180,Group Stage,Olympiastadion Berlin,Ivan Kružliak,Netherlands,Austria,2,1,1,0,2,1,1,Win,2-1,Poland,2,1,0,1,3,2,1,Win,3-1,Poland,"Welcome to Olympiastadion Berlin for this Group Stage clash between Netherlands and Austria. Ivan Kružliak will be taking charge of today's match. Netherlands come into this match having recorded 1 win, 1 draw, and 0 losses in the tournament so far. They've scored 2 goals while conceding 1. Last time out, they secured a 2-1 victory over Poland. Austria have managed 1 win, 0 draws, and 1 loss so far in Euro 2024. With 3 goals scored and 2 conceded, they come in confident after beating Poland 3-1. We're all set for kick-off here at Olympiastadion Berlin."
3941017,Round of 16,VELTINS-Arena,Halil Umut Meler,England,Slovakia,3,1,2,0,2,1,1,Win,1-0,Serbia,3,1,1,1,3,3,0,Draw,1-1,Romania,"Welcome to VELTINS-Arena for this Round of 16 clash between England and Slovakia. Halil Umut Meler will be taking charge of today's match. England come into this match having recorded 1 win, 2 draws, and 0 losses in the tournament so far. They've scored 2 goals while conceding 1. Last time out, they secured a 1-0 victory over Serbia. Slovakia have managed 1 win, 1 draw, and 1 loss so far in Euro 2024. With 3 goals scored and 3 conceded, they drew 1-1 with Romania last time. We're all set for kick-off here at VELTINS-Arena."
3941021,Round of 16,Allianz Arena,Felix Zwayer,Romania,Netherlands,3,1,1,1,4,3,1,Loss,0-2,Belgium,3,1,1,1,4,4,0,Win,2-1,Poland,"Welcome to Allianz Arena for this Round of 16 clash between Romania and Netherlands. Felix Zwayer will be taking charge of today's match. Romania come into this match having recorded 1 win, 1 draw, and 1 loss in the tournament so far. They've scored 4 goals while conceding 3. They'll be looking to bounce back from a 0-2 defeat to Belgium. Netherlands have managed 1 win, 1 draw, and 1 loss so far in Euro 2024. With 4 goals scored and 4 conceded, they come in confident after beating Poland 2-1. We're all set for kick-off here at Allianz Arena."
3942226,Quarter-finals,MHPArena,Anthony Taylor,Spain,Germany,4,4,0,0,9,1,8,Win,3-0,Croatia,4,3,1,0,10,2,8,Win,5-1,Scotland,"Welcome to MHPArena for this Quarter-finals clash between Spain and Germany. Anthony Taylor will be taking charge of today's match. Spain come into this match having recorded 4 wins, 0 draws, and 0 losses in the tournament so far. They've scored 9 goals while conceding 1. Last time out, they secured a 3-0 victory over Croatia. Germany have managed 3 wins, 1 draw, and 0 losses so far in Euro 2024. With 10 goals scored and 2 conceded, they come in confident after beating Scotland 5-1. We're all set for kick-off here at MHPArena."
3942382,Quarter-finals,Olympiastadion Berlin,Clément Turpin,Netherlands,Turkey,4,2,1,1,7,4,3,Win,2-1,Poland,4,3,0,1,7,6,1,Loss,0-3,Portugal,"Welcome to Olympiastadion Berlin for this Quarter-finals clash between Netherlands and Turkey. Clément Turpin will be taking charge of today's match. Netherlands come into this match having recorded 2 wins, 1 draw, and 1 loss in the tournament so far. They've scored 7 goals while conceding 4. Last time out, they secured a 2-1 victory over Poland. Turkey have managed 3 wins, 0 draws, and 1 loss so far in Euro 2024. With 7 goals scored and 6 conceded, they'll want to recover from that 0-3 loss to Portugal. We're all set for kick-off here at Olympiastadion Berlin."
3942752,Semi-finals,Allianz Arena,Slavko Vinčić,Spain,France,5,5,0,0,11,2,9,Win,3-0,Croatia,5,2,3,0,3,1,2,Draw,1-1,Poland,"Welcome to Allianz Arena for this Semi-finals clash between Spain and France. Slavko Vinčić will be taking charge of today's match. Spain come into this match having recorded 5 wins, 0 draws, and 0 losses in the tournament so far. They've scored 11 goals while conceding 2. Last time out, they secured a 3-0 victory over Croatia. France have managed 2 wins, 3 draws, and 0 losses so far in Euro 2024. With 3 goals scored and 1 conceded, they drew 1-1 with Poland last time. We're all set for kick-off here at Allianz Arena."
3942819,Semi-finals,Signal-Iduna-Park,Felix Zwayer,Netherlands,England,5,3,1,1,9,5,4,Win,2-1,Poland,5,2,3,0,5,3,2,Win,1-0,Serbia,"Welcome to Signal-Iduna-Park for this Semi-finals clash between Netherlands and England. Felix Zwayer will be taking charge of today's match. Netherlands come into this match having recorded 3 wins, 1 draw, and 1 loss in the tournament so far. They've scored 9 goals while conceding 5. Last time out, they secured a 2-1 victory over Poland. England have managed 2 wins, 3 draws, and 0 losses so far in Euro 2024. With 5 goals scored and 3 conceded, they come in confident after beating Serbia 1-0. We're all set for kick-off here at Signal-Iduna-Park."
3943043,Final,Olympiastadion Berlin,François Letexier,Spain,England,6,6,0,0,13,3,10,Win,3-0,Croatia,6,3,3,0,7,4,3,Win,1-0,Serbia,"Welcome to Olympiastadion Berlin for this Final clash between Spain and England. François Letexier will be taking charge of today's match. Spain come into this match having recorded 6 wins, 0 draws, and 0 losses in the tournament so far. They've scored 13 goals while conceding 3. Last time out, they secured a 3-0 victory over Croatia. England have managed 3 wins, 3 draws, and 0 losses so far in Euro 2024. With 7 goals scored and 4 conceded, they come in confident after beating Serbia 1-0. We're all set for kick-off here at Olympiastadion Berlin."
