sequence_id,sequence_type,sequence_key_event,sequence_length,event_position,is_key_event,match_id,home_team,away_team,minute,second,period,timestamp,event_type,player_name,player_position,team_name,possession_team,location_x,location_y,zone_horizontal,zone_vertical,zone_combined,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,shot_xg,shot_outcome,shot_body_part,dribble_outcome,dribble_nutmeg,carry_end_x,carry_end_y,carry_distance,event_commentary,sequence_commentary
1,carry_sequence,Carry,4,1,False,3943043,Spain,England,0,2,1,00:00:02.870,Ball Receipt*,Jordan Pickford,Goalkeeper,England,England,25.4,38.8,defensive third,central,central defensive third,False,,From Kick Off,,,,,,,,,False,,,,Jordan Pickford receives,[0:02] Jordan Pickford receives. Jordan Pickford carries the ball. Jordan Pickford plays long ball through the air to Bukayo Saka. Bukayo Saka receives.
1,carry_sequence,Carry,4,2,True,3943043,Spain,England,0,2,1,00:00:02.870,Carry,Jordan Pickford,Goalkeeper,England,England,25.4,38.8,defensive third,central,central defensive third,False,1.872089,From Kick Off,,,,,,,,,False,28.7,31.6,7.920227269466448,Jordan Pickford carries the ball,[0:02] Jordan Pickford receives. Jordan Pickford carries the ball. Jordan Pickford plays long ball through the air to Bukayo Saka. Bukayo Saka receives.
1,carry_sequence,Carry,4,3,False,3943043,Spain,England,0,4,1,00:00:04.742,Pass,Jordan Pickford,Goalkeeper,England,England,28.7,31.6,defensive third,central,central defensive third,False,5.137795,From Kick Off,Bukayo Saka,98.1779,High Pass,Out,,,,,False,,,,Jordan Pickford plays long ball through the air to Bukayo Saka,[0:02] Jordan Pickford receives. Jordan Pickford carries the ball. Jordan Pickford plays long ball through the air to Bukayo Saka. Bukayo Saka receives.
1,carry_sequence,Carry,4,4,False,3943043,Spain,England,0,9,1,00:00:09.879,Ball Receipt*,Bukayo Saka,Right Wing,England,England,96.8,56.5,attacking third,left,left attacking third,False,,From Kick Off,,,,,,,,,False,,,,Bukayo Saka receives,[0:02] Jordan Pickford receives. Jordan Pickford carries the ball. Jordan Pickford plays long ball through the air to Bukayo Saka. Bukayo Saka receives.
2,carry_sequence,Carry,4,1,False,3943043,Spain,England,0,35,1,00:00:35.658,Ball Receipt*,Robin Aime Robert Le Normand,Right Center Back,Spain,Spain,9.1,57.2,defensive third,left,left defensive third,False,,From Goal Kick,,,,,,,,,False,,,,Robin Aime Robert Le Normand receives,[0:35] Robin Aime Robert Le Normand receives. Robin Aime Robert Le Normand carries the ball. Robin Aime Robert Le Normand plays medium pass along the ground to Daniel Carvajal Ramos. Daniel Carvajal Ramos receives.
2,carry_sequence,Carry,4,2,True,3943043,Spain,England,0,35,1,00:00:35.658,Carry,Robin Aime Robert Le Normand,Right Center Back,Spain,Spain,9.1,57.2,defensive third,left,left defensive third,False,0.620663,From Goal Kick,,,,,,,,,False,8.9,57.2,0.1999999999999993,Robin Aime Robert Le Normand carries the ball,[0:35] Robin Aime Robert Le Normand receives. Robin Aime Robert Le Normand carries the ball. Robin Aime Robert Le Normand plays medium pass along the ground to Daniel Carvajal Ramos. Daniel Carvajal Ramos receives.
2,carry_sequence,Carry,4,3,False,3943043,Spain,England,0,36,1,00:00:36.279,Pass,Robin Aime Robert Le Normand,Right Center Back,Spain,Spain,8.9,57.2,defensive third,left,left defensive third,False,1.390837,From Goal Kick,Daniel Carvajal Ramos,21.973848,Ground Pass,,,,,,False,,,,Robin Aime Robert Le Normand plays medium pass along the ground to Daniel Carvajal Ramos,[0:35] Robin Aime Robert Le Normand receives. Robin Aime Robert Le Normand carries the ball. Robin Aime Robert Le Normand plays medium pass along the ground to Daniel Carvajal Ramos. Daniel Carvajal Ramos receives.
2,carry_sequence,Carry,4,4,False,3943043,Spain,England,0,37,1,00:00:37.670,Ball Receipt*,Daniel Carvajal Ramos,Right Back,Spain,Spain,20.6,75.8,defensive third,left,left defensive third,False,,From Goal Kick,,,,,,,,,False,,,,Daniel Carvajal Ramos receives,[0:35] Robin Aime Robert Le Normand receives. Robin Aime Robert Le Normand carries the ball. Robin Aime Robert Le Normand plays medium pass along the ground to Daniel Carvajal Ramos. Daniel Carvajal Ramos receives.
3,pressure_sequence,Pressure,5,1,False,3943043,Spain,England,0,37,1,00:00:37.670,Ball Receipt*,Daniel Carvajal Ramos,Right Back,Spain,Spain,20.6,75.8,defensive third,left,left defensive third,False,,From Goal Kick,,,,,,,,,False,,,,Daniel Carvajal Ramos receives,"[0:37] Daniel Carvajal Ramos receives. Daniel Carvajal Ramos under pressure, carries forward. Jude Bellingham presses Daniel Carvajal Ramos. Daniel Carvajal Ramos plays medium pass along the ground to Daniel Olmo Carvajal. Declan Rice presses Daniel Carvajal Ramos."
3,pressure_sequence,Pressure,5,2,False,3943043,Spain,England,0,37,1,00:00:37.670,Carry,Daniel Carvajal Ramos,Right Back,Spain,Spain,20.6,75.8,defensive third,left,left defensive third,True,1.766383,From Goal Kick,,,,,,,,,False,28.6,76.4,8.022468448052633,"Daniel Carvajal Ramos under pressure, carries forward","[0:37] Daniel Carvajal Ramos receives. Daniel Carvajal Ramos under pressure, carries forward. Jude Bellingham presses Daniel Carvajal Ramos. Daniel Carvajal Ramos plays medium pass along the ground to Daniel Olmo Carvajal. Declan Rice presses Daniel Carvajal Ramos."
