match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
france_belgium,1,0,1,"Kevin de Bruyne v Kylian Mbappe. Two superstars, who will guide their team to the quarter-finals? Away we go in this enticing last-16 match up.",key_event,Kick Off,"de Bruyne, Mbappe",Both,152
france_belgium,2,0,2,"Adrien Rabiot has a bit of a hit and hope effort in these early stages. Hooked with his left foot well wide of the Belgium goal.",general,General,Rabiot,France,139
france_belgium,4,0,4,"Wout Faes sends one into the area but it's straight back out by France centre back William Saliba. Remember, these two sides have scored four goals between them so far at this tournament. It doesn't exactly spell goal fest.",general,General,"Faes, Saliba",Belgium,222
france_belgium,7,0,7,"It's a cagey start from both sides in Dusseldorf. Kylian Mbappe looks to play a little one-two with Antoine Griezmann but it's snuffed out by the Belgian defence. Marcus Thuram wants a free-kick after a bit of a tussle with Arthur Theate but the referee says no.",general,General,"Mbappe, Griezmann, Thuram, Theate",Both,265
france_belgium,10,0,10,"Is it possible for us to get through 90 minutes of football without talking about England? I get it. But can we just not for a bit.",general,General,,Both,129
france_belgium,10,0,10,"Antoine Griezmann has a shot from just outside the area but it's a really tame effort and an easy collection for Koen Casteels. Kylian Mbappe is fuming on the left-hand side, he wanted to have a go himself.",general,General,"Griezmann, Casteels, Mbappe",France,217
france_belgium,12,0,12,"The past five minutes or so have been played pretty much in the Belgian half. Jules Kounde looks to cut it back from the byline but there's no one there running onto it.",general,General,Kounde,France,173
france_belgium,14,0,14,"Antoine Griezmann sends a curling ball into the area but it's a bit too deep for Kylian Mbappe. Timothy Castagne heads behind anyway to prevent the danger. France have a corner.",general,Corner,"Griezmann, Mbappe, Castagne",France,190
france_belgium,16,0,16,"Now then. Kylian Mbappe has a chance just inside the area from the corner but his effort balloons over the bar. It looks like it takes a little deflection off the head of Amadou Onana and Aurelien Tchouameni finds himself in the book for having a go at the referee. He thought it was a handball.",key_event,Yellow Card,"Mbappe, Onana, Tchouameni",France,296
france_belgium,18,0,18,"Marcus Thuram heads well wide from a France corner. Les Bleus are certainly the more dominant at the moment but there's been nothing particularly clear-cut.",general,Corner,Thuram,France,160
france_belgium,22,0,22,"Aurelien Tchouameni loops the cross in but it's high and Marcus Thuram can only head up into the Dusseldorf sky before Koen Casteels leaps to catch. Cagey is the word.",general,General,"Tchouameni, Thuram, Casteels",France,177
france_belgium,24,0,24,"It's a bit of an understatement that, Izzy. Antoine Griezmann goes into the book for a foul on Jeremy Doku. It's right on the edge of the area and puts the Manchester City man off getting a clear shot off.",key_event,Yellow Card,"Griezmann, Doku",France,216
france_belgium,27,0,27,"Kevin de Bruyne, making his 105th Belgium appearance, sends it in and it's not a bad effort. Mike Maignan has to make the save. A bit of a strange one with his feet.",key_event,Save,"de Bruyne, Maignan",Belgium,173
france_belgium,27,0,27,"Goodness me. Adrien Rabiot is the latest French player into the referee's book. It's a late challenge on Jeremy Doku and it looks like a sore one. That means the midfielder will miss the quarter-final, should France make it through.",key_event,Yellow Card,"Rabiot, Doku",France,240
france_belgium,30,0,30,"Belgium are just starting to enjoy a bit of the ball themselves. France are sitting very deep which makes for...how to put this...not very entertaining football.",general,General,,Both,166
france_belgium,33,0,33,"The fans, not sure which set, seem to be singing ""don't take me home"" in English. Seems an intriguing choice. Firstly because they're singing it in English, secondly given the quality of this game. Perhaps Gary can provide some insight.",general,General,,Both,241
france_belgium,35,0,35,"That's a big chance. A brilliant cross in from Jules Kounde on the right-hand side but Marcus Thuram can't get his effort on target.",key_event,Shot,"Kounde, Thuram",France,147
france_belgium,37,0,37,"Another half-decent cross. This time it's from Theo Hernandez on the left but Koen Casteels has it covered.",general,General,"Hernandez, Casteels",France,123
france_belgium,40,0,40,"Aurelien Tchouameni has a go from distance but it's just wide. There was some power on it but no accuracy. Five minutes to go until half time.",general,General,Tchouameni,France,151
france_belgium,41,0,41,"Belgium have not had a shot on target so far in this game. France have had one.",general,General,,Both,85
france_belgium,43,0,43,"Clever play from France in the pockets around the Belgian penalty area. Antoine Griezmann rushes the ball in and it's too far ahead of Marcus Thuram for the Inter Milan forward to get anything on it.",general,General,"Griezmann, Thuram",France,203
france_belgium,45,0,45,"Kylian Mbappe and Jeremy Doku are locked in a bit of a battle just inside the penalty area but the Frenchman stays on his feet and finds Aurelien Tchouameni who has another blast from distance but it's again off target.",general,General,"Mbappe, Doku, Tchouameni",France,230
france_belgium,45,3,45+3,"No added time at the end of the half. Understandable. Goalless at the break.",general,Half Time,,Both,83
france_belgium,46,0,46,"Off we go. No changes for either side.",key_event,Kick Off,,Both,43
france_belgium,47,0,47,"Aurélien Tchouaméni has not been shy to have a pop from range tonight and here he goes again. He drives low with his right foot and it's probably the best effort we've seen so far from the Real Madrid man. Koen Casteels made the save down to his left.",general,General,"Tchouameni, Casteels",France,256
france_belgium,51,0,51,"France have a free-kick but it's a disappointing delivery from Antoine Griezmann. It's headed back out to Jules Kounde but there's another chance gone begging from Marcus Thuram. He mistimes his header it skies over the bar. It looks like it actually comes off his shoulder.",general,Free Kick,"Griezmann, Kounde, Thuram",France,276
france_belgium,53,0,53,"So many quality players on the pitch. Not much quality between them on show here.",general,General,,Both,93
france_belgium,54,0,54,"Kylian Mbappe twists and turns and breezes past two Belgium defenders. He shifts onto his right foot and shoots from just inside the area, looking for the far corner but his effort is just over. Well that would've woken this game up.",key_event,Shot,Mbappe,France,242
france_belgium,56,0,56,"France are just starting to probe now. Antoine Griezmann cuts it back for Kylian Mbappe who looks to just tuck it into the bottom corner but it's miles wide.",general,General,"Griezmann, Mbappe",France,167
france_belgium,57,0,57,"It's been a mildly more entertaining second half. But I do mean mildly. France have now had 13 shots, two on target. Lacking that clinical final product.",general,General,,France,164
france_belgium,60,0,60,"Jeremy Doku is getting a bit frustrated. He seems to be one of the only ones trying to up the tempo of this game. I feel like I've barely mentioned Romelu Lukaku and that just tells you everything really. How long before we see some changes?",general,General,"Doku, Lukaku",Belgium,248
france_belgium,61,0,61,"The whole Belgium end must've been shouting ""shoooot!"" at Yannick Carrasco just now. Kevin de Bruyne threads through a lovely pass but Theo Hernandez does enough to prevent Carrasco getting the shot off. Brilliant defending but perhaps Carrasco could've taken it a bit sooner.",general,General,"Carrasco, de Bruyne, Hernandez",Belgium,292
france_belgium,62,0,62,"France are going to make a change. Marcus Thuram makes way for Randal Kolo Muani. A game to forget for the Inter Milan forward.",key_event,Substitution,"Thuram, Kolo Muani",France,150
france_belgium,64,0,64,"Belgium are also going to make a change. On comes Orel Mangala for Lois Openda. It's a defensive substitution and it looks like Kevin de Bruyne is just going to shift up the pitch a little bit.",key_event,Substitution,"Openda, Mangala, de Bruyne",Belgium,206
