match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
france_belgium,0,0,0,"The referee of today's match will be Glenn Nyberg.",general,General,Nyberg,Both,51
france_belgium,0,0,0,"France will kick-off.",general,Kick Off,,France,22
france_belgium,1,0,1,"Here we go, today's match is starting right now.",key_event,Kick Off,,Both,48
france_belgium,2,0,2,"Adrien Rabiot (France) latches on to a lofted pass and strikes a snap shot from outside the box. His effort curls way wide of the left post. The ball is off of the pitch and it's a goal kick for Belgium.",key_event,Shot,Rabiot,France,199
france_belgium,3,0,3,"Marcus Thuram (France) finds himself beyond the last defender, but the game is stopped by the referee after the linesman signals for offside.",general,Offside,Thuram,France,144
france_belgium,4,0,4,"Timothy Castagne (Belgium) sends a cross into the box, but the opposition's defence clears the ball away to eliminate the danger.",general,General,Castagne,Belgium,134
france_belgium,4,0,4,"Kevin De Bruyne (Belgium) sends a long ball forward to Jeremy Doku, but he put too much power and the chance is gone. The ball has crossed the sideline. France are taking a throw-in.",general,General,"De Bruyne, Doku",Belgium,184
france_belgium,6,0,6,"Arthur Theate (Belgium) sends a long cross over to Lois Openda, but Mike Maignan comes forward to gather the ball.",general,General,"Theate, Openda, Maignan",Belgium,125
france_belgium,7,0,7,"Antoine Griezmann (France) attempts to send over a cross in order to find one of his teammates, but an opposition defender averts the danger by intercepting the effort.",general,General,Griezmann,France,172
france_belgium,8,0,8,"Marcus Thuram (France) looks to break free, but his touch lets him down and he loses the ball. The ball goes out of play and Belgium will have a goal kick.",general,General,Thuram,France,156
france_belgium,10,0,10,"Antoine Griezmann (France) superbly controls a difficult pass on the edge of the box and effortlessly let's fly with a magnificent low strike towards the middle of the goal, which the keeper somehow pushes away.",key_event,Save,Griezmann,France,211
france_belgium,12,0,12,"Jules Kounde (France) sends in a pass which fails to reach any of his teammates.",general,General,Kounde,France,80
france_belgium,14,0,14,"Antoine Griezmann (France) delivers a lovely cross into the penalty area. Nevertheless, an opposition defender is alert and averts the danger with a brilliant clearance. The ball goes behind for a corner. France will have an opportunity to threaten the opposition's goal.",general,Corner,Griezmann,France,243
france_belgium,14,0,14,"A horde of players are waiting inside the penalty area for a cross from the corner, but Antoine Griezmann (France) takes it short.",general,Corner,Griezmann,France,131
france_belgium,14,0,14,"Kylian Mbappe (France) fires the ball on goal but sends it into orbit. The ball goes out of play and Belgium will have a goal kick.",key_event,Shot,Mbappe,France,138
france_belgium,14,0,14,"Aurelien Tchouameni (France) is booked for saying more than Glenn Nyberg was willing to tolerate.",key_event,Yellow Card,Tchouameni,France,101
france_belgium,16,0,16,"Yannick Carrasco (Belgium) looks to break free, but an opposing player clears the ball away.",general,General,Carrasco,Belgium,91
france_belgium,17,0,17,"Jules Kounde (France) delivers a fine lofted cross into the penalty area, but it's cleared by an opposing player. France have been awarded a corner kick.",general,Corner,Kounde,France,156
france_belgium,17,0,17,"There's an opportunity for Antoine Griezmann (France) to deliver the ball into the box from a corner.",general,Corner,Griezmann,France,99
france_belgium,18,0,18,"Marcus Thuram (France) finds space near the penalty spot to plant a header at goal from the corner, but it's badly directed and drifts well wide of the right post. The ball goes out of play and Belgium will have a goal kick.",key_event,Shot,Thuram,France,218
france_belgium,20,0,20,"Wasted effort! Adrien Rabiot (France) finds himself some space, looks up but sends a dreadful shot high over the bar from long range. The ball goes out of play and Belgium will have a goal kick.",key_event,Shot,Rabiot,France,193
france_belgium,21,0,21,"Timothy Castagne (Belgium) dinks a cross into the box in an attempt to find one of his teammates, but the defence manages to clear.",general,General,Castagne,Belgium,139
france_belgium,23,0,23,"Antoine Griezmann (France) can't expect anything else than a yellow card for his hard tackle. And a yellow it is. Glenn Nyberg didn't think twice about pulling it out of his pocket.",key_event,Yellow Card,Griezmann,France,180
france_belgium,24,0,24,"Kevin De Bruyne (Belgium) sends the ball into the penalty area from a free kick a few yards outside the box. The cross is good, but the goalkeeper shows himself in a good light as he leaps high to intercept the ball.",general,Free Kick,De Bruyne,Belgium,210
france_belgium,24,0,24,"Yellow card. Adrien Rabiot (France) goes into the book for a bad tackle on his opponent.",key_event,Yellow Card,Rabiot,France,91
france_belgium,25,0,25,"Adrien Rabiot (France) will miss the next game.",general,General,Rabiot,France,47
france_belgium,25,0,25,"Jeremy Doku (Belgium) is clearly asking for some medical attention with his painful gestures. The extent of his injury is yet to be discovered.",general,General,Doku,Belgium,148
france_belgium,26,0,26,"Jeremy Doku (Belgium) seems to be alright and is okay to carry on.",general,General,Doku,Belgium,63
france_belgium,27,0,27,"Yannick Carrasco (Belgium) fires the ball at goal from inside the area, but it's well blocked.",key_event,Shot,Carrasco,Belgium,95
france_belgium,29,0,29,"Yannick Carrasco (Belgium) tries to send a pass but it's blocked.",general,General,Carrasco,Belgium,61
