match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
italy_albania,0,0,0,"The referee of today's match will be Felix Zwayer.",general,General,Zwayer,Both,52
italy_albania,0,0,0,"The players are on the pitch and Albania will have the kick-off.",general,Kick Off,,Albania,67
italy_albania,1,0,1,"Here we go, today's match is starting right now.",key_event,Kick Off,,Both,50
italy_albania,1,0,1,"Goal! It's a catastrophic error from the opponent which has gifted a chance to Nedim Bajrami (Albania), who rolls the ball into the back of the net from close range. 0:1.",key_event,Goal,Bajrami,Albania,190
italy_albania,2,0,2,"Federico Chiesa plays a lovely pass into Lorenzo Pellegrini (Italy), but he can't find the target. His strike from inside the box goes narrowly wide of the right post. The ball is off of the pitch and it's a goal kick for Albania.",general,General,"Chiesa, Pellegrini",Italy,237
italy_albania,4,0,4,"Riccardo Calafiori (Italy) fails to find any of his teammates inside the box as his pass is blocked.",general,General,Calafiori,Italy,108
italy_albania,5,0,5,"Taulant Seferi (Albania) launches into a thunderous tackle on his opponent and the referee blows his whistle for a foul.",general,General,Seferi,Albania,132
italy_albania,6,0,6,"Federico Chiesa (Italy) unleashes a powerful shot towards goal, but it is bravely blocked by a self-sacrificing defender.",general,General,Chiesa,Italy,137
italy_albania,8,0,8,"Jasir Asani (Albania) tries his luck and takes a shot from inside the box. His effort on goal is blocked by a defender. The ball is out of play and the linesman points at the corner flag. Corner to Albania.",general,Corner,Asani,Albania,215
italy_albania,9,0,9,"Kristjan Asllani (Albania) swings in a dangerous cross from the resulting corner kick, but none of his teammates manage to outjump the defence. Albania have been awarded a corner kick.",general,Corner,Asllani,Albania,189
italy_albania,9,0,9,"Kristjan Asllani (Albania) takes the corner, but one of the defenders reacts well and rises highest to head the ball away.",general,Corner,Asllani,Albania,135
italy_albania,10,0,10,"The game is interrupted as Kristjan Asllani (Albania) is flagged offside.",general,Offside,Asllani,Albania,75
italy_albania,10,0,10,"Federico Dimarco (Italy) whips a promising cross into the box, but the opposition's defence intercepts the ball. The ball goes out of play. Italy are awarded a corner kick.",general,Corner,Dimarco,Italy,180
italy_albania,11,0,11,"Lorenzo Pellegrini (Italy) decides to take a short corner instead of crossing into the box.",general,Corner,Pellegrini,Italy,94
italy_albania,11,0,11,"Goal! Alessandro Bastoni (Italy) ran onto a clever lofted pass from Lorenzo Pellegrini and easily beat the keeper with a header into the roof of the net from close range. 1:1.",key_event,Goal,"Bastoni, Pellegrini",Italy,195
italy_albania,13,0,13,"Federico Chiesa (Italy) gets in a good position inside the box and is only inches away from getting on the end of a through ball from the edge of the area. The linesman signals a throw-in for Albania.",general,General,Chiesa,Italy,199
italy_albania,15,0,15,"Giovanni Di Lorenzo (Italy) sends a long ball across the pitch, but it misses its target. The ball goes out of play and Albania will have a goal kick.",general,General,Di Lorenzo,Italy,155
italy_albania,16,0,16,"Good defending. Federico Dimarco (Italy) tries to find Gianluca Scamacca inside the box, but the pass is cut out.",general,General,"Dimarco, Scamacca",Italy,128
italy_albania,16,0,16,"Gianluca Scamacca (Italy) finds himself free inside the box and pulls the trigger, but his effort is brilliantly stopped by one of the defending players.",general,General,Scamacca,Italy,162
italy_albania,16,0,16,"Nicolo Barella (Italy) gets to the ball on the edge of the box and fires in a first-time shot without any hesitation. The strike is excellent and goes inside the left post. He couldn't have done it any better. 2:1.",key_event,Goal,Barella,Italy,229
italy_albania,18,0,18,"Wait! Referee Felix Zwayer has indicated he is going to review the Italy goal using VAR. It's probably to see if there was an offside in the build-up.",key_event,VAR,Zwayer,Italy,167
italy_albania,18,0,18,"Here comes the VAR verdict: Referee Felix Zwayer signals that there was no offside and the goal stands! The Italy players celebrate.",key_event,VAR,Zwayer,Italy,142
italy_albania,20,0,20,"Federico Chiesa (Italy) attempts to find the head of one of his teammates with a promising cross into the box, but a defender outjumps the attackers and averts the threat. The referee and one of his assistants signal for a corner kick to Italy.",general,Corner,Chiesa,Italy,239
italy_albania,21,0,21,"Federico Dimarco (Italy) launches a cross from the corner, but Thomas Strakosha is alert to thwart the effort.",general,Corner,"Dimarco, Strakosha",Italy,118
italy_albania,21,0,21,"Felix Zwayer shows a yellow card to Lorenzo Pellegrini (Italy) for a tough tackle.",key_event,Yellow Card,Pellegrini,Italy,86
italy_albania,24,0,24,"A pass by Jorginho (Italy) ends up in no man's land, and the attacking effort comes to an end.",general,General,Jorginho,Italy,100
italy_albania,26,0,26,"Giovanni Di Lorenzo (Italy) sends a pass into the box, but his attempt is thwarted and cleared.",general,General,Di Lorenzo,Italy,99
italy_albania,28,0,28,"The Italy players keep the ball and are exchanging a combination of passes. They are waiting for gaps in the defence to open up.",general,General,,Italy,138
italy_albania,30,0,30,"Federico Chiesa (Italy) attempts to send over a cross in order to find one of his teammates, but an opposition defender averts the danger by intercepting the effort.",general,General,Chiesa,Italy,175
italy_albania,31,0,31,"Lorenzo Pellegrini (Italy) receives a cross in the box and attempts to shoot, but mishits the ball and misses the goal.",general,General,Pellegrini,Italy,131
italy_albania,32,0,32,"Flag goes up against Nicolo Barella (Italy) and the referee blows his whistle for offside.",general,Offside,Barella,Italy,99
italy_albania,33,0,33,"Great first touch by Davide Frattesi (Italy) after collecting a pass deep into the box. He smashes the ball to the middle of the net, but the keeper makes a fantastic reflex save and pushes it onto the post. Brilliant goalkeeping!",key_event,Save,"Frattesi, Strakosha",Italy,243
italy_albania,36,0,36,"The ball possession is 71:29.",general,General,,Both,31
italy_albania,39,0,39,"One of the defenders reacts at the last minute to brilliantly block a pass from Federico Dimarco (Italy). The referee and the linesman both signal a throw-in for Italy.",general,General,Dimarco,Italy,176
italy_albania,40,0,40,"Thomas Strakosha pulls off a great save to deny Gianluca Scamacca (Italy) who, makes himself some space inside the box and unleashes a quick low drive towards the middle of the goal. The referee points to the corner flag. It's a corner to Italy.",key_event,Save,"Scamacca, Strakosha",Italy,261
italy_albania,41,0,41,"Lorenzo Pellegrini (Italy) takes the corner which is cleared.",general,Corner,Pellegrini,Italy,61
italy_albania,43,0,43,"Riccardo Calafiori (Italy) sends a long ball forward to Federico Chiesa, but he put too much power and the chance is gone. The ball is out of play. Albania will have a throw-in.",general,General,"Calafiori, Chiesa",Italy,190
italy_albania,44,0,44,"Alessandro Bastoni (Italy) is penalised for holding. Felix Zwayer signals a set piece. Albania are awarded the free kick.",general,Free Kick,Bastoni,Italy,129
