match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
scotland_hungary,0,0,0,"Let us introduce today's referee to you, and it's Facundo Tello.",general,General,Tello,Both,67
scotland_hungary,0,0,0,"The players are out and the match is about to start. Hungary will have the kick-off.",general,Kick Off,,Hungary,82
scotland_hungary,1,0,1,"The first half of this match is about to start.",key_event,Kick Off,,Both,47
scotland_hungary,1,0,1,"Referee Facundo Tello sees the trip by Marton Dardai (Hungary) and doesn't hesitate to blow his whistle.",general,General,Dardai,Hungary,111
scotland_hungary,2,0,2,"Marton Dardai (Hungary) holds his opponent to prevent him from getting the ball and the referee blows for a foul after seeing the whole situation.",general,General,Dardai,Hungary,154
scotland_hungary,3,0,3,"Scotland seem to be finding their feet as they enjoy some possession. They are waiting for the right moment to create new attacking opportunities.",general,General,,Scotland,148
scotland_hungary,3,0,3,"Grant Hanley (Scotland) commits a foul after unfairly battling his opponent for the ball.",general,General,Hanley,Scotland,91
scotland_hungary,4,0,4,"The linesman signals a throw-in for Scotland.",general,General,,Scotland,49
scotland_hungary,5,0,5,"The ball is out of play. Scotland will take a throw-in.",general,General,,Scotland,58
scotland_hungary,6,0,6,"Endre Botka (Hungary) brings his opponent down with a tackle and Facundo Tello blows his whistle for a foul.",general,General,Botka,Hungary,119
scotland_hungary,7,0,7,"Andrew Robertson (Scotland) swings in a promising cross from the free kick, but one of the defenders does a perfect job to avert the danger.",general,Free Kick,Robertson,Scotland,150
scotland_hungary,8,0,8,"Bendeguz Bolla (Hungary) latches onto a pass and lets rip with a swerving shot from long range low towards the middle of the goal. It's a difficult effort to deal with and Angus Gunn does well to punch it away.",key_event,Save,"Bolla, Gunn",Hungary,215
scotland_hungary,9,0,9,"Some neat passing and movement from Scotland as they ping around some short passes in order to create a new attacking opportunity.",general,General,,Scotland,136
scotland_hungary,10,0,10,"Jack Hendry (Scotland) should know this behaviour is beyond the rules. He was too careless with his challenge and left Facundo Tello no option but to blow his whistle.",general,General,Hendry,Scotland,175
scotland_hungary,12,0,12,"Angus Gunn displays his ability to read the game and clears the danger after Roland Sallai (Hungary) threatened to latch onto a through ball from just outside the box.",general,General,"Gunn, Sallai",Hungary,173
scotland_hungary,13,0,13,"It's a throw-in for Hungary.",general,General,,Hungary,30
scotland_hungary,14,0,14,"The players claim that Che Adams (Scotland) handled the ball and it seems they are right.",general,General,Adams,Scotland,93
scotland_hungary,14,0,14,"Dominik Szoboszlai (Hungary) whips a long ball in from the free kick which is intercepted by Angus Gunn.",general,Free Kick,"Szoboszlai, Gunn",Hungary,111
scotland_hungary,17,0,17,"Another attempt to send the ball beyond the defence by Billy Gilmour (Scotland) is thwarted and cleared to safety.",general,General,Gilmour,Scotland,128
scotland_hungary,18,0,18,"Facundo Tello shows a yellow card to Callum Styles (Hungary) for a tough tackle.",key_event,Yellow Card,Styles,Hungary,82
scotland_hungary,19,0,19,"Roland Sallai (Hungary) is unable to control an accurate defence-splitting pass properly and one of the defending players reacts well to rob him of the ball.",general,General,Sallai,Hungary,165
scotland_hungary,19,0,19,"Endre Botka (Hungary) commits a foul during an attacking move.",general,General,Botka,Hungary,62
scotland_hungary,20,0,20,"Good movement by John McGinn (Scotland), but he can't find any of his teammates as the cross is poor. The ball is off of the pitch and it's a goal kick for Hungary.",general,General,McGinn,Scotland,170
scotland_hungary,21,0,21,"Milos Kerkez (Hungary) pulls the jersey of one of the opposition players and Facundo Tello blows his whistle for a foul.",general,General,Kerkez,Hungary,131
scotland_hungary,21,0,21,"Andrew Robertson (Scotland) crosses the ball into the box from the free kick, but the defence clears the danger.",general,Free Kick,Robertson,Scotland,124
scotland_hungary,23,0,23,"The ball is cleared after Che Adams (Scotland) attempted to dribble past an opposing player.",general,General,Adams,Scotland,98
scotland_hungary,24,0,24,"The ball is out of play. Hungary will have a throw-in.",general,General,,Hungary,58
scotland_hungary,25,0,25,"Jack Hendry (Scotland) was too forceful with his tackle and Facundo Tello interrupted the game to signal a free kick.",general,General,Hendry,Scotland,124
scotland_hungary,26,0,26,"Willi Orban (Hungary) sees a yellow card from Facundo Tello after he sent one of the opposing players to the ground.",key_event,Yellow Card,Orban,Hungary,122
