match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
slovakia_romania,0,0,0,"Let us introduce today's referee to you, and it's Daniel Siebert.",general,General,Siebert,Both,67
slovakia_romania,0,0,0,"The players are out and the match is about to start. Slovakia will have the kick-off.",general,Kick Off,,Slovakia,84
slovakia_romania,1,0,1,"The first half of this match is about to start.",key_event,Kick Off,,Both,47
slovakia_romania,1,0,1,"Juraj Kucka (Slovakia) reacts well to get to the rebound and takes a shot from the edge of the box, but he fails to get the ball through the players standing between him and the goal.",key_event,Shot,Kucka,Slovakia,180
slovakia_romania,1,0,1,"Peter Pekarik (Slovakia) gets to the rebound just outside the box, but his attempt is blocked by one of the defending players.",key_event,Shot,Pekarik,Slovakia,134
slovakia_romania,4,0,4,"Andrei Ratiu (Romania) tries to send a pass but it's blocked.",general,General,Ratiu,Romania,60
slovakia_romania,6,0,6,"Ondrej Duda (Slovakia) was too fierce in his attempt to get the ball from his opponent and Daniel Siebert blows for a foul.",general,General,Duda,Slovakia,131
slovakia_romania,7,0,7,"David Strelec (Slovakia) escapes without any punishment from the referee after using excessive force to foul his opponent.",general,General,Strelec,Slovakia,128
slovakia_romania,7,0,7,"Nicolae Stanciu (Romania) sends over a free kick from long range but the defence is alert.",general,Free Kick,Stanciu,Romania,93
slovakia_romania,8,0,8,"Lukas Haraslin (Slovakia) goes over to take the corner kick and it looks like he will send the ball into the penalty box.",general,Corner,Haraslin,Slovakia,129
slovakia_romania,9,0,9,"Juraj Kucka (Slovakia) peeled away from his marker and got on the end of the resulting corner, but he sends his header straight at the goalkeeper.",key_event,Save,Kucka,Slovakia,155
slovakia_romania,10,0,10,"A pass into the penalty area from Peter Pekarik (Slovakia) is intercepted by the defence.",general,General,Pekarik,Slovakia,89
slovakia_romania,10,0,10,"Lukas Haraslin (Slovakia) is heading toward the corner flag to take the set piece.",general,Corner,Haraslin,Slovakia,82
slovakia_romania,10,0,10,"David Hancko (Slovakia) wins the ball from the resulting corner but blazes it well over the bar. The ball goes out of play and Romania will have a goal kick.",key_event,Shot,Hancko,Slovakia,157
slovakia_romania,11,0,11,"Great save! Andrei Ratiu (Romania) had time and space inside the box after picking up a neat pass, but his shot towards the right side of the goal was brilliantly saved by Martin Dubravka.",key_event,Save,"Ratiu, Dubravka",Romania,198
slovakia_romania,11,0,11,"Ianis Hagi (Romania) has a great chance inside the box following a rebound off a defender, but somehow he gets underneath the ball and it flies high over the bar.",key_event,Shot,Hagi,Romania,171
slovakia_romania,12,0,12,"Daniel Siebert couldn't ignore the rough tackle by Juraj Kucka (Slovakia) and blew his whistle.",general,General,Kucka,Slovakia,101
slovakia_romania,13,0,13,"Razvan Marin (Romania) executes a long-range free kick. His well-taken effort flies only inches wide of the left post. Today is obviously not his lucky day.",key_event,Shot,Marin,Romania,165
slovakia_romania,15,0,15,"Peter Pekarik (Slovakia) produces a dangerous low pass into the penalty area, but the defence manage to cut it out.",general,General,Pekarik,Slovakia,121
slovakia_romania,16,0,16,"Lukas Haraslin (Slovakia) whips in a cross from the corner, but Florin Nita is well positioned and punches the ball away.",general,Corner,"Haraslin, Nita",Slovakia,130
slovakia_romania,17,0,17,"Lukas Haraslin (Slovakia) is flagged for offside.",general,Offside,Haraslin,Slovakia,51
slovakia_romania,20,0,20,"Nicolae Stanciu (Romania) delivers a low pass into the box which is intercepted.",general,General,Stanciu,Romania,79
slovakia_romania,21,0,21,"Radu Dragusin (Romania) commits a rough challenge and Daniel Siebert blows his whistle for an infringement.",general,General,Dragusin,Romania,112
slovakia_romania,21,0,21,"Lukas Haraslin (Slovakia) crosses the ball from the free kick, but it goes out of play.",general,Free Kick,Haraslin,Slovakia,87
slovakia_romania,24,0,24,"Nicolae Stanciu (Romania) connected with a pass around the edge of the box, aimed and shot. His attempt went towards the middle of the target, but Martin Dubravka was alert and the score remains the same.",key_event,Save,"Stanciu, Dubravka",Romania,207
slovakia_romania,24,0,24,"Goooooal! Juraj Kucka beats his man and slings in a cross towards Ondrej Duda (Slovakia), who evades his marker and plants a fine header into the bottom right corner from close in. 1:0.",key_event,Goal,"Kucka, Duda",Slovakia,187
slovakia_romania,26,0,26,"The referee blows his whistle and players are going to refresh themselves.",general,General,,Both,75
slovakia_romania,28,0,28,"Ondrej Duda (Slovakia) was too forceful with his tackle and Daniel Siebert interrupted the game to signal a free kick.",general,General,Duda,Slovakia,120
slovakia_romania,28,0,28,"Nicolae Stanciu (Romania) gives away a foul for a fierce tackle on an opponent.",general,General,Stanciu,Romania,76
slovakia_romania,30,0,30,"Ivan Schranz (Slovakia) does his best to latch onto a cross into the box, but he can't get to the ball.",general,General,Schranz,Slovakia,108
slovakia_romania,31,0,31,"Ondrej Duda (Slovakia) sends a pass into the box, but his attempt is thwarted and cleared.",general,General,Duda,Slovakia,95
slovakia_romania,32,0,32,"David Strelec (Slovakia) latched on to an accurate pass deep into the box and attempted to fire the ball past the keeper, but the shot is way off target. What a miskick!",key_event,Shot,Strelec,Slovakia,177
slovakia_romania,33,0,33,"Florinel Coman (Romania) produces a dangerous lofted cross into the box which is intercepted.",general,General,Coman,Romania,96
slovakia_romania,33,0,33,"Andrei Ratiu (Romania) beats his marker and unleashes a thunderbolt of a shot from the edge of the box. Martin Dubravka sees the ball late but does well to stop it going into the roof of the net.",key_event,Save,"Ratiu, Dubravka",Romania,194
slovakia_romania,34,0,34,"David Hancko (Slovakia) is booked after bringing down an opponent. Daniel Siebert had an easy-decision to make.",key_event,Yellow Card,Hancko,Slovakia,115
slovakia_romania,35,0,35,"Wait! The referee makes the VAR signal and he's going to review that incident in the box from earlier. This could be a penalty for Romania! Let's see what he decides.",general,VAR,,Romania,169
slovakia_romania,36,0,36,"Here comes the VAR decision. Referee Daniel Siebert decides there was no infringement by David Hancko (Slovakia) and the game can continue. It's a PENALTY to Romania after the VAR review!",key_event,VAR,,Romania,178
slovakia_romania,37,0,37,"Razvan Marin (Romania) is heading towards the penalty spot to take it.",general,Penalty,Marin,Romania,68
slovakia_romania,37,0,37,"Goal! Razvan Marin (Romania) wins the battle of wills and sends an unstoppable penalty past Martin Dubravka into the top left corner.",key_event,Goal,"Marin, Dubravka",Romania,147
slovakia_romania,40,0,40,"Some great controlled play and passing from Romania. They are increasing their possession of the ball and trying to open up the opposition's defence to hit them swiftly on the break.",general,General,,Romania,179
slovakia_romania,43,0,43,"Denis Dragus (Romania) finds himself unmarked on the edge of the box, but he drags his shot just wide of the right post. The ball is off of the pitch and it's a goal kick for Slovakia.",key_event,Shot,Dragus,Romania,175
slovakia_romania,44,0,44,"What a poor attempt! David Strelec (Slovakia) drives another shot towards goal - this time from further out, but it couldn't have been worse if he had shot blindfolded. The ball goes miles wide to the right.",key_event,Shot,Strelec,Slovakia,210
slovakia_romania,45,0,45,"David Hancko (Slovakia) commits a rough challenge and Daniel Siebert blows his whistle for a foul.",general,General,Hancko,Slovakia,105
slovakia_romania,45,0,45,"3 additional min. will be played.",general,General,,Both,38
slovakia_romania,45,1,45+1,"Andrei Burca (Romania) goes into the book for a horrible tackle. A yellow card is necessary in this case.",key_event,Yellow Card,Burca,Romania,109
slovakia_romania,45,4,45+4,"Daniel Siebert shows a yellow card to Nicusor Bancu (Romania) for his blatant foul.",key_event,Yellow Card,Bancu,Romania,84
slovakia_romania,45,4,45+4,"Nicusor Bancu (Romania) will miss the next game because of that yellow card.",general,General,Bancu,Romania,71
