match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
spain_germany,0,0,0,"The current period has begun.",key_event,Kick Off,,Both,30
spain_germany,1,0,1,"Spain's Pedri gets in a shot on goal at Stuttgart Arena. But the effort is unsuccessful.",general,General,Pedri,Spain,93
spain_germany,2,0,2,"Attention is being given to Spain's Marc Cucurella and play has been suspended briefly.",general,Injury,Cucurella,Spain,90
spain_germany,2,0,2,"Spain's Marc Cucurella looks ok and returns to the pitch.",general,Injury,Cucurella,Spain,55
spain_germany,3,0,3,"Free kick Spain.",general,Free Kick,,Spain,17
spain_germany,3,0,3,"Throw-in Germany.",general,General,,Germany,19
spain_germany,3,0,3,"Can Germany capitalize from this throw-in deep inside Spain's half?",general,General,,Germany,71
spain_germany,4,0,4,"Germany have a dangerous throw-in.",general,General,,Germany,35
spain_germany,4,0,4,"Spain awarded a free kick in their own half.",general,Free Kick,,Spain,45
spain_germany,4,0,4,"The match at Stuttgart Arena has been interrupted briefly for a check on Pedri, who is down injured.",general,Injury,Pedri,Spain,107
spain_germany,6,0,6,"Spain's Pedri is on his feet again at Stuttgart Arena.",general,Injury,Pedri,Spain,52
spain_germany,6,0,6,"Anthony Taylor signals a free kick to Spain.",general,Free Kick,Taylor,Spain,45
spain_germany,6,0,6,"Germany awarded a throw-in in their own half.",general,General,,Germany,48
spain_germany,7,0,7,"Play has been interrupted briefly in Stuttgart to check on Pedri, who is grimacing with pain.",general,Injury,Pedri,Spain,99
spain_germany,8,0,8,"Luis De La Fuente (Spain) has taken off Pedri who seemed to be grimacing with pain earlier. A possible injury. Dani Olmo is the replacement.",key_event,Substitution,"Pedri, Olmo, De La Fuente",Spain,144
spain_germany,10,0,10,"In Stuttgart, Spain push forward quickly but are pulled up for offside.",general,Offside,,Spain,75
spain_germany,11,0,11,"David Raum for Germany drives towards goal at Stuttgart Arena. But the finish is unsuccessful.",general,General,Raum,Germany,93
spain_germany,11,0,11,"Ball safe as Spain is awarded a throw-in in their half.",general,General,,Spain,58
spain_germany,12,0,12,"In Stuttgart Spain attack through Nico Williams. The finish is off target, however.",general,General,Williams,Spain,89
