match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
netherlands_england,1,0,1,KICKOFF:  THE SECOND EURO 2024 SEMI-FINAL IS UNDERWAY!,key_event,Kick Off,,Both,54
netherlands_england,2,0,2,Malen immediately tries a run in behind but the Dutchman is caught offside.,general,General,Malen,Netherlands,75
netherlands_england,4,0,4,England settle into a nice period of possession and Phil Foden wins a free kick off of Jerdy Schouten.,general,Free Kick,"Schouten, Foden",England,102
netherlands_england,4,0,4,"CHANCE!  The effervescent Simons charges forward on the right and tries to thread a pass into Malen, but Guehi does enough to shield the ball back to Jordan Pickford.",key_event,Chance,"Simons, Malen, Pickford, Guehi",Both,166
netherlands_england,5,0,5,"CHANCE!  England quickly go down the other end and Saka floats in a cross to the back stick, but Stefan de Vrij is there to clear.",key_event,Chance,Saka,England,130
netherlands_england,7,0,7,Kieran Trippier goes for the long ball over the top to Bellingham - back in Dortmund territory - but it rolls harmlessly through to Bart Verbruggen.,general,General,"Verbruggen, Trippier, Bellingham",Both,148
netherlands_england,7,0,7,GOAL!  NETHERLANDS 1-0 ENGLAND (SIMONS),key_event,Goal,,Both,39
netherlands_england,7,0,7,GOAL!  AND THAT IS WHAT XAVI SIMONS DOES. THE NETHERLANDS LEAD IN THE SEVENTH MINUTE.,key_event,Goal,,Netherlands,85
netherlands_england,10,0,10,"Who would have had Simons out-muscling Rice down before the game? Certainly not me, but that was terrific work from the Dutchman.",general,General,"Simons, Rice",Netherlands,129
netherlands_england,12,0,12,Foden takes it but his Manchester City teammate Ake heads clear.,general,General,"Ake, Foden",Both,64
netherlands_england,13,0,13,Trippier takes this one and finds Rice at the back post. The Arsenal man tries to cut back for a teammate but can only find the boot of Van Dijk.,general,General,"Van Dijk, Trippier, Rice",Both,145
netherlands_england,14,0,14,SAVE!  HARRY KANE HAS A SHOT!,key_event,Save,,Both,29
netherlands_england,14,0,14,SHOT!  Kane now fires over the top after a quick break and brilliant work from Saka!,key_event,Shot,"Saka, Kane",Both,84
netherlands_england,16,0,16,ZWAYER IS GOING TO THE SCREEN!,general,General,,Both,30
netherlands_england,17,0,17,PENALTY!  PENALTY FOR ENGLAND!,key_event,Penalty,,England,30
netherlands_england,18,0,18,GOAL!  NETHERLANDS 1-1 ENGLAND (KANE),key_event,Goal,,Both,37
netherlands_england,18,0,18,"GOAL!  Kane makes no mistake! Verbruggen dives the right way, but Kane's penalty is just too perfect.",key_event,Goal,"Verbruggen, Kane",Both,101
netherlands_england,20,0,20,"There will certainly be some debate about the awarding of the penalty - I initially didn't think it was, but upon seeing a replay, Dumfries did go in with his studs.",general,General,Dumfries,Both,165
netherlands_england,23,0,23,CLOSE!  WHAT. A. CLEARANCE!!!!,key_event,Close Call,,Both,30
netherlands_england,24,0,24,"CLOSE!  Mainoo and Foden link up brilliantly as the latter prods the ball towards goal from a tight angle, and his toe-poke beats Verbruggen but Dumfries is there to stop the ball right on the line!",key_event,Close Call,"Verbruggen, Dumfries, Mainoo, Foden",Both,198
netherlands_england,26,0,26,"At the risk of jinxing it, this is by far England's best performance at Euro 2024 so far. The Dutch living incredibly dangerously and just unable to contain Southgate's inspired team.",general,General,,Both,183
netherlands_england,29,0,29,"SHOT!  The Netherlands go on one of their quick breaks, but a combination of Walker and Guehi denies Malen as the Netherlands win their first corner of the game.",key_event,Shot,"Malen, Walker, Guehi",Netherlands,161
netherlands_england,30,0,30,OFF THE BAR!  Dumfries is absolutely everywhere tonight!,key_event,Hit Bar,Dumfries,Both,56
netherlands_england,32,0,32,OFF THE BAR!  OH MY GOODNESS!,key_event,Hit Bar,,Both,29
netherlands_england,33,0,33,"Two woodwork hits in two minutes, a Kane penalty and a Simons stunner - this has been an utterly breathless start in Dortmund.",general,General,"Simons, Kane",Both,126
netherlands_england,34,0,34,"A chance for a breather now, though, as Memphis Depay is down and needs treatment.",general,General,Depay,Both,82
netherlands_england,35,0,35,NETHERLANDS SUB,key_event,Substitution,,Netherlands,15
netherlands_england,37,0,37,Bellingham goes down under pressure from Schouten but Zwayer is not interested.,general,General,"Schouten, Bellingham",Both,79
netherlands_england,39,0,39,The Netherlands' shape already looks more rigid since the introduction of Veerman. England now reverting to a bit of slow build-up in front of an orange wall.,general,General,Veerman,Netherlands,158
