match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
spain_france,1,0,1,KICKOFF:  And we're off! France get us started.,key_event,Kick Off,,France,47
spain_france,2,0,2,"Bright start from Spain... Fabian Ruiz moves into the left channel and curls a cross towards the back post, but Lamine Yamal slips and the ball bounces out of play.",general,General,"Ruiz, Yamal",Spain,164
spain_france,4,0,4,"CHANCE!  Yamal and Ruiz are involved again for Spain, with the former this time setting up the latter from right to left. However, Ruiz can only head his effort at the far post over the crossbar.",key_event,Chance,"Ruiz, Yamal",Spain,195
spain_france,4,0,4,"CHANCE!  Yamal and Ruiz are involved again for Spain, with the former this time setting up the latter from right to left. However, Ruiz can only head his effort at the far post over the crossbar.",key_event,Chance,"Ruiz, Yamal",Spain,195
spain_france,6,0,6,Kylian Mbappe - without his mask tonight after breaking his nose at the start of the tournament - had the ball poked away from his feet on the edge of the penalty area by Jesus Navas.,general,General,"Navas, Mbappe",Both,183
spain_france,9,0,9,GOAL!  SPAIN 0-1 FRANCE (KOLO MUANI),key_event,Goal,,Both,36
spain_france,11,0,11,GOAL!  France finally score their first goal of Euro 2024 from open play!,key_event,Goal,,France,73
spain_france,13,0,13,Spain have responded well to going a goal behind as they pile bodies forward and look threatening on both wings with Yamal and Nico Williams.,general,General,"Yamal, Williams",Spain,141
spain_france,15,0,15,"YELLOW CARD!  Navas is booked for a late sliding challenge on Rabiot around 35 yards away from Spain's goal... resulting free kick for France comes to nothing, though.",key_event,Yellow Card,"Navas, Rabiot",Both,167
spain_france,18,0,18,"France are beginning to find their rhythm... this is the best they have played at Euro 2024, although they have yet to test the gloves of Unai Simon.",general,General,Simon,France,149
spain_france,21,0,21,GOAL!  SPAIN 1-1 FRANCE (YAMAL),key_event,Goal,,Both,31
spain_france,23,0,23,GOAL!  Wow... that was special!,key_event,Goal,,Both,31
spain_france,25,0,25,GOAL!  SPAIN 2-1 FRANCE (OLMO),key_event,Goal,,Both,30
spain_france,27,0,27,GOAL!,key_event,Goal,,Both,5
spain_france,31,0,31,"UEFA state, at the moment, that Spain's second goal is in fact an own goal scored by France defender Jules Kounde, but that will surely change as Olmo's strike looked on target.",general,General,"Olmo, Kounde",Both,177
spain_france,35,0,35,Theo Hernandez leaves his mark on Yamal with a late challenge right on the touchline. Referee Slavko Vincic gives the foul but opts to keeps his cards in his pocket for this one,general,General,"Yamal, Hernandez",Both,177
spain_france,37,0,37,"Thirty-seven brilliant minutes played in Munich so far; France have impressed despite letting a one-goal lead slip, but Spain's two goals scored just four minutes and nine seconds apart is what is separating the two teams at present.",general,General,,Both,233
spain_france,39,0,39,"CHANCE!  France win a corner and play it short; Theo Hernandez's cross is initially kept in by William Saliba, but it fails to reach a teammate.",key_event,Chance,"Saliba, Hernandez",France,144
