match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
spain_germany,1,0,1,"KICKOFF:  And we're off! Germany get us started. Strap in folks, this will be special.",key_event,Kick Off,,Germany,94
spain_germany,2,0,2,"SHOT!  Spain on the front foot immediately! Williams and Morata link up nicely, but Pedri's strike on the edge of the box is straight at Manuel Neuer. Now Cucurella is down...",key_event,Shot,"Williams, Morata, Pedri, Neuer, Cucurella",Spain,190
spain_germany,3,0,3,"The Chelsea man looks to have come off worse in a collision with Can, but he is OK to continue.",general,General,"Cucurella, Can",Spain,106
spain_germany,4,0,4,"First bit of defending for Robin Le Normand but he deals with Sane well. Now Kroos scythes down Pedri as the Barcelona man tries to break.",general,General,"Le Normand, Sane, Kroos, Pedri",Both,145
spain_germany,5,0,5,"Referee Anthony Taylor laying down the law early, demanding that all non-wearing armband players step away from him. Kroos remonstrated heavily there... not sure why. Fortunate not to be booked.",general,General,Kroos,Both,188
spain_germany,6,0,6,Now Gundogan brings down his former teammate Rodri. A bit feisty early on this one!,general,General,"Gundogan, Rodri",Germany,95
spain_germany,7,0,7,"Pedri might not have recovered from that clattering by Kroos - he's down again. The last thing either manager needs is an early enforced change...",general,General,"Pedri, Kroos",Spain,153
spain_germany,8,0,8,"Pedri has already had awful luck with injuries in his career, and he does not look comfortable here. Dani Olmo getting ready as a distraught Pedri gingerly walks off. Have to feel for him.",general,Substitution,"Pedri, Olmo",Spain,188
spain_germany,9,0,9,SPAIN SUB Confirmation of that change - Pedri is off and Olmo comes into the number 10 role.,key_event,Substitution,"Pedri, Olmo",Spain,99
spain_germany,11,0,11,"Havertz holds the ball up well in the final third and finds Raum on the overlap, but his cross is straight into Unai Simon's arms.",general,General,"Havertz, Raum, Simon",Germany,136
spain_germany,12,0,12,SHOT!  Williams tries his luck from distance, but not his finest. It trickles harmlessly wide.,key_event,Shot,Williams,Spain,100
spain_germany,13,0,13,"This was the tackle that forced a disconsolate Pedri off. Looking back, how Kroos did not get a booking is astounding. There's no room for sentimentality in a Euros quarter-final Anthony Taylor!",general,General,"Pedri, Kroos",Spain,194
spain_germany,14,0,14,"YELLOW CARD!  Talk about timing! Rudiger sticks a leg out to stop Olmo in his tracks and is cautioned. That's him out of the semis (if Germany get there).",key_event,Yellow Card,"Rudiger, Olmo",Germany,157
spain_germany,15,0,15,Or so I initially thought, goal kick given.,general,General,,Both,45
spain_germany,15,0,15,"Olmo and Yamal over the free kick... It is Lamal, and it is deflected behind.",general,Free Kick,"Olmo, Yamal",Spain,85
spain_germany,16,0,16,"End-to-end stuff now! This is what we came for. A promising Germany move breaks down before Spain steam down the other end of the pitch, but an ambitious Morata strike hits a white shirt.",general,Shot,Morata,Both,179
spain_germany,17,0,17,SHOT!  Yamal finds Fabian Ruiz in acres of space inside the D, but he just delays his strike and sends it over the top.,key_event,Shot,"Yamal, Fabian Ruiz",Spain,124
spain_germany,19,0,19,"Germany enjoy a bit of possession in the Spain half, but Laporte is well-positioned to cut out a Sane cross and also prevent a corner.",general,General,"Laporte, Sane",Germany,137
spain_germany,21,0,21,"SHOT!  Germany work the ball out to Kimmich on the right, and his cross is on the money for Kai Havertz, who sends his header straight at Simon. A chance.",key_event,Shot,"Kimmich, Havertz, Simon",Germany,156
spain_germany,23,0,23,"The hosts just showing a bit more attacking impetus now after Spain shaded a scrappy start. Just as I type that, Yamal makes a nice sliding interception and Spain have the ball back.",general,General,Yamal,Germany,177
spain_germany,23,0,23,SHOT!  Spain refuse to close down a charging Laporte, who takes the invitation to shoot, but Neuer gathers at the second attempt.,key_event,Shot,"Laporte, Neuer",Spain,129
spain_germany,25,0,25,"Kimmich getting some joy down the right now and draws a foul from Morata. Germany free kick in a promising area...",general,Free Kick,"Kimmich, Morata",Germany,121
spain_germany,26,0,26,"Kroos whips it in, and Tah rises highest, but he cannot leap high enough to get a decent connection and the ball rolls through to Simon.",general,Free Kick,"Kroos, Tah, Simon",Germany,139
spain_germany,27,0,27,"Germany corner as Laporte gets a vital flick to prevent a diagonal ball from reaching Rudiger... A few bodies hit the floor and Simon eventually claims.",general,Corner,"Laporte, Rudiger, Simon",Germany,148
spain_germany,28,0,28,YELLOW CARD!  David Raum now into the book for tripping Carvajal. Spain's turn to whip it into the mixer.,key_event,Yellow Card,"Raum, Carvajal",Germany,113
spain_germany,29,0,29,Germany do not exactly deal with Williams's delivery, but Olmo kicks Gundogan as he goes for a volley and the hosts win a free kick.,general,Free Kick,"Williams, Olmo, Gundogan",Germany,140
spain_germany,30,0,30,"YELLOW CARD!  Speaking of any means necessary, Le Normand is now booked for fouling Gundogan, and he is another one to miss any potential semi-final.",key_event,Yellow Card,"Le Normand, Gundogan",Spain,153
spain_germany,32,0,32,"To stop Yamal, you have to kick Yamal. At least that's what Emre Can thinks. He avoids further punishment, though.",general,General,"Yamal, Can",Germany,122
spain_germany,34,0,34,"Spain almost catch Germany unawares, but Tah does just enough to prevent Olmo from going one-on-one with Neuer.",general,General,"Tah, Olmo, Neuer",Spain,116
spain_germany,34,0,34,"CHANCE!  A slick slide-rule pass from Havertz finds Kimmich, whose low cross is poor and straight into Simon's body, but he was well offside anyway.",key_event,Chance,"Havertz, Kimmich, Simon",Germany,157
spain_germany,35,0,35,"SHOT!  Havertz at the heart of it again! The Arsenal man chests down a fantastic Rudiger ball over the top and fires a volley at goal, but Simon gets down to his right and saves.",key_event,Shot,"Havertz, Rudiger, Simon",Germany,177
spain_germany,36,0,36,SAVE!  Williams just runs offside before turning Rudiger and forcing Neuer into a reaction save at his near post.,key_event,Save,"Williams, Rudiger, Neuer",Spain,120
spain_germany,38,0,38,"De la Fuente engaged in conversation with one of his lieutenants down on the sidelines. This one is still on a knife-edge.",general,General,De la Fuente,Both,130
spain_germany,40,0,40,"SHOT!  Kimmich puts in a perfectly-timed tackle to stop Williams, but Spain win the ball back right away and Olmo has a crack from distance, which Neuer can only parry out. Rudiger then does enough to put Morata off.",key_event,Shot,"Kimmich, Williams, Olmo, Neuer, Rudiger, Morata",Spain,215
spain_germany,42,0,42,"Is it fair to say Neuer's handling is a little off today? That's a couple of times now he's not caught the ball cleanly at the first attempt. Kroos gives away another foul for shoving Olmo over. Still no booking.",general,General,"Neuer, Kroos, Olmo",Germany,202
spain_germany,44,0,44,"Williams is still seeing plenty of the ball and whips a cross in from the left, but it is far too high for a frustrated Olmo, and Yamal cannot keep it in.",general,General,"Williams, Olmo, Yamal",Spain,157
spain_germany,45,0,45,"SHOT!  Yamal turns Tah with ease and also has a pop from range, but it is too central to trouble Neuer. Two minutes added on.",key_event,Shot,"Yamal, Tah, Neuer",Spain,133
spain_germany,45,0,45,HALF TIME:  SPAIN 0-0 GERMANY,key_event,Half Time,,Both,32
spain_germany,46,0,46,KICKOFF:  Spain get us started again.,key_event,Kick Off,,Spain,42
spain_germany,46,0,46,Wirtz wants a slice of the aggression and fouls Laporte after just 18 seconds.,general,General,"Wirtz, Laporte",Germany,83
spain_germany,47,0,47,"SHOT!  Morata goes agonisingly close! Williams picks out Yamal with a lovely cross to the back post, and the Barcelona man finds Morata with his back to goal. He's under pressure from Tah but manages to turn and shoot, albeit over the bar.",key_event,Shot,"Morata, Williams, Yamal, Tah",Spain,235
spain_germany,48,0,48,SHOT!  Andrich now tries a first-time spectacular - not sure if it was a cross or a shot, but it went behind for a goal kick anyway.,key_event,Shot,Andrich,Germany,133
spain_germany,50,0,50,A tangle of legs between Musiala and Carvajal and the decision goes Germany's way.,general,General,"Musiala, Carvajal",Germany,84
spain_germany,52,0,52,"GOAL!  Spain strike first, and it's that man Olmo again! Morata drops deep to send Yamal away down the right, and the 16-year-old finds the run of Olmo, who sweeps a first-time finish into the far corner past Neuer. Lift-off at last!",key_event,Goal,"Olmo, Morata, Yamal, Neuer",Spain,235
spain_germany,52,0,52,GOAL!  SPAIN 1-0 GERMANY (OLMO),key_event,Goal,Olmo,Spain,34
