event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,spain_score,england_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure,event_commentary,sequence_id,sequence_commentary,sequence_length
6797,3942752,1,0,0,00:00:00.000,Starting XI,,Spain,Spain,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,5,0,0,11,2,0,0,,,,,,Starting XI,,France,False,,False,,False,Starting XI,1,[0:00] Starting XI . Starting XI . Half Start . Half Start,4
6798,3942752,1,0,0,00:00:00.000,Starting XI,,France,Spain,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,2,3,0,3,1,0,0,Starting XI,,Spain,0.0,0.0,Half Start,,Spain,False,,False,,False,Starting XI,1,[0:00] Starting XI . Starting XI . Half Start . Half Start,4
6799,3942752,1,0,0,00:00:00.000,Half Start,,Spain,Spain,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,5,0,0,11,2,0,0,Starting XI,,France,0.0,0.0,Half Start,,France,False,,False,,False,Half Start,1,[0:00] Starting XI . Starting XI . Half Start . Half Start,4
6800,3942752,1,0,0,00:00:00.000,Half Start,,France,Spain,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,2,3,0,3,1,0,0,Half Start,,Spain,0.0,0.0,Pass,Adrien Rabiot,France,True,,False,,False,Half Start,1,[0:00] Starting XI . Starting XI . Half Start . Half Start,4
6801,3942752,1,0,0,00:00:00.467,Pass,Adrien Rabiot,France,France,61.0,40.1,,1.158161,From Kick Off,N'Golo Kanté,14.637281,Ground Pass,,2.6351578,48.2,47.2,,,,,False,,,,,False,,"{'id': 15, 'name': 'Left Center Midfield'}",,0,0,0,2,3,0,3,1,0,0,Half Start,,France,0.0,0.0,Ball Receipt*,N'Golo Kanté,France,True,59.0,False,False,False,"🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Adrien Rabiot under pressure, plays a short pass back along the ground to N'Golo Kanté",2,"[0:00] 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Adrien Rabiot under pressure, plays a short pass back along the ground to N'Golo Kanté N'Golo Kanté receives under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! N'Golo Kanté under pressure, plays a medium pass along the ground to Jules Koundé Jules Koundé receives",10
6802,3942752,1,0,1,00:00:01.625,Ball Receipt*,N'Golo Kanté,France,France,48.2,47.2,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 13, 'name': 'Right Center Midfield'}",,0,0,0,2,3,0,3,1,0,0,Pass,Adrien Rabiot,France,0.0,0.0,Carry,N'Golo Kanté,France,True,71.8,False,False,False,N'Golo Kanté receives,2,"[0:00] 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Adrien Rabiot under pressure, plays a short pass back along the ground to N'Golo Kanté N'Golo Kanté receives under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! N'Golo Kanté under pressure, plays a medium pass along the ground to Jules Koundé Jules Koundé receives",10
6803,3942752,1,0,1,00:00:01.625,Carry,N'Golo Kanté,France,France,48.2,47.2,,0.914223,From Kick Off,,,,,,,,,,,,False,50.3,51.3,4.6065171225124,,False,,"{'id': 13, 'name': 'Right Center Midfield'}",,0,0,0,2,3,0,3,1,0,0,Ball Receipt*,N'Golo Kanté,France,0.0,1.0,Pass,N'Golo Kanté,France,True,71.8,False,False,False,"N'Golo Kanté under pressure, carries the ball",2,"[0:00] 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Adrien Rabiot under pressure, plays a short pass back along the ground to N'Golo Kanté N'Golo Kanté receives under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! N'Golo Kanté under pressure, plays a medium pass along the ground to Jules Koundé Jules Koundé receives",10
6804,3942752,1,0,2,00:00:02.539,Pass,N'Golo Kanté,France,France,50.3,51.3,,1.66588,From Kick Off,Jules Koundé,23.186419,Ground Pass,,1.814729,44.7,73.8,,,,,False,,,,,False,,"{'id': 13, 'name': 'Right Center Midfield'}",,0,0,0,2,3,0,3,1,0,0,Carry,N'Golo Kanté,France,0.0,1.0,Ball Receipt*,Jules Koundé,France,True,69.7,False,False,False,"🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! N'Golo Kanté under pressure, plays a medium pass along the ground to Jules Koundé",2,"[0:00] 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Adrien Rabiot under pressure, plays a short pass back along the ground to N'Golo Kanté N'Golo Kanté receives under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! N'Golo Kanté under pressure, plays a medium pass along the ground to Jules Koundé Jules Koundé receives",10
6805,3942752,1,0,4,00:00:04.205,Ball Receipt*,Jules Koundé,France,France,44.7,73.8,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,2,3,0,3,1,1,0,Pass,N'Golo Kanté,France,0.0,2.0,Carry,Jules Koundé,France,True,75.3,False,False,False,Jules Koundé receives,2,"[0:00] 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Adrien Rabiot under pressure, plays a short pass back along the ground to N'Golo Kanté N'Golo Kanté receives under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! N'Golo Kanté under pressure, plays a medium pass along the ground to Jules Koundé Jules Koundé receives",10
6806,3942752,1,0,4,00:00:04.205,Carry,Jules Koundé,France,France,44.7,73.8,,0.465988,From Kick Off,,,,,,,,,,,,False,46.1,73.7,1.403566884761818,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,2,3,0,3,1,1,0,Ball Receipt*,Jules Koundé,France,0.0,4.0,Pass,Jules Koundé,France,True,75.3,False,False,False,"Jules Koundé under pressure, carries the ball",2,"[0:00] 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Adrien Rabiot under pressure, plays a short pass back along the ground to N'Golo Kanté N'Golo Kanté receives under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! N'Golo Kanté under pressure, plays a medium pass along the ground to Jules Koundé Jules Koundé receives",10
