event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Netherlands_score,England_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
0,3942819,1,0,0,00:00:00.000,Starting XI,,Netherlands,Netherlands,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,3,1,1,9,5,0,0,,,,,,Starting XI,,England,False,,False,,False
1,3942819,1,0,0,00:00:00.000,Starting XI,,England,Netherlands,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,2,3,0,5,3,0,0,Starting XI,,Netherlands,0.0,0.0,Half Start,,Netherlands,False,,False,,False
2,3942819,1,0,0,00:00:00.000,Half Start,,Netherlands,Netherlands,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,3,1,1,9,5,0,0,Starting XI,,England,0.0,0.0,Half Start,,England,False,,False,,False
3,3942819,1,0,0,00:00:00.000,Half Start,,England,Netherlands,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,2,3,0,5,3,0,0,Half Start,,Netherlands,0.0,0.0,Pass,Kobbie Mainoo,England,True,,False,,False
4,3942819,1,0,0,00:00:00.355,Pass,Kobbie Mainoo,England,England,60.0,40.0,,2.455156,From Kick Off,Jordan Pickford,34.738163,Ground Pass,,-2.9825964,25.7,34.5,,,,,False,,,,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,0,0,0,2,3,0,5,3,0,0,Half Start,,England,0.0,0.0,Ball Receipt*,Jordan Pickford,England,True,60.0,False,False,False
5,3942819,1,0,2,00:00:02.810,Ball Receipt*,Jordan Pickford,England,England,25.7,34.5,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,2,3,0,5,3,0,0,Pass,Kobbie Mainoo,England,0.0,0.0,Carry,Jordan Pickford,England,True,94.3,False,False,False
6,3942819,1,0,2,00:00:02.810,Carry,Jordan Pickford,England,England,25.7,34.5,True,2.483781,From Kick Off,,,,,,,,,,,,False,30.4,24.1,11.412712210513327,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,2,3,0,5,3,0,0,Ball Receipt*,Jordan Pickford,England,0.0,2.0,Pressure,Memphis Depay,Netherlands,False,94.3,False,False,False
7,3942819,1,0,4,00:00:04.188,Pressure,Memphis Depay,Netherlands,England,81.2,47.6,,1.267798,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,3,1,1,9,5,1,0,Carry,Jordan Pickford,England,0.0,2.0,Pass,Jordan Pickford,England,False,38.8,False,False,False
8,3942819,1,0,5,00:00:05.294,Pass,Jordan Pickford,England,England,30.4,24.1,True,3.438864,From Kick Off,,65.69574,High Pass,Incomplete,0.46228614,89.2,53.4,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,2,3,0,5,3,0,0,Pressure,Memphis Depay,Netherlands,0.0,4.0,Pass,Virgil van Dijk,Netherlands,False,89.6,False,False,True
9,3942819,1,0,8,00:00:08.732,Pass,Virgil van Dijk,Netherlands,England,30.9,26.7,,2.819638,From Kick Off,Memphis Depay,30.236732,High Pass,Incomplete,0.34057677,59.4,36.8,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,3,1,1,9,5,0,0,Pass,Jordan Pickford,England,0.0,5.0,Ball Receipt*,Memphis Depay,Netherlands,True,89.1,False,False,False
10,3942819,1,0,11,00:00:11.552,Ball Receipt*,Memphis Depay,Netherlands,England,65.6,46.4,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,3,1,1,9,5,1,0,Pass,Virgil van Dijk,Netherlands,0.0,8.0,Pass,John Stones,England,False,54.400000000000006,False,False,False
11,3942819,1,0,11,00:00:11.552,Pass,John Stones,England,England,60.7,43.3,,2.247506,From Kick Off,Harry Kane,25.678005,High Pass,,0.3168245,85.1,51.3,,,,,False,,,,,False,,"{'id': 4, 'name': 'Center Back'}",,0,0,0,2,3,0,5,3,0,0,Ball Receipt*,Memphis Depay,Netherlands,0.0,11.0,Pressure,Virgil van Dijk,Netherlands,False,59.3,False,False,False
12,3942819,1,0,13,00:00:13.703,Pressure,Virgil van Dijk,Netherlands,England,35.5,29.9,,0.529064,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,3,1,1,9,5,0,0,Pass,John Stones,England,0.0,11.0,Ball Receipt*,Harry Kane,England,False,84.5,False,False,False
