event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Hungary_score,Switzerland_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
181129,3930159,1,0,0,00:00:00.000,Starting XI,,Hungary,Hungary,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,,,,,,Starting XI,,Switzerland,False,,False,,False
181130,3930159,1,0,0,00:00:00.000,Starting XI,,Switzerland,Hungary,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,Starting XI,,Hungary,0.0,0.0,Half Start,,Switzerland,True,,False,,False
181131,3930159,1,0,0,00:00:00.000,Half Start,,Switzerland,Hungary,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,Starting XI,,Switzerland,0.0,0.0,Half Start,,Hungary,False,,False,,False
181132,3930159,1,0,0,00:00:00.000,Half Start,,Hungary,Hungary,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,Half Start,,Switzerland,0.0,0.0,Pass,Ádám Nagy,Hungary,True,,False,,False
181133,3930159,1,0,0,00:00:00.310,Pass,Ádám Nagy,Hungary,Hungary,60.0,40.0,,1.685987,From Kick Off,Dominik Szoboszlai,22.055386,Ground Pass,,-2.608949,41.0,28.8,,,,,False,,,,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Half Start,,Hungary,0.0,0.0,Ball Receipt*,Dominik Szoboszlai,Hungary,True,60.0,False,False,False
181134,3930159,1,0,1,00:00:01.996,Ball Receipt*,Dominik Szoboszlai,Hungary,Hungary,41.0,28.8,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 20, 'name': 'Left Attacking Midfield'}",,0,0,0,0,0,0,0,0,0,0,Pass,Ádám Nagy,Hungary,0.0,0.0,Carry,Dominik Szoboszlai,Hungary,True,79.0,False,False,False
181135,3930159,1,0,1,00:00:01.996,Carry,Dominik Szoboszlai,Hungary,Hungary,41.0,28.8,,0.767306,From Kick Off,,,,,,,,,,,,False,42.0,26.7,2.325940669922603,,False,,"{'id': 20, 'name': 'Left Attacking Midfield'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Dominik Szoboszlai,Hungary,0.0,1.0,Pass,Dominik Szoboszlai,Hungary,True,79.0,False,False,False
181136,3930159,1,0,2,00:00:02.763,Pass,Dominik Szoboszlai,Hungary,Hungary,42.0,26.7,,1.098274,From Kick Off,Attila Szalai,20.543125,Ground Pass,,-1.3199146,47.1,6.8,,,,,False,,,,,False,,"{'id': 20, 'name': 'Left Attacking Midfield'}",,0,0,0,0,0,0,0,0,0,0,Carry,Dominik Szoboszlai,Hungary,0.0,1.0,Ball Receipt*,Attila Szalai,Hungary,True,78.0,False,False,False
181137,3930159,1,0,3,00:00:03.861,Ball Receipt*,Attila Szalai,Hungary,Hungary,47.1,6.8,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,0,0,0,0,0,0,0,Pass,Dominik Szoboszlai,Hungary,0.0,2.0,Carry,Attila Szalai,Hungary,True,72.9,False,False,False
181138,3930159,1,0,3,00:00:03.861,Carry,Attila Szalai,Hungary,Hungary,47.1,6.8,,1.278541,From Kick Off,,,,,,,,,,,,False,49.2,5.8,2.325940669922603,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Attila Szalai,Hungary,0.0,3.0,Pass,Attila Szalai,Hungary,True,72.9,False,False,False
181139,3930159,1,0,5,00:00:05.140,Pass,Attila Szalai,Hungary,Hungary,49.2,5.8,,2.498232,From Kick Off,Roland Sallai,58.929535,High Pass,,1.0562807,78.2,57.1,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,0,0,0,0,0,0,0,Carry,Attila Szalai,Hungary,0.0,3.0,Ball Receipt*,Roland Sallai,Hungary,True,70.8,False,False,False
181140,3930159,1,0,7,00:00:07.638,Ball Receipt*,Roland Sallai,Hungary,Hungary,78.2,57.1,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 18, 'name': 'Right Attacking Midfield'}",,0,0,0,0,0,0,0,0,0,0,Pass,Attila Szalai,Hungary,0.0,5.0,Pass,Roland Sallai,Hungary,True,41.8,False,False,False
181141,3930159,1,0,7,00:00:07.638,Pass,Roland Sallai,Hungary,Hungary,78.2,57.1,,3.3847,From Kick Off,,25.13404,High Pass,Out,1.1000314,89.6,79.5,,,,,False,,,,,False,,"{'id': 18, 'name': 'Right Attacking Midfield'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Roland Sallai,Hungary,0.0,7.0,Pass,Michel Aebischer,Switzerland,False,41.8,False,False,False
181142,3930159,1,0,15,00:00:15.866,Pass,Michel Aebischer,Switzerland,Switzerland,29.1,0.1,,1.003602,From Throw In,Granit Xhaka,7.1589108,Low Pass,,1.7818897,27.6,7.1,,,,,False,,,,,False,,"{'id': 8, 'name': 'Left Wing Back'}",,0,0,0,0,0,0,0,0,0,0,Pass,Roland Sallai,Hungary,0.0,7.0,Pressure,Roland Sallai,Hungary,False,90.9,False,False,False
181143,3930159,1,0,16,00:00:16.344,Pressure,Roland Sallai,Hungary,Switzerland,90.4,72.7,,0.321929,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 18, 'name': 'Right Attacking Midfield'}",,0,0,0,0,0,0,0,0,0,0,Pass,Michel Aebischer,Switzerland,0.0,15.0,Ball Receipt*,Granit Xhaka,Switzerland,False,29.599999999999994,False,False,False
181144,3930159,1,0,16,00:00:16.870,Ball Receipt*,Granit Xhaka,Switzerland,Switzerland,27.6,7.1,,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Pressure,Roland Sallai,Hungary,0.0,16.0,Pass,Granit Xhaka,Switzerland,True,92.4,False,False,True
181145,3930159,1,0,16,00:00:16.870,Pass,Granit Xhaka,Switzerland,Switzerland,27.6,7.2,,0.736186,From Throw In,Michel Aebischer,3.9204593,Low Pass,,-1.4685897,28.0,3.3,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Granit Xhaka,Switzerland,0.0,16.0,Ball Receipt*,Michel Aebischer,Switzerland,True,92.4,False,False,False
181146,3930159,1,0,17,00:00:17.606,Ball Receipt*,Michel Aebischer,Switzerland,Switzerland,28.0,3.3,,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 8, 'name': 'Left Wing Back'}",,0,0,0,0,0,0,0,0,0,0,Pass,Granit Xhaka,Switzerland,0.0,16.0,Pass,Michel Aebischer,Switzerland,True,92.0,False,False,False
181147,3930159,1,0,17,00:00:17.606,Pass,Michel Aebischer,Switzerland,Switzerland,28.0,3.3,,3.286471,From Throw In,Remo Freuler,24.380526,High Pass,,0.93385786,42.5,22.9,,,,,False,,,,,False,,"{'id': 8, 'name': 'Left Wing Back'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Michel Aebischer,Switzerland,0.0,17.0,Ball Receipt*,Remo Freuler,Switzerland,True,92.0,False,False,False
181148,3930159,1,0,20,00:00:20.892,Ball Receipt*,Remo Freuler,Switzerland,Switzerland,42.5,22.9,,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Pass,Michel Aebischer,Switzerland,0.0,17.0,Duel,András Schäfer,Hungary,False,77.5,False,False,False
181149,3930159,1,0,20,00:00:20.892,Duel,András Schäfer,Hungary,Switzerland,77.6,57.2,True,0.0,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Remo Freuler,Switzerland,0.0,20.0,Pass,Remo Freuler,Switzerland,False,42.400000000000006,False,False,False
181150,3930159,1,0,20,00:00:20.892,Pass,Remo Freuler,Switzerland,Switzerland,42.5,22.9,True,1.229801,From Throw In,Kwadwo Duah,9.272001,High Pass,,-0.28422552,51.4,20.3,,,,,False,,,,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Duel,András Schäfer,Hungary,0.0,20.0,Pressure,Ádám Lang,Hungary,False,77.5,False,False,False
181151,3930159,1,0,21,00:00:21.907,Pressure,Ádám Lang,Hungary,Switzerland,66.6,60.8,,0.197334,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,0,0,0,0,0,0,0,Pass,Remo Freuler,Switzerland,0.0,20.0,Ball Receipt*,Kwadwo Duah,Switzerland,False,53.400000000000006,False,False,False
181152,3930159,1,0,22,00:00:22.122,Ball Receipt*,Kwadwo Duah,Switzerland,Switzerland,51.4,20.3,,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,0,0,0,0,0,0,0,Pressure,Ádám Lang,Hungary,0.0,21.0,Carry,Kwadwo Duah,Switzerland,True,68.6,False,False,True
181153,3930159,1,0,22,00:00:22.122,Carry,Kwadwo Duah,Switzerland,Switzerland,51.4,20.3,,0.101597,From Throw In,,,,,,,,,,,,False,51.4,20.1,0.1999999999999993,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Kwadwo Duah,Switzerland,0.0,22.0,Pass,Kwadwo Duah,Switzerland,True,68.6,False,False,False
181154,3930159,1,0,22,00:00:22.224,Pass,Kwadwo Duah,Switzerland,Switzerland,51.4,20.1,,1.035079,From Throw In,Dan Ndoye,11.761803,Ground Pass,Incomplete,1.1033465,56.7,30.6,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,0,0,0,0,0,0,0,Carry,Kwadwo Duah,Switzerland,0.0,22.0,Ball Receipt*,Dan Ndoye,Switzerland,True,68.6,False,False,False
181155,3930159,1,0,23,00:00:23.259,Ball Receipt*,Dan Ndoye,Switzerland,Switzerland,53.5,31.6,,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 18, 'name': 'Right Attacking Midfield'}",,0,0,0,0,0,0,0,0,0,0,Pass,Kwadwo Duah,Switzerland,0.0,22.0,Pass,Attila Szalai,Hungary,False,66.5,False,False,False
