event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Spain_score,Croatia_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
177333,3930160,1,0,0,00:00:00.000,Starting XI,,Spain,Spain,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,,,,,,Starting XI,,Croatia,False,,False,,False
177334,3930160,1,0,0,00:00:00.000,Starting XI,,Croatia,Spain,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,Starting XI,,Spain,0.0,0.0,Half Start,,Croatia,True,,False,,False
177335,3930160,1,0,0,00:00:00.000,Half Start,,Croatia,Spain,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,Starting XI,,Croatia,0.0,0.0,Half Start,,Spain,False,,False,,False
177336,3930160,1,0,0,00:00:00.000,Half Start,,Spain,Spain,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,Half Start,,Croatia,0.0,0.0,Pass,Luka Modrić,Croatia,False,,False,,False
177337,3930160,1,0,0,00:00:00.384,Pass,Luka Modrić,Croatia,Croatia,61.0,40.1,,1.696946,From Kick Off,Josip Šutalo,20.769209,Ground Pass,,2.868584,41.0,45.7,,,,,False,,,,,False,,"{'id': 13, 'name': 'Right Center Midfield'}",,0,0,0,0,0,0,0,0,0,0,Half Start,,Spain,0.0,0.0,Ball Receipt*,Josip Šutalo,Croatia,True,59.0,False,False,False
177338,3930160,1,0,2,00:00:02.080,Ball Receipt*,Josip Šutalo,Croatia,Croatia,41.0,45.7,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,0,0,0,0,0,0,0,Pass,Luka Modrić,Croatia,0.0,0.0,Carry,Josip Šutalo,Croatia,True,79.0,False,False,False
177339,3930160,1,0,2,00:00:02.080,Carry,Josip Šutalo,Croatia,Croatia,41.0,45.7,,1.329413,From Kick Off,,,,,,,,,,,,False,41.9,46.3,1.0816653826391924,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Josip Šutalo,Croatia,0.0,2.0,Pass,Josip Šutalo,Croatia,True,79.0,False,False,False
177340,3930160,1,0,3,00:00:03.410,Pass,Josip Šutalo,Croatia,Croatia,41.9,46.3,,4.250731,From Kick Off,Ante Budimir,74.700264,High Pass,Out,-0.6667963,100.6,0.1,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,0,0,0,0,0,0,0,Carry,Josip Šutalo,Croatia,0.0,2.0,Ball Receipt*,Ante Budimir,Croatia,True,78.1,False,False,False
177341,3930160,1,0,7,00:00:07.661,Ball Receipt*,Ante Budimir,Croatia,Croatia,96.7,4.1,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,0,0,0,0,0,0,0,Pass,Josip Šutalo,Croatia,0.0,3.0,Pass,Daniel Carvajal Ramos,Spain,False,23.299999999999997,False,True,False
177342,3930160,1,0,16,00:00:16.963,Pass,Daniel Carvajal Ramos,Spain,Spain,33.0,80.0,,1.268796,From Throw In,Álvaro Borja Morata Martín,17.67088,High Pass,,-0.6084079,47.5,69.9,,,,,False,,,,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Ante Budimir,Croatia,0.0,7.0,Ball Receipt*,Álvaro Borja Morata Martín,Spain,True,87.0,False,False,False
177343,3930160,1,0,18,00:00:18.232,Ball Receipt*,Álvaro Borja Morata Martín,Spain,Spain,47.5,69.9,,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,0,0,0,0,0,0,0,Pass,Daniel Carvajal Ramos,Spain,0.0,16.0,Duel,Marin Pongracic,Croatia,False,72.5,False,False,False
177344,3930160,1,0,18,00:00:18.265,Duel,Marin Pongracic,Croatia,Spain,72.6,10.2,True,0.0,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Álvaro Borja Morata Martín,Spain,0.0,18.0,Pass,Álvaro Borja Morata Martín,Spain,False,47.400000000000006,False,False,False
177345,3930160,1,0,18,00:00:18.265,Pass,Álvaro Borja Morata Martín,Spain,Spain,47.5,69.9,True,1.682689,From Throw In,Pedro González López,14.450605,Low Pass,Incomplete,-0.99239033,55.4,57.8,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,0,0,0,0,0,0,0,Duel,Marin Pongracic,Croatia,0.0,18.0,Ball Receipt*,Pedro González López,Spain,True,72.5,False,False,False
177346,3930160,1,0,19,00:00:19.948,Ball Receipt*,Pedro González López,Spain,Spain,49.9,60.8,,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,0,0,0,0,0,0,0,Pass,Álvaro Borja Morata Martín,Spain,0.0,18.0,Pass,Josip Šutalo,Croatia,False,70.1,False,False,False
177347,3930160,1,0,19,00:00:19.948,Pass,Josip Šutalo,Croatia,Spain,64.7,22.3,,0.962662,From Throw In,Luka Modrić,9.679876,Low Pass,,0.5794068,72.8,27.6,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Pedro González López,Spain,0.0,19.0,Pressure,Álvaro Borja Morata Martín,Spain,False,55.3,False,False,False
177348,3930160,1,0,20,00:00:20.791,Pressure,Álvaro Borja Morata Martín,Spain,Spain,47.6,51.9,,0.707937,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,0,0,0,0,0,0,0,Pass,Josip Šutalo,Croatia,0.0,19.0,Ball Receipt*,Luka Modrić,Croatia,False,72.4,False,False,False
177349,3930160,1,0,20,00:00:20.911,Ball Receipt*,Luka Modrić,Croatia,Spain,72.8,27.6,True,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 13, 'name': 'Right Center Midfield'}",,0,0,0,0,0,0,0,0,0,0,Pressure,Álvaro Borja Morata Martín,Spain,0.0,20.0,Carry,Luka Modrić,Croatia,True,47.2,False,False,True
177350,3930160,1,0,20,00:00:20.911,Carry,Luka Modrić,Croatia,Spain,72.8,27.6,True,1.165926,From Throw In,,,,,,,,,,,,False,77.8,30.1,5.5901699437494745,,False,,"{'id': 13, 'name': 'Right Center Midfield'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Luka Modrić,Croatia,0.0,20.0,Pass,Luka Modrić,Croatia,True,47.2,False,False,False
177351,3930160,1,0,22,00:00:22.077,Pass,Luka Modrić,Croatia,Spain,77.8,30.1,,1.046825,From Throw In,Ante Budimir,13.8361845,Ground Pass,Incomplete,-0.07233733,91.6,29.1,,,,,False,,,,,False,,"{'id': 13, 'name': 'Right Center Midfield'}",,0,0,0,0,0,0,0,0,0,0,Carry,Luka Modrić,Croatia,0.0,20.0,Pressure,Ante Budimir,Croatia,True,42.2,False,False,False
177352,3930160,1,0,23,00:00:23.017,Pressure,Ante Budimir,Croatia,Spain,88.7,26.5,,0.159725,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,0,0,0,0,0,0,0,Pass,Luka Modrić,Croatia,0.0,22.0,Ball Receipt*,Ante Budimir,Croatia,True,31.299999999999997,False,False,False
177353,3930160,1,0,23,00:00:23.124,Ball Receipt*,Ante Budimir,Croatia,Spain,89.5,27.2,,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,0,0,0,0,0,0,0,Pressure,Ante Budimir,Croatia,0.0,23.0,Clearance,Robin Aime Robert Le Normand,Spain,False,30.5,False,False,True
177354,3930160,1,0,23,00:00:23.124,Clearance,Robin Aime Robert Le Normand,Spain,Spain,28.5,51.0,True,0.0,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Ante Budimir,Croatia,0.0,23.0,Pressure,Nicholas Williams Arthuer,Spain,True,91.5,False,False,False
177355,3930160,1,0,25,00:00:25.130,Pressure,Nicholas Williams Arthuer,Spain,Spain,54.8,28.6,,0.468368,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 21, 'name': 'Left Wing'}",,0,0,0,0,0,0,0,0,0,0,Clearance,Robin Aime Robert Le Normand,Spain,0.0,23.0,Pass,Josip Stanišić,Croatia,False,65.2,False,False,False
177356,3930160,1,0,25,00:00:25.527,Pass,Josip Stanišić,Croatia,Spain,63.4,55.0,True,2.464055,From Throw In,Ante Budimir,28.200708,High Pass,Incomplete,-0.0070920796,91.6,54.8,,,,,False,,,,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,0,0,0,0,0,0,0,Pressure,Nicholas Williams Arthuer,Spain,0.0,25.0,Ball Receipt*,Ante Budimir,Croatia,True,56.6,False,False,True
177357,3930160,1,0,27,00:00:27.991,Ball Receipt*,Ante Budimir,Croatia,Spain,89.0,52.9,,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,0,0,0,0,0,0,0,Pass,Josip Stanišić,Croatia,0.0,25.0,Ball Recovery,José Ignacio Fernández Iglesias,Spain,False,31.0,False,False,False
177358,3930160,1,0,27,00:00:27.991,Ball Recovery,José Ignacio Fernández Iglesias,Spain,Spain,28.5,25.3,,0.0,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Ante Budimir,Croatia,0.0,27.0,Carry,José Ignacio Fernández Iglesias,Spain,True,91.5,False,False,False
177359,3930160,1,0,27,00:00:27.991,Carry,José Ignacio Fernández Iglesias,Spain,Spain,28.5,25.3,True,1.36643,From Throw In,,,,,,,,,,,,False,27.2,24.0,1.8384776310850246,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,0,0,0,0,0,0,0,Ball Recovery,José Ignacio Fernández Iglesias,Spain,0.0,27.0,Pressure,Ante Budimir,Croatia,False,91.5,False,False,False
177360,3930160,1,0,28,00:00:28.975,Pressure,Ante Budimir,Croatia,Spain,89.8,55.8,,0.397484,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,0,0,0,0,0,0,0,Carry,José Ignacio Fernández Iglesias,Spain,0.0,27.0,Pass,José Ignacio Fernández Iglesias,Spain,False,30.200000000000003,False,False,False
