event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Italy_score,Albania_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
106192,3930161,1,0,0,00:00:00.000,Starting XI,,Italy,Italy,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,,,,,,Starting XI,,Albania,False,,False,,False
106193,3930161,1,0,0,00:00:00.000,Starting XI,,Albania,Italy,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,Starting XI,,Italy,0.0,0.0,Half Start,,Albania,True,,False,,False
106194,3930161,1,0,0,00:00:00.000,Half Start,,Albania,Italy,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,Starting XI,,Albania,0.0,0.0,Half Start,,Italy,False,,False,,False
106195,3930161,1,0,0,00:00:00.000,Half Start,,Italy,Italy,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,Half Start,,Albania,0.0,0.0,Pass,Nedim Bajrami,Albania,False,,False,,False
106196,3930161,1,0,0,00:00:00.863,Pass,Nedim Bajrami,Albania,Albania,60.0,40.0,,1.001511,From Kick Off,Ylber Ramadani,15.9380045,Ground Pass,,-3.0725203,44.1,38.9,,,,,False,,,,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,0,0,0,0,0,0,0,Half Start,,Italy,0.0,0.0,Ball Receipt*,Ylber Ramadani,Albania,True,60.0,False,False,False
106197,3930161,1,0,1,00:00:01.864,Ball Receipt*,Ylber Ramadani,Albania,Albania,44.1,38.9,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Pass,Nedim Bajrami,Albania,0.0,0.0,Carry,Ylber Ramadani,Albania,True,75.9,False,False,False
106198,3930161,1,0,1,00:00:01.864,Carry,Ylber Ramadani,Albania,Albania,44.1,38.9,,0.714146,From Kick Off,,,,,,,,,,,,False,45.1,37.7,1.5620499351813275,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Ylber Ramadani,Albania,0.0,1.0,Pass,Ylber Ramadani,Albania,True,75.9,False,False,False
106199,3930161,1,0,2,00:00:02.579,Pass,Ylber Ramadani,Albania,Albania,45.1,37.7,,1.276142,From Kick Off,Kristjan Asllani,19.744873,Ground Pass,,-1.213804,52.0,19.2,,,,,False,,,,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Carry,Ylber Ramadani,Albania,0.0,1.0,Ball Receipt*,Kristjan Asllani,Albania,True,74.9,False,False,False
106200,3930161,1,0,3,00:00:03.855,Ball Receipt*,Kristjan Asllani,Albania,Albania,52.0,19.2,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Pass,Ylber Ramadani,Albania,0.0,2.0,Carry,Kristjan Asllani,Albania,True,68.0,False,False,False
106201,3930161,1,0,3,00:00:03.855,Carry,Kristjan Asllani,Albania,Albania,52.0,19.2,,1.128939,From Kick Off,,,,,,,,,,,,False,54.2,22.3,3.8013155617496452,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Kristjan Asllani,Albania,0.0,3.0,Pass,Kristjan Asllani,Albania,True,68.0,False,False,False
106202,3930161,1,0,4,00:00:04.984,Pass,Kristjan Asllani,Albania,Albania,54.2,22.3,,4.917284,From Kick Off,Jasir Asani,79.14828,High Pass,Out,0.80952215,108.8,79.6,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Carry,Kristjan Asllani,Albania,0.0,3.0,Ball Receipt*,Jasir Asani,Albania,True,65.8,False,False,False
106203,3930161,1,0,9,00:00:09.901,Ball Receipt*,Jasir Asani,Albania,Albania,94.4,57.6,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 17, 'name': 'Right Wing'}",,0,0,0,0,0,0,0,0,0,0,Pass,Kristjan Asllani,Albania,0.0,4.0,Pass,Federico Dimarco,Italy,False,25.599999999999994,False,False,False
