event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Belgium_score,Slovakia_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
102649,3930164,1,0,0,00:00:00.000,Starting XI,,Belgium,Belgium,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,,,,,,Starting XI,,Slovakia,False,,False,,False
102650,3930164,1,0,0,00:00:00.000,Starting XI,,Slovakia,Belgium,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,Starting XI,,Belgium,0.0,0.0,Half Start,,Slovakia,True,,False,,False
102651,3930164,1,0,0,00:00:00.000,Half Start,,Slovakia,Belgium,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,Starting XI,,Slovakia,0.0,0.0,Half Start,,Belgium,False,,False,,False
102652,3930164,1,0,0,00:00:00.000,Half Start,,Belgium,Belgium,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,Half Start,,Slovakia,0.0,0.0,Pass,Lukáš Haraslín,Slovakia,False,,False,,False
102653,3930164,1,0,0,00:00:00.505,Pass,Lukáš Haraslín,Slovakia,Slovakia,60.0,40.0,,1.111591,From Kick Off,Stanislav Lobotka,11.727319,Ground Pass,,-3.0733228,48.3,39.2,,,,,False,,,,,False,,"{'id': 21, 'name': 'Left Wing'}",,0,0,0,0,0,0,0,0,0,0,Half Start,,Belgium,0.0,0.0,Ball Receipt*,Stanislav Lobotka,Slovakia,True,60.0,False,False,False
102654,3930164,1,0,1,00:00:01.616,Ball Receipt*,Stanislav Lobotka,Slovakia,Slovakia,48.3,39.2,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 10, 'name': 'Center Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Pass,Lukáš Haraslín,Slovakia,0.0,0.0,Carry,Stanislav Lobotka,Slovakia,True,71.7,False,False,False
102655,3930164,1,0,1,00:00:01.616,Carry,Stanislav Lobotka,Slovakia,Slovakia,48.3,39.2,,0.83022,From Kick Off,,,,,,,,,,,,False,48.1,40.2,1.0198039027185561,,False,,"{'id': 10, 'name': 'Center Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Stanislav Lobotka,Slovakia,0.0,1.0,Pass,Stanislav Lobotka,Slovakia,True,71.7,False,False,False
102656,3930164,1,0,2,00:00:02.446,Pass,Stanislav Lobotka,Slovakia,Slovakia,48.1,40.2,,0.988706,From Kick Off,Lukáš Haraslín,13.296617,Ground Pass,,-0.12062367,61.3,38.6,,,,,False,,,,,False,,"{'id': 10, 'name': 'Center Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Carry,Stanislav Lobotka,Slovakia,0.0,1.0,Ball Receipt*,Lukáš Haraslín,Slovakia,True,71.9,False,False,False
102657,3930164,1,0,3,00:00:03.435,Ball Receipt*,Lukáš Haraslín,Slovakia,Slovakia,61.3,38.6,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 21, 'name': 'Left Wing'}",,0,0,0,0,0,0,0,0,0,0,Pass,Stanislav Lobotka,Slovakia,0.0,2.0,Pass,Lukáš Haraslín,Slovakia,True,58.7,False,False,False
102658,3930164,1,0,3,00:00:03.435,Pass,Lukáš Haraslín,Slovakia,Slovakia,61.3,38.6,,1.124506,From Kick Off,Stanislav Lobotka,13.206059,Ground Pass,,3.1112988,48.1,39.0,,,,,False,,,,,False,,"{'id': 21, 'name': 'Left Wing'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Lukáš Haraslín,Slovakia,0.0,3.0,Ball Receipt*,Stanislav Lobotka,Slovakia,True,58.7,False,False,False
102659,3930164,1,0,4,00:00:04.560,Ball Receipt*,Stanislav Lobotka,Slovakia,Slovakia,48.1,39.0,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 10, 'name': 'Center Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Pass,Lukáš Haraslín,Slovakia,0.0,3.0,Carry,Stanislav Lobotka,Slovakia,True,71.9,False,False,False
102660,3930164,1,0,4,00:00:04.560,Carry,Stanislav Lobotka,Slovakia,Slovakia,48.1,39.0,,2.223689,From Kick Off,,,,,,,,,,,,False,47.7,41.1,2.1377558326431965,,False,,"{'id': 10, 'name': 'Center Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Stanislav Lobotka,Slovakia,0.0,4.0,Pass,Stanislav Lobotka,Slovakia,True,71.9,False,False,False
102661,3930164,1,0,6,00:00:06.783,Pass,Stanislav Lobotka,Slovakia,Slovakia,47.7,41.1,,2.96213,From Kick Off,Denis Vavro,26.806715,Ground Pass,,1.5931807,47.1,67.9,,,,,False,,,,,False,,"{'id': 10, 'name': 'Center Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Carry,Stanislav Lobotka,Slovakia,0.0,4.0,Ball Receipt*,Denis Vavro,Slovakia,True,72.3,False,False,False
102662,3930164,1,0,9,00:00:09.745,Ball Receipt*,Denis Vavro,Slovakia,Slovakia,47.1,67.9,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,0,0,0,0,0,0,0,Pass,Stanislav Lobotka,Slovakia,0.0,6.0,Carry,Denis Vavro,Slovakia,True,72.9,False,False,False
102663,3930164,1,0,9,00:00:09.745,Carry,Denis Vavro,Slovakia,Slovakia,47.1,67.9,,1.826728,From Kick Off,,,,,,,,,,,,False,47.5,66.4,1.552417469626002,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Denis Vavro,Slovakia,0.0,9.0,Pass,Denis Vavro,Slovakia,True,72.9,False,False,False
102664,3930164,1,0,11,00:00:11.572,Pass,Denis Vavro,Slovakia,Slovakia,47.5,66.4,,2.287435,From Kick Off,Milan Škriniar,44.3644,Ground Pass,,-1.7796856,38.3,23.0,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,0,0,0,0,0,0,0,Carry,Denis Vavro,Slovakia,0.0,9.0,Ball Receipt*,Milan Škriniar,Slovakia,True,72.5,False,False,False
102665,3930164,1,0,13,00:00:13.860,Ball Receipt*,Milan Škriniar,Slovakia,Slovakia,38.3,23.0,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,0,0,0,0,0,0,0,Pass,Denis Vavro,Slovakia,0.0,11.0,Carry,Milan Škriniar,Slovakia,True,81.7,False,False,False
102666,3930164,1,0,13,00:00:13.860,Carry,Milan Škriniar,Slovakia,Slovakia,38.3,23.0,,3.303978,From Kick Off,,,,,,,,,,,,False,40.5,26.2,3.8832975677895205,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Milan Škriniar,Slovakia,0.0,13.0,Pass,Milan Škriniar,Slovakia,True,81.7,False,False,False
102667,3930164,1,0,17,00:00:17.164,Pass,Milan Škriniar,Slovakia,Slovakia,40.5,26.2,,0.847209,From Kick Off,Stanislav Lobotka,12.1918,Ground Pass,,0.8550527,48.5,35.4,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,0,0,0,0,0,0,0,Carry,Milan Škriniar,Slovakia,0.0,13.0,Ball Receipt*,Stanislav Lobotka,Slovakia,True,79.5,False,False,False
102668,3930164,1,0,18,00:00:18.011,Ball Receipt*,Stanislav Lobotka,Slovakia,Slovakia,48.5,35.4,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 10, 'name': 'Center Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Pass,Milan Škriniar,Slovakia,0.0,17.0,Carry,Stanislav Lobotka,Slovakia,True,71.5,False,False,False
102669,3930164,1,0,18,00:00:18.011,Carry,Stanislav Lobotka,Slovakia,Slovakia,48.5,35.4,True,2.403225,From Kick Off,,,,,,,,,,,,False,32.0,36.7,16.55113289173886,,False,,"{'id': 10, 'name': 'Center Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Stanislav Lobotka,Slovakia,0.0,18.0,Pressure,Kevin De Bruyne,Belgium,False,71.5,False,False,False
102670,3930164,1,0,19,00:00:19.968,Pressure,Kevin De Bruyne,Belgium,Slovakia,86.1,45.2,,0.419194,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,0,0,0,0,0,0,0,Carry,Stanislav Lobotka,Slovakia,0.0,18.0,Pass,Stanislav Lobotka,Slovakia,False,33.900000000000006,False,False,False
102671,3930164,1,0,20,00:00:20.414,Pass,Stanislav Lobotka,Slovakia,Slovakia,32.0,36.7,,1.631094,From Kick Off,Martin Dúbravka,23.576471,Ground Pass,,2.9882984,8.7,40.3,,,,,False,,,,,False,,"{'id': 10, 'name': 'Center Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Pressure,Kevin De Bruyne,Belgium,0.0,19.0,Ball Receipt*,Martin Dúbravka,Slovakia,True,88.0,False,False,True
102672,3930164,1,0,22,00:00:22.045,Ball Receipt*,Martin Dúbravka,Slovakia,Slovakia,8.7,40.3,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,0,0,0,0,0,0,0,Pass,Stanislav Lobotka,Slovakia,0.0,20.0,Carry,Martin Dúbravka,Slovakia,True,111.3,False,False,False
102673,3930164,1,0,22,00:00:22.045,Carry,Martin Dúbravka,Slovakia,Slovakia,8.7,40.3,True,1.018081,From Kick Off,,,,,,,,,,,,False,9.0,39.7,0.6708203932499321,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Martin Dúbravka,Slovakia,0.0,22.0,Pressure,Kevin De Bruyne,Belgium,False,111.3,False,False,False
102674,3930164,1,0,22,00:00:22.692,Pressure,Kevin De Bruyne,Belgium,Slovakia,106.2,38.6,,0.318282,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,0,0,0,0,0,0,0,Carry,Martin Dúbravka,Slovakia,0.0,22.0,Pass,Martin Dúbravka,Slovakia,False,13.799999999999997,False,True,False
102675,3930164,1,0,23,00:00:23.063,Pass,Martin Dúbravka,Slovakia,Slovakia,9.0,39.7,,1.909969,From Kick Off,Milan Škriniar,33.455193,Ground Pass,,-1.4056476,14.5,6.7,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,0,0,0,0,0,0,0,Pressure,Kevin De Bruyne,Belgium,0.0,22.0,Ball Receipt*,Milan Škriniar,Slovakia,True,111.0,False,False,True
