event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Portugal_score,Czech Republic_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
166302,3930166,1,0,0,00:00:00.000,Starting XI,,Portugal,Portugal,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,,,,,,Starting XI,,Czech Republic,False,,False,,False
166303,3930166,1,0,0,00:00:00.000,Starting XI,,Czech Republic,Portugal,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,Starting XI,,Portugal,0.0,0.0,Half Start,,Portugal,False,,False,,False
166304,3930166,1,0,0,00:00:00.000,Half Start,,Portugal,Portugal,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,Starting XI,,Czech Republic,0.0,0.0,Half Start,,Czech Republic,False,,False,,False
166305,3930166,1,0,0,00:00:00.000,Half Start,,Czech Republic,Portugal,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,Half Start,,Portugal,0.0,0.0,Pass,Bruno Miguel Borges Fernandes,Portugal,False,,False,,False
166306,3930166,1,0,0,00:00:00.900,Pass,Bruno Miguel Borges Fernandes,Portugal,Portugal,61.0,40.1,,1.536085,From Kick Off,Nuno Mendes,23.90021,Ground Pass,,-2.7509856,38.9,31.0,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Half Start,,Czech Republic,0.0,0.0,Ball Receipt*,Nuno Mendes,Portugal,True,59.0,False,False,False
166307,3930166,1,0,2,00:00:02.436,Ball Receipt*,Nuno Mendes,Portugal,Portugal,38.9,31.0,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,0,0,0,0,0,0,0,Pass,Bruno Miguel Borges Fernandes,Portugal,0.0,0.0,Carry,Nuno Mendes,Portugal,True,81.1,False,False,False
166308,3930166,1,0,2,00:00:02.436,Carry,Nuno Mendes,Portugal,Portugal,38.9,31.0,,1.046829,From Kick Off,,,,,,,,,,,,False,39.5,27.1,3.9458839313897704,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Nuno Mendes,Portugal,0.0,2.0,Pass,Nuno Mendes,Portugal,True,81.1,False,False,False
166309,3930166,1,0,3,00:00:03.483,Pass,Nuno Mendes,Portugal,Portugal,39.5,27.1,,2.382721,From Kick Off,Cristiano Ronaldo dos Santos Aveiro,61.381187,High Pass,Incomplete,0.5988472,90.2,61.7,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,0,0,0,0,0,0,0,Carry,Nuno Mendes,Portugal,0.0,2.0,Ball Receipt*,Cristiano Ronaldo dos Santos Aveiro,Portugal,True,80.5,False,False,False
166310,3930166,1,0,5,00:00:05.865,Ball Receipt*,Cristiano Ronaldo dos Santos Aveiro,Portugal,Portugal,96.0,68.2,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 22, 'name': 'Right Center Forward'}",,0,0,0,0,0,0,0,0,0,0,Pass,Nuno Mendes,Portugal,0.0,3.0,Pass,Robin Hranáč,Czech Republic,False,24.0,False,True,False
166311,3930166,1,0,5,00:00:05.865,Pass,Robin Hranáč,Czech Republic,Portugal,29.9,18.4,,1.567823,From Kick Off,Jan Kuchta,22.530424,High Pass,Incomplete,0.7225878,46.8,33.3,,,,,False,,,,,False,,"{'id': 4, 'name': 'Center Back'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Cristiano Ronaldo dos Santos Aveiro,Portugal,0.0,5.0,Ball Receipt*,Jan Kuchta,Czech Republic,True,90.1,False,False,False
