event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Croatia_score,Albania_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
91330,3930167,1,0,0,00:00:00.000,Starting XI,,Croatia,Croatia,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,1,0,3,0,0,,,,,,Starting XI,,Albania,False,,False,,False
91331,3930167,1,0,0,00:00:00.000,Starting XI,,Albania,Croatia,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,1,1,2,0,0,Starting XI,,Croatia,0.0,0.0,Half Start,,Croatia,False,,False,,False
91332,3930167,1,0,0,00:00:00.000,Half Start,,Croatia,Croatia,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,1,0,3,0,0,Starting XI,,Albania,0.0,0.0,Half Start,,Albania,False,,False,,False
91333,3930167,1,0,0,00:00:00.000,Half Start,,Albania,Croatia,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,1,1,2,0,0,Half Start,,Croatia,0.0,0.0,Pass,Qazim Laçi,Albania,True,,False,,False
91334,3930167,1,0,0,00:00:00.551,Pass,Qazim Laçi,Albania,Albania,61.0,40.1,,1.709943,From Kick Off,Kristjan Asllani,20.934422,Ground Pass,,3.0842392,40.1,41.3,,,,,False,,,,,False,,"{'id': 13, 'name': 'Right Center Midfield'}",,0,0,0,0,0,1,1,2,0,0,Half Start,,Albania,0.0,0.0,Ball Receipt*,Kristjan Asllani,Albania,True,59.0,False,False,False
91335,3930167,1,0,2,00:00:02.261,Ball Receipt*,Kristjan Asllani,Albania,Albania,40.1,41.3,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 15, 'name': 'Left Center Midfield'}",,0,0,0,0,0,1,1,2,0,0,Pass,Qazim Laçi,Albania,0.0,0.0,Carry,Kristjan Asllani,Albania,True,79.9,False,False,False
91336,3930167,1,0,2,00:00:02.261,Carry,Kristjan Asllani,Albania,Albania,40.1,41.3,,1.047945,From Kick Off,,,,,,,,,,,,False,42.0,41.6,1.9235384061671337,,False,,"{'id': 15, 'name': 'Left Center Midfield'}",,0,0,0,0,0,1,1,2,0,0,Ball Receipt*,Kristjan Asllani,Albania,0.0,2.0,Pass,Kristjan Asllani,Albania,True,79.9,False,False,False
91337,3930167,1,0,3,00:00:03.308,Pass,Kristjan Asllani,Albania,Albania,42.0,41.6,,3.145269,From Kick Off,Rey Manaj,61.48016,High Pass,,-0.64577824,91.1,4.6,,,,,False,,,,,False,,"{'id': 15, 'name': 'Left Center Midfield'}",,0,0,0,0,0,1,1,2,0,0,Carry,Kristjan Asllani,Albania,0.0,2.0,Ball Receipt*,Rey Manaj,Albania,True,78.0,False,False,False
91338,3930167,1,0,6,00:00:06.454,Ball Receipt*,Rey Manaj,Albania,Albania,91.1,4.6,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,0,0,1,1,2,0,0,Pass,Kristjan Asllani,Albania,0.0,3.0,Pass,Rey Manaj,Albania,True,28.900000000000006,False,False,False
91339,3930167,1,0,6,00:00:06.511,Pass,Rey Manaj,Albania,Albania,91.2,5.4,,0.717105,From Kick Off,,11.737972,High Pass,Incomplete,0.7853982,99.5,13.7,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,0,0,1,1,2,0,0,Ball Receipt*,Rey Manaj,Albania,0.0,6.0,Pass,Josip Šutalo,Croatia,False,28.799999999999997,False,False,False
91340,3930167,1,0,7,00:00:07.228,Pass,Josip Šutalo,Croatia,Albania,20.6,66.4,,1.791284,From Kick Off,Lovro Majer,17.979988,High Pass,,0.44872335,36.8,74.2,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,0,0,1,0,3,0,0,Pass,Rey Manaj,Albania,0.0,6.0,Ball Receipt*,Lovro Majer,Croatia,True,99.4,False,False,False
91341,3930167,1,0,9,00:00:09.019,Ball Receipt*,Lovro Majer,Croatia,Albania,36.8,74.2,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 17, 'name': 'Right Wing'}",,0,0,0,0,0,1,0,3,0,0,Pass,Josip Šutalo,Croatia,0.0,7.0,Carry,Lovro Majer,Croatia,True,83.2,False,False,False
91342,3930167,1,0,9,00:00:09.019,Carry,Lovro Majer,Croatia,Albania,36.8,74.2,True,0.408143,From Kick Off,,,,,,,,,,,,False,37.9,73.6,1.252996408614172,,False,,"{'id': 17, 'name': 'Right Wing'}",,0,0,0,0,0,1,0,3,0,0,Ball Receipt*,Lovro Majer,Croatia,0.0,9.0,Pressure,Rey Manaj,Albania,False,83.2,False,False,False
91343,3930167,1,0,9,00:00:09.131,Pressure,Rey Manaj,Albania,Albania,85.3,8.7,,0.997896,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,0,0,1,1,2,0,0,Carry,Lovro Majer,Croatia,0.0,9.0,Miscontrol,Lovro Majer,Croatia,False,34.7,False,False,False
91344,3930167,1,0,9,00:00:09.427,Miscontrol,Lovro Majer,Croatia,Albania,37.9,73.6,True,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 17, 'name': 'Right Wing'}",,0,0,0,0,0,1,0,3,0,0,Pressure,Rey Manaj,Albania,0.0,9.0,Ball Recovery,Rey Manaj,Albania,False,82.1,False,False,True
91345,3930167,1,0,10,00:00:10.397,Ball Recovery,Rey Manaj,Albania,Albania,84.0,11.0,,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,0,0,1,1,2,0,0,Miscontrol,Lovro Majer,Croatia,0.0,9.0,Carry,Rey Manaj,Albania,True,36.0,False,False,False
