event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Germany_score,Hungary_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
95051,3930168,1,0,0,00:00:00.000,Starting XI,,Germany,Germany,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,0,0,5,1,0,0,,,,,,Starting XI,,Hungary,False,,False,,False
95052,3930168,1,0,0,00:00:00.000,Starting XI,,Hungary,Germany,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,1,1,3,0,0,Starting XI,,Germany,0.0,0.0,Half Start,,Hungary,True,,False,,False
95053,3930168,1,0,0,00:00:00.000,Half Start,,Hungary,Germany,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,1,1,3,0,0,Starting XI,,Hungary,0.0,0.0,Half Start,,Germany,False,,False,,False
95054,3930168,1,0,0,00:00:00.000,Half Start,,Germany,Germany,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,0,0,5,1,0,0,Half Start,,Hungary,0.0,0.0,Pass,Kai Havertz,Germany,True,,False,,False
95055,3930168,1,0,0,00:00:00.500,Pass,Kai Havertz,Germany,Germany,60.0,40.0,,0.329057,From Kick Off,İlkay Gündoğan,3.436568,Ground Pass,,-1.4247841,60.5,36.6,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,1,0,0,5,1,1,0,Half Start,,Germany,0.0,0.0,Ball Receipt*,İlkay Gündoğan,Germany,True,60.0,False,False,False
95056,3930168,1,0,0,00:00:00.829,Ball Receipt*,İlkay Gündoğan,Germany,Germany,60.5,36.6,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,1,0,0,5,1,0,0,Pass,Kai Havertz,Germany,0.0,0.0,Carry,İlkay Gündoğan,Germany,True,59.5,False,False,False
95057,3930168,1,0,0,00:00:00.829,Carry,İlkay Gündoğan,Germany,Germany,60.5,36.6,True,2.815929,From Kick Off,,,,,,,,,,,,False,68.8,33.4,8.895504482602433,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,1,0,0,5,1,0,0,Ball Receipt*,İlkay Gündoğan,Germany,0.0,0.0,Pressure,Barnabás Varga,Hungary,False,59.5,False,False,False
95058,3930168,1,0,3,00:00:03.625,Pressure,Barnabás Varga,Hungary,Germany,53.7,47.7,,0.328231,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,0,0,1,1,3,1,0,Carry,İlkay Gündoğan,Germany,0.0,0.0,Pass,İlkay Gündoğan,Germany,False,66.3,False,False,False
95059,3930168,1,0,3,00:00:03.645,Pass,İlkay Gündoğan,Germany,Germany,68.8,33.4,True,0.416753,From Kick Off,Maximilian Mittelstädt,7.299315,Ground Pass,Incomplete,-1.4056476,70.0,26.2,,,,,False,,,,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,1,0,0,5,1,0,0,Pressure,Barnabás Varga,Hungary,0.0,3.0,Ball Receipt*,Maximilian Mittelstädt,Germany,True,51.2,False,False,True
95060,3930168,1,0,4,00:00:04.062,Ball Receipt*,Maximilian Mittelstädt,Germany,Germany,69.8,17.7,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,1,0,0,5,1,0,0,Pass,İlkay Gündoğan,Germany,0.0,3.0,Interception,Dominik Szoboszlai,Hungary,False,50.2,False,False,False
