event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Scotland_score,Switzerland_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
163177,3930169,1,0,0,00:00:00.000,Starting XI,,Scotland,Scotland,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,1,1,5,0,0,,,,,,Starting XI,,Switzerland,False,,False,,False
163178,3930169,1,0,0,00:00:00.000,Starting XI,,Switzerland,Scotland,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,0,0,3,1,0,0,Starting XI,,Scotland,0.0,0.0,Half Start,,Scotland,False,,False,,False
163179,3930169,1,0,0,00:00:00.000,Half Start,,Scotland,Scotland,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,1,1,5,0,0,Starting XI,,Switzerland,0.0,0.0,Half Start,,Switzerland,False,,False,,False
163180,3930169,1,0,0,00:00:00.000,Half Start,,Switzerland,Scotland,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,0,0,3,1,0,0,Half Start,,Scotland,0.0,0.0,Pass,Billy Gilmour,Scotland,False,,False,,False
163181,3930169,1,0,0,00:00:00.568,Pass,Billy Gilmour,Scotland,Scotland,60.0,40.0,,1.036001,From Kick Off,John McGinn,4.7,Ground Pass,,3.1415927,55.3,40.0,,,,,False,,,,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,0,0,0,0,0,1,1,5,0,0,Half Start,,Switzerland,0.0,0.0,Ball Receipt*,John McGinn,Scotland,True,60.0,False,False,False
163182,3930169,1,0,1,00:00:01.604,Ball Receipt*,John McGinn,Scotland,Scotland,55.3,40.0,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 24, 'name': 'Left Center Forward'}",,0,0,0,0,0,1,1,5,0,0,Pass,Billy Gilmour,Scotland,0.0,0.0,Carry,John McGinn,Scotland,True,64.7,False,False,False
163183,3930169,1,0,1,00:00:01.604,Carry,John McGinn,Scotland,Scotland,55.3,40.0,,0.091937,From Kick Off,,,,,,,,,,,,False,55.3,39.7,0.29999999999999716,,False,,"{'id': 24, 'name': 'Left Center Forward'}",,0,0,0,0,0,1,1,5,0,0,Ball Receipt*,John McGinn,Scotland,0.0,1.0,Pass,John McGinn,Scotland,True,64.7,False,False,False
163184,3930169,1,0,1,00:00:01.696,Pass,John McGinn,Scotland,Scotland,55.3,39.7,,4.286167,From Kick Off,Che Adams,66.12329,High Pass,Out,0.6534826,107.8,79.9,,,,,False,,,,,False,,"{'id': 24, 'name': 'Left Center Forward'}",,0,0,0,0,0,1,1,5,0,0,Carry,John McGinn,Scotland,0.0,1.0,Ball Receipt*,Che Adams,Scotland,True,64.7,False,False,False
163185,3930169,1,0,5,00:00:05.982,Ball Receipt*,Che Adams,Scotland,Scotland,62.7,74.9,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 22, 'name': 'Right Center Forward'}",,0,0,0,0,0,1,1,5,0,0,Pass,John McGinn,Scotland,0.0,1.0,Pass,Ricardo Iván Rodríguez Araya,Switzerland,False,57.3,False,False,False
163186,3930169,1,0,23,00:00:23.502,Pass,Ricardo Iván Rodríguez Araya,Switzerland,Switzerland,15.6,0.1,,1.780371,From Throw In,Xherdan Shaqiri,26.215454,High Pass,Incomplete,0.31813174,40.5,8.3,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,0,0,3,1,0,0,Ball Receipt*,Che Adams,Scotland,0.0,5.0,Ball Receipt*,Xherdan Shaqiri,Switzerland,True,104.4,False,False,False
