event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Slovenia_score,Serbia_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
159625,3930170,1,0,0,00:00:00.000,Starting XI,,Slovenia,Slovenia,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,1,0,1,1,0,0,,,,,,Starting XI,,Serbia,False,,False,,False
159626,3930170,1,0,0,00:00:00.000,Starting XI,,Serbia,Slovenia,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,1,0,1,0,0,Starting XI,,Slovenia,0.0,0.0,Half Start,,Serbia,True,,False,,False
159627,3930170,1,0,0,00:00:00.000,Half Start,,Serbia,Slovenia,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,1,0,1,0,0,Starting XI,,Serbia,0.0,0.0,Half Start,,Slovenia,False,,False,,False
159628,3930170,1,0,0,00:00:00.000,Half Start,,Slovenia,Slovenia,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,1,0,1,1,0,0,Half Start,,Serbia,0.0,0.0,Pass,Andraž Šporar,Slovenia,True,,False,,False
159629,3930170,1,0,0,00:00:00.203,Pass,Andraž Šporar,Slovenia,Slovenia,61.0,40.1,,1.406175,From Kick Off,Vanja Drkušić,25.915632,Ground Pass,,-3.1068575,35.1,39.2,,,,,False,,,,,False,,"{'id': 22, 'name': 'Right Center Forward'}",,0,0,0,0,1,0,1,1,0,0,Half Start,,Slovenia,0.0,0.0,Ball Receipt*,Vanja Drkušić,Slovenia,True,59.0,False,False,False
159630,3930170,1,0,1,00:00:01.609,Ball Receipt*,Vanja Drkušić,Slovenia,Slovenia,35.1,39.2,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,0,1,0,1,1,0,0,Pass,Andraž Šporar,Slovenia,0.0,0.0,Carry,Vanja Drkušić,Slovenia,True,84.9,False,False,False
159631,3930170,1,0,1,00:00:01.609,Carry,Vanja Drkušić,Slovenia,Slovenia,35.1,39.2,,1.851686,From Kick Off,,,,,,,,,,,,False,40.2,37.9,5.26307894677631,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,0,1,0,1,1,0,0,Ball Receipt*,Vanja Drkušić,Slovenia,0.0,1.0,Pass,Vanja Drkušić,Slovenia,True,84.9,False,False,False
159632,3930170,1,0,3,00:00:03.461,Pass,Vanja Drkušić,Slovenia,Slovenia,40.2,37.9,,2.965201,From Kick Off,Benjamin Šeško,56.603886,High Pass,Incomplete,-0.3686959,93.0,17.5,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,0,1,0,1,1,0,0,Carry,Vanja Drkušić,Slovenia,0.0,1.0,Ball Receipt*,Benjamin Šeško,Slovenia,True,79.8,False,False,False
159633,3930170,1,0,6,00:00:06.426,Ball Receipt*,Benjamin Šeško,Slovenia,Slovenia,92.6,17.5,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 24, 'name': 'Left Center Forward'}",,0,0,0,0,1,0,1,1,0,0,Pass,Vanja Drkušić,Slovenia,0.0,3.0,Pass,Milos Veljkovic,Serbia,False,27.400000000000006,False,False,False
159634,3930170,1,0,6,00:00:06.426,Pass,Milos Veljkovic,Serbia,Slovenia,27.1,62.6,,2.387009,From Kick Off,Aleksandar Mitrović,21.524405,High Pass,Incomplete,-0.14452517,48.4,59.5,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,0,0,1,0,1,0,0,Ball Receipt*,Benjamin Šeško,Slovenia,0.0,6.0,Ball Receipt*,Aleksandar Mitrović,Serbia,True,92.9,False,False,False
159635,3930170,1,0,8,00:00:08.813,Ball Receipt*,Aleksandar Mitrović,Serbia,Slovenia,51.1,56.0,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,0,0,1,0,1,0,0,Pass,Milos Veljkovic,Serbia,0.0,6.0,Ball Recovery,Adam Gnezda Čerin,Slovenia,False,68.9,False,False,False
159636,3930170,1,0,8,00:00:08.813,Ball Recovery,Adam Gnezda Čerin,Slovenia,Slovenia,71.7,20.6,,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,0,0,0,0,1,0,1,1,0,0,Ball Receipt*,Aleksandar Mitrović,Serbia,0.0,8.0,Carry,Adam Gnezda Čerin,Slovenia,True,48.3,False,False,False
159637,3930170,1,0,8,00:00:08.813,Carry,Adam Gnezda Čerin,Slovenia,Slovenia,71.7,20.6,True,1.981936,From Kick Off,,,,,,,,,,,,False,69.2,4.9,15.897798589741916,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,0,0,0,0,1,0,1,1,0,0,Ball Recovery,Adam Gnezda Čerin,Slovenia,0.0,8.0,Pressure,Dušan Tadić,Serbia,False,48.3,False,False,False
159638,3930170,1,0,10,00:00:10.564,Pressure,Dušan Tadić,Serbia,Slovenia,48.1,71.6,,0.412793,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 18, 'name': 'Right Attacking Midfield'}",,0,0,0,0,0,1,0,1,0,0,Carry,Adam Gnezda Čerin,Slovenia,0.0,8.0,Pass,Adam Gnezda Čerin,Slovenia,False,71.9,False,False,False
159639,3930170,1,0,10,00:00:10.795,Pass,Adam Gnezda Čerin,Slovenia,Slovenia,69.2,4.9,True,0.964677,From Kick Off,Timi Elšnik,5.575841,Low Pass,Incomplete,1.0026916,72.2,9.6,,,,,False,,,,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,0,0,0,0,1,0,1,1,0,0,Pressure,Dušan Tadić,Serbia,0.0,10.0,Ball Receipt*,Timi Elšnik,Slovenia,True,50.8,False,False,True
159640,3930170,1,0,11,00:00:11.760,Ball Receipt*,Timi Elšnik,Slovenia,Slovenia,69.2,12.6,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,0,1,0,1,1,0,0,Pass,Adam Gnezda Čerin,Slovenia,0.0,10.0,Pass,Ivan Ilić,Serbia,False,50.8,False,False,False
159641,3930170,1,0,11,00:00:11.760,Pass,Ivan Ilić,Serbia,Serbia,47.9,70.5,,0.668496,Regular Play,Aleksandar Mitrović,12.423365,Low Pass,,-0.38798007,59.4,65.8,,,,,False,,,,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,0,0,0,0,0,1,0,1,0,0,Ball Receipt*,Timi Elšnik,Slovenia,0.0,11.0,Ball Receipt*,Aleksandar Mitrović,Serbia,True,72.1,False,False,False
