event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Denmark_score,England_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
21928,3930171,1,0,0,00:00:00.000,Starting XI,,Denmark,Denmark,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,1,0,1,1,0,0,,,,,,Starting XI,,England,False,,False,,False
21929,3930171,1,0,0,00:00:00.000,Starting XI,,England,Denmark,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,0,0,1,0,0,0,Starting XI,,Denmark,0.0,0.0,Half Start,,England,True,,False,,False
21930,3930171,1,0,0,00:00:00.000,Half Start,,England,Denmark,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,0,0,1,0,0,0,Starting XI,,England,0.0,0.0,Half Start,,Denmark,False,,False,,False
21931,3930171,1,0,0,00:00:00.000,Half Start,,Denmark,Denmark,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,1,0,1,1,0,0,Half Start,,England,0.0,0.0,Pass,Bukayo Saka,England,False,,False,,False
21932,3930171,1,0,0,00:00:00.864,Pass,Bukayo Saka,England,England,60.0,40.0,,2.554003,From Kick Off,Jordan Pickford,33.574394,Ground Pass,,-2.9921136,26.8,35.0,,,,,False,,,,,False,,"{'id': 17, 'name': 'Right Wing'}",,0,0,0,1,0,0,1,0,0,0,Half Start,,Denmark,0.0,0.0,Ball Receipt*,Jordan Pickford,England,True,60.0,False,False,False
21933,3930171,1,0,3,00:00:03.418,Ball Receipt*,Jordan Pickford,England,England,26.8,35.0,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,1,0,0,1,0,0,0,Pass,Bukayo Saka,England,0.0,0.0,Carry,Jordan Pickford,England,True,93.2,False,False,False
21934,3930171,1,0,3,00:00:03.418,Carry,Jordan Pickford,England,England,26.8,35.0,,1.671796,From Kick Off,,,,,,,,,,,,False,27.6,33.9,1.3601470508735458,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,1,0,0,1,0,0,0,Ball Receipt*,Jordan Pickford,England,0.0,3.0,Pass,Jordan Pickford,England,True,93.2,False,False,False
21935,3930171,1,0,5,00:00:05.090,Pass,Jordan Pickford,England,England,27.6,33.9,,3.743306,From Kick Off,,76.669815,High Pass,Incomplete,0.066568166,104.1,39.0,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,1,0,0,1,0,0,0,Carry,Jordan Pickford,England,0.0,3.0,Pass,Jannik Vestergaard,Denmark,False,92.4,False,False,False
21936,3930171,1,0,8,00:00:08.833,Pass,Jannik Vestergaard,Denmark,Denmark,16.0,41.1,,2.379021,Regular Play,Christian Dannemann Eriksen,21.737526,Low Pass,,-0.4471882,35.6,31.7,,,,,False,,,,,False,,"{'id': 4, 'name': 'Center Back'}",,0,0,0,0,1,0,1,1,0,0,Pass,Jordan Pickford,England,0.0,5.0,Pressure,Declan Rice,England,False,104.0,False,False,False
21937,3930171,1,0,10,00:00:10.885,Pressure,Declan Rice,England,Denmark,84.6,45.1,,0.399126,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,1,0,0,1,0,0,0,Pass,Jannik Vestergaard,Denmark,0.0,8.0,Ball Receipt*,Christian Dannemann Eriksen,Denmark,False,35.400000000000006,False,False,False
