event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Spain_score,Italy_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
87348,3930172,1,0,0,00:00:00.000,Starting XI,,Spain,Spain,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,0,0,3,0,0,0,,,,,,Starting XI,,Italy,False,,False,,False
87349,3930172,1,0,0,00:00:00.000,Starting XI,,Italy,Spain,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,0,0,2,1,0,0,Starting XI,,Spain,0.0,0.0,Half Start,,Spain,False,,False,,False
87350,3930172,1,0,0,00:00:00.000,Half Start,,Spain,Spain,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,0,0,3,0,0,0,Starting XI,,Italy,0.0,0.0,Half Start,,Italy,False,,False,,False
87351,3930172,1,0,0,00:00:00.000,Half Start,,Italy,Spain,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,0,0,2,1,0,0,Half Start,,Spain,0.0,0.0,Pass,Jorge Luiz Frello Filho,Italy,True,,False,,False
87352,3930172,1,0,0,00:00:00.977,Pass,Jorge Luiz Frello Filho,Italy,Italy,61.0,40.1,,1.079577,From Kick Off,Nicolò Barella,3.138471,Ground Pass,,1.1784562,62.2,43.0,,,,,False,,,,,False,,"{'id': 10, 'name': 'Center Defensive Midfield'}",,0,0,0,1,0,0,2,1,0,0,Half Start,,Italy,0.0,0.0,Ball Receipt*,Nicolò Barella,Italy,True,59.0,False,False,False
87353,3930172,1,0,2,00:00:02.057,Ball Receipt*,Nicolò Barella,Italy,Italy,62.2,43.0,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 15, 'name': 'Left Center Midfield'}",,0,0,0,1,0,0,2,1,1,0,Pass,Jorge Luiz Frello Filho,Italy,0.0,0.0,Carry,Nicolò Barella,Italy,True,57.8,False,False,False
87354,3930172,1,0,2,00:00:02.057,Carry,Nicolò Barella,Italy,Italy,62.2,43.0,,1.287646,From Kick Off,,,,,,,,,,,,False,68.9,45.2,7.051950084905596,,False,,"{'id': 15, 'name': 'Left Center Midfield'}",,0,0,0,1,0,0,2,1,1,0,Ball Receipt*,Nicolò Barella,Italy,0.0,2.0,Pass,Nicolò Barella,Italy,True,57.8,False,False,False
87355,3930172,1,0,3,00:00:03.344,Pass,Nicolò Barella,Italy,Italy,68.9,45.2,,2.053739,From Kick Off,Giovanni Di Lorenzo,27.106642,Ground Pass,,1.5929329,68.3,72.3,,,,,False,,,,,False,,"{'id': 15, 'name': 'Left Center Midfield'}",,0,0,0,1,0,0,2,1,1,0,Carry,Nicolò Barella,Italy,0.0,2.0,Ball Receipt*,Giovanni Di Lorenzo,Italy,True,51.099999999999994,False,False,False
87356,3930172,1,0,5,00:00:05.398,Ball Receipt*,Giovanni Di Lorenzo,Italy,Italy,68.3,72.3,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,1,0,0,2,1,0,0,Pass,Nicolò Barella,Italy,0.0,3.0,Carry,Giovanni Di Lorenzo,Italy,True,51.7,False,False,False
87357,3930172,1,0,5,00:00:05.398,Carry,Giovanni Di Lorenzo,Italy,Italy,68.3,72.3,,1.892107,From Kick Off,,,,,,,,,,,,False,70.2,77.7,5.724508712544692,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,1,0,0,2,1,0,0,Ball Receipt*,Giovanni Di Lorenzo,Italy,0.0,5.0,Pass,Giovanni Di Lorenzo,Italy,True,51.7,False,False,False
87358,3930172,1,0,7,00:00:07.290,Pass,Giovanni Di Lorenzo,Italy,Italy,70.2,77.7,,1.988733,From Kick Off,Federico Chiesa,30.436985,High Pass,Incomplete,0.04930212,100.6,79.2,,,,,False,,,,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,1,0,0,2,1,0,0,Carry,Giovanni Di Lorenzo,Italy,0.0,5.0,Ball Receipt*,Federico Chiesa,Italy,True,49.8,False,False,False
87359,3930172,1,0,9,00:00:09.279,Ball Receipt*,Federico Chiesa,Italy,Italy,101.6,79.2,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 17, 'name': 'Right Wing'}",,0,0,0,1,0,0,2,1,0,0,Pass,Giovanni Di Lorenzo,Italy,0.0,7.0,Interception,Marc Cucurella Saseta,Spain,False,18.400000000000006,False,True,False
87360,3930172,1,0,9,00:00:09.279,Interception,Marc Cucurella Saseta,Spain,Italy,19.5,0.9,,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,1,0,0,3,0,0,0,Ball Receipt*,Federico Chiesa,Italy,0.0,9.0,Pass,Giovanni Di Lorenzo,Italy,False,100.5,False,False,False
87361,3930172,1,0,29,00:00:29.252,Pass,Giovanni Di Lorenzo,Italy,Italy,101.2,80.0,,2.714752,From Throw In,Davide Frattesi,30.408058,High Pass,Out,-0.904273,120.0,56.1,,,,,False,,,,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,1,0,0,2,1,0,0,Interception,Marc Cucurella Saseta,Spain,0.0,9.0,Ball Receipt*,Davide Frattesi,Italy,True,18.799999999999997,False,True,False
87362,3930172,1,0,31,00:00:31.967,Ball Receipt*,Davide Frattesi,Italy,Italy,111.9,65.3,,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 13, 'name': 'Right Center Midfield'}",,0,0,0,1,0,0,2,1,0,0,Pass,Giovanni Di Lorenzo,Italy,0.0,29.0,Pass,Aymeric Laporte,Spain,False,8.099999999999994,False,True,False
87363,3930172,1,0,54,00:00:54.941,Pass,Aymeric Laporte,Spain,Spain,5.8,33.8,,3.557982,From Goal Kick,Lamine Yamal Nasraoui Ebana,76.08843,High Pass,Incomplete,0.21724343,80.1,50.2,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,0,0,3,0,0,0,Ball Receipt*,Davide Frattesi,Italy,0.0,31.0,Ball Receipt*,Lamine Yamal Nasraoui Ebana,Spain,True,114.2,False,False,False
87364,3930172,1,0,58,00:00:58.499,Ball Receipt*,Lamine Yamal Nasraoui Ebana,Spain,Spain,76.2,52.9,,,From Goal Kick,,,,,,,,,,,,False,,,,,False,,"{'id': 17, 'name': 'Right Wing'}",,0,0,0,1,0,0,3,0,0,0,Pass,Aymeric Laporte,Spain,0.0,54.0,Pass,Alessandro Bastoni,Italy,False,43.8,False,False,False
