event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Netherlands_score,France_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
83667,3930173,1,0,0,00:00:00.000,Starting XI,,Netherlands,Netherlands,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,0,0,2,1,0,0,,,,,,Starting XI,,France,False,,False,,False
83668,3930173,1,0,0,00:00:00.000,Starting XI,,France,Netherlands,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,0,0,1,0,0,0,Starting XI,,Netherlands,0.0,0.0,Half Start,,Netherlands,False,,False,,False
83669,3930173,1,0,0,00:00:00.000,Half Start,,Netherlands,Netherlands,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,0,0,2,1,0,0,Starting XI,,France,0.0,0.0,Half Start,,France,False,,False,,False
83670,3930173,1,0,0,00:00:00.000,Half Start,,France,Netherlands,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,0,0,1,0,0,0,Half Start,,Netherlands,0.0,0.0,Pass,Memphis Depay,Netherlands,False,,False,,False
83671,3930173,1,0,0,00:00:00.758,Pass,Memphis Depay,Netherlands,Netherlands,61.0,40.1,,2.318195,From Kick Off,Virgil van Dijk,21.17475,Ground Pass,,-2.9080682,40.4,35.2,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,1,0,0,2,1,0,0,Half Start,,France,0.0,0.0,Ball Receipt*,Virgil van Dijk,Netherlands,True,59.0,False,False,False
83672,3930173,1,0,3,00:00:03.076,Ball Receipt*,Virgil van Dijk,Netherlands,Netherlands,40.4,35.2,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,0,0,2,1,0,0,Pass,Memphis Depay,Netherlands,0.0,0.0,Carry,Virgil van Dijk,Netherlands,True,79.6,False,False,False
83673,3930173,1,0,3,00:00:03.076,Carry,Virgil van Dijk,Netherlands,Netherlands,40.4,35.2,,0.647987,From Kick Off,,,,,,,,,,,,False,40.2,35.2,0.19999999999999574,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,0,0,2,1,0,0,Ball Receipt*,Virgil van Dijk,Netherlands,0.0,3.0,Pass,Virgil van Dijk,Netherlands,True,79.6,False,False,False
83674,3930173,1,0,3,00:00:03.724,Pass,Virgil van Dijk,Netherlands,Netherlands,40.2,35.2,,2.91859,From Kick Off,Stefan de Vrij,26.789923,Ground Pass,,1.3792572,45.3,61.5,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,0,0,2,1,0,0,Carry,Virgil van Dijk,Netherlands,0.0,3.0,Ball Receipt*,Stefan de Vrij,Netherlands,True,79.8,False,False,False
83675,3930173,1,0,6,00:00:06.643,Ball Receipt*,Stefan de Vrij,Netherlands,Netherlands,45.3,61.5,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,0,0,2,1,0,0,Pass,Virgil van Dijk,Netherlands,0.0,3.0,Carry,Stefan de Vrij,Netherlands,True,74.7,False,False,False
83676,3930173,1,0,6,00:00:06.643,Carry,Stefan de Vrij,Netherlands,Netherlands,45.3,61.5,,1.087064,From Kick Off,,,,,,,,,,,,False,51.8,69.2,10.076705810928493,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,0,0,2,1,0,0,Ball Receipt*,Stefan de Vrij,Netherlands,0.0,6.0,Pass,Stefan de Vrij,Netherlands,True,74.7,False,False,False
