event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Turkey_score,Portugal_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
155839,3930174,1,0,0,00:00:00.000,Starting XI,,Turkey,Turkey,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,0,0,3,1,0,0,,,,,,Starting XI,,Portugal,False,,False,,False
155840,3930174,1,0,0,00:00:00.000,Starting XI,,Portugal,Turkey,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,0,0,2,1,0,0,Starting XI,,Turkey,0.0,0.0,Half Start,,Portugal,True,,False,,False
155841,3930174,1,0,0,00:00:00.000,Half Start,,Portugal,Turkey,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,0,0,2,1,0,0,Starting XI,,Portugal,0.0,0.0,Half Start,,Turkey,False,,False,,False
155842,3930174,1,0,0,00:00:00.000,Half Start,,Turkey,Turkey,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,0,0,3,1,0,0,Half Start,,Portugal,0.0,0.0,Pass,Bruno Miguel Borges Fernandes,Portugal,False,,False,,False
155843,3930174,1,0,0,00:00:00.442,Pass,Bruno Miguel Borges Fernandes,Portugal,Portugal,60.0,40.0,,1.600169,From Kick Off,Nuno Mendes,19.505896,Ground Pass,,-2.650429,42.8,30.8,,,,,False,,,,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,1,0,0,2,1,0,0,Half Start,,Turkey,0.0,0.0,Ball Receipt*,Nuno Mendes,Portugal,True,60.0,False,False,False
155844,3930174,1,0,2,00:00:02.042,Ball Receipt*,Nuno Mendes,Portugal,Portugal,42.8,30.8,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,1,0,0,2,1,0,0,Pass,Bruno Miguel Borges Fernandes,Portugal,0.0,0.0,Carry,Nuno Mendes,Portugal,True,77.2,False,False,False
155845,3930174,1,0,2,00:00:02.042,Carry,Nuno Mendes,Portugal,Portugal,42.8,30.8,,1.888079,From Kick Off,,,,,,,,,,,,False,42.6,34.0,3.2062439083762784,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,1,0,0,2,1,0,0,Ball Receipt*,Nuno Mendes,Portugal,0.0,2.0,Pass,Nuno Mendes,Portugal,True,77.2,False,False,False
155846,3930174,1,0,3,00:00:03.930,Pass,Nuno Mendes,Portugal,Portugal,42.6,34.0,,1.773738,From Kick Off,Bernardo Mota Veiga de Carvalho e Silva,41.63316,High Pass,,0.3840746,81.2,49.6,,,,,False,,,,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,1,0,0,2,1,0,0,Carry,Nuno Mendes,Portugal,0.0,2.0,Ball Receipt*,Bernardo Mota Veiga de Carvalho e Silva,Portugal,True,77.4,False,False,False
155847,3930174,1,0,5,00:00:05.704,Ball Receipt*,Bernardo Mota Veiga de Carvalho e Silva,Portugal,Portugal,81.2,49.6,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 17, 'name': 'Right Wing'}",,0,0,0,1,0,0,2,1,0,0,Pass,Nuno Mendes,Portugal,0.0,3.0,Miscontrol,Bernardo Mota Veiga de Carvalho e Silva,Portugal,True,38.8,False,False,False
155848,3930174,1,0,5,00:00:05.704,Miscontrol,Bernardo Mota Veiga de Carvalho e Silva,Portugal,Portugal,81.2,49.6,,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 17, 'name': 'Right Wing'}",,0,0,0,1,0,0,2,1,0,0,Ball Receipt*,Bernardo Mota Veiga de Carvalho e Silva,Portugal,0.0,5.0,Ball Recovery,Altay Bayındır,Turkey,False,38.8,False,False,False
155849,3930174,1,0,9,00:00:09.104,Ball Recovery,Altay Bayındır,Turkey,Portugal,4.7,27.9,,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,1,0,0,3,1,0,0,Miscontrol,Bernardo Mota Veiga de Carvalho e Silva,Portugal,0.0,5.0,Carry,Altay Bayındır,Turkey,True,115.3,False,False,False
155850,3930174,1,0,9,00:00:09.104,Carry,Altay Bayındır,Turkey,Portugal,4.7,27.9,,8.143711,From Kick Off,,,,,,,,,,,,False,12.5,37.5,12.369316876852983,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,1,0,0,3,1,0,0,Ball Recovery,Altay Bayındır,Turkey,0.0,9.0,Pass,Altay Bayındır,Turkey,True,115.3,False,False,False
155851,3930174,1,0,17,00:00:17.248,Pass,Altay Bayındır,Turkey,Portugal,12.5,37.5,,1.618597,From Kick Off,Samet Akaydin,21.22687,Ground Pass,,1.3475286,17.2,58.2,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,1,0,0,3,1,0,0,Carry,Altay Bayındır,Turkey,0.0,9.0,Ball Receipt*,Samet Akaydin,Turkey,True,107.5,False,False,False
155852,3930174,1,0,18,00:00:18.866,Ball Receipt*,Samet Akaydin,Turkey,Portugal,17.2,58.2,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,0,0,3,1,0,0,Pass,Altay Bayındır,Turkey,0.0,17.0,Carry,Samet Akaydin,Turkey,True,102.8,False,False,False
155853,3930174,1,0,18,00:00:18.866,Carry,Samet Akaydin,Turkey,Portugal,17.2,58.2,,7.973388,From Kick Off,,,,,,,,,,,,False,39.5,64.6,23.20021551624036,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,0,0,3,1,0,0,Ball Receipt*,Samet Akaydin,Turkey,0.0,18.0,Pass,Samet Akaydin,Turkey,True,102.8,False,False,False
155854,3930174,1,0,26,00:00:26.840,Pass,Samet Akaydin,Turkey,Portugal,39.5,64.6,,4.977659,From Kick Off,Yunus Akgün,80.52242,High Pass,Out,-0.023598103,120.0,62.7,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,0,0,3,1,0,0,Carry,Samet Akaydin,Turkey,0.0,18.0,Ball Receipt*,Yunus Akgün,Turkey,True,80.5,False,False,False
155855,3930174,1,0,31,00:00:31.817,Ball Receipt*,Yunus Akgün,Turkey,Portugal,105.8,62.1,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 17, 'name': 'Right Wing'}",,0,0,0,1,0,0,3,1,0,0,Pass,Samet Akaydin,Turkey,0.0,26.0,Pass,Kléper Laveran Lima Ferreira,Portugal,False,14.200000000000003,False,True,False
155856,3930174,1,0,49,00:00:49.676,Pass,Kléper Laveran Lima Ferreira,Portugal,Portugal,6.0,31.3,,1.813695,From Goal Kick,Rúben Santos Gato Alves Dias,24.000208,Ground Pass,,1.574963,5.9,55.3,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,0,0,2,1,0,0,Ball Receipt*,Yunus Akgün,Turkey,0.0,31.0,Ball Receipt*,Rúben Santos Gato Alves Dias,Portugal,True,114.0,False,False,False
155857,3930174,1,0,51,00:00:51.490,Ball Receipt*,Rúben Santos Gato Alves Dias,Portugal,Portugal,5.9,55.3,,,From Goal Kick,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,0,0,2,1,0,0,Pass,Kléper Laveran Lima Ferreira,Portugal,0.0,49.0,Carry,Rúben Santos Gato Alves Dias,Portugal,True,114.1,False,False,False
155858,3930174,1,0,51,00:00:51.490,Carry,Rúben Santos Gato Alves Dias,Portugal,Portugal,5.9,55.3,,1.159999,From Goal Kick,,,,,,,,,,,,False,3.9,55.4,2.002498439450079,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,0,0,2,1,0,0,Ball Receipt*,Rúben Santos Gato Alves Dias,Portugal,0.0,51.0,Pass,Rúben Santos Gato Alves Dias,Portugal,True,114.1,False,False,False
155859,3930174,1,0,52,00:00:52.650,Pass,Rúben Santos Gato Alves Dias,Portugal,Portugal,3.9,55.4,,2.195984,From Goal Kick,Kléper Laveran Lima Ferreira,35.501266,Ground Pass,,-1.5623459,4.2,19.9,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,0,0,2,1,0,0,Carry,Rúben Santos Gato Alves Dias,Portugal,0.0,51.0,Ball Receipt*,Kléper Laveran Lima Ferreira,Portugal,True,116.1,False,False,False
155860,3930174,1,0,54,00:00:54.846,Ball Receipt*,Kléper Laveran Lima Ferreira,Portugal,Portugal,4.2,19.9,,,From Goal Kick,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,0,0,2,1,0,0,Pass,Rúben Santos Gato Alves Dias,Portugal,0.0,52.0,Carry,Kléper Laveran Lima Ferreira,Portugal,True,115.8,False,False,False
