event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Belgium_score,Romania_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
152639,3930175,1,0,0,00:00:00.000,Starting XI,,Belgium,Belgium,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,1,0,1,0,0,,,,,,Starting XI,,Romania,False,,False,,False
152640,3930175,1,0,0,00:00:00.000,Starting XI,,Romania,Belgium,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,0,0,3,0,0,0,Starting XI,,Belgium,0.0,0.0,Half Start,,Belgium,False,,False,,False
152641,3930175,1,0,0,00:00:00.000,Half Start,,Belgium,Belgium,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,1,0,1,0,0,Starting XI,,Romania,0.0,0.0,Half Start,,Romania,False,,False,,False
152642,3930175,1,0,0,00:00:00.000,Half Start,,Romania,Belgium,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,0,0,3,0,0,0,Half Start,,Belgium,0.0,0.0,Pass,Youri Tielemans,Belgium,False,,False,,False
152643,3930175,1,0,0,00:00:00.792,Pass,Youri Tielemans,Belgium,Belgium,60.0,40.0,,0.684875,From Kick Off,Kevin De Bruyne,2.1633308,Ground Pass,,-0.98279375,61.2,38.2,,,,,False,,,,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,0,0,0,0,0,1,0,1,0,0,Half Start,,Romania,0.0,0.0,Ball Receipt*,Kevin De Bruyne,Belgium,True,60.0,False,False,False
152644,3930175,1,0,1,00:00:01.477,Ball Receipt*,Kevin De Bruyne,Belgium,Belgium,61.2,38.2,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,0,0,1,0,1,0,0,Pass,Youri Tielemans,Belgium,0.0,0.0,Carry,Kevin De Bruyne,Belgium,True,58.8,False,False,False
152645,3930175,1,0,1,00:00:01.477,Carry,Kevin De Bruyne,Belgium,Belgium,61.2,38.2,,0.569812,From Kick Off,,,,,,,,,,,,False,61.1,39.0,0.8062257748298522,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,0,0,1,0,1,0,0,Ball Receipt*,Kevin De Bruyne,Belgium,0.0,1.0,Pass,Kevin De Bruyne,Belgium,True,58.8,False,False,False
152646,3930175,1,0,2,00:00:02.047,Pass,Kevin De Bruyne,Belgium,Belgium,61.1,39.0,,1.933045,From Kick Off,Wout Faes,25.515682,Ground Pass,,1.9607638,51.4,62.6,,,,,False,,,,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,0,0,1,0,1,0,0,Carry,Kevin De Bruyne,Belgium,0.0,1.0,Ball Receipt*,Wout Faes,Belgium,True,58.9,False,False,False
152647,3930175,1,0,3,00:00:03.980,Ball Receipt*,Wout Faes,Belgium,Belgium,51.4,62.6,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,0,0,1,0,1,0,0,Pass,Kevin De Bruyne,Belgium,0.0,2.0,Carry,Wout Faes,Belgium,True,68.6,False,False,False
152648,3930175,1,0,3,00:00:03.980,Carry,Wout Faes,Belgium,Belgium,51.4,62.6,True,1.640678,From Kick Off,,,,,,,,,,,,False,51.1,63.2,0.6708203932499369,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,0,0,1,0,1,0,0,Ball Receipt*,Wout Faes,Belgium,0.0,3.0,Pressure,Denis Mihai Drăguş,Romania,False,68.6,False,False,False
152649,3930175,1,0,5,00:00:05.451,Pressure,Denis Mihai Drăguş,Romania,Belgium,70.4,23.4,,0.329458,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,1,0,0,3,0,1,0,Carry,Wout Faes,Belgium,0.0,3.0,Pass,Wout Faes,Belgium,False,49.599999999999994,False,False,False
