event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Scotland_score,Hungary_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
80281,3930177,1,0,0,00:00:00.000,Starting XI,,Scotland,Scotland,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,1,1,2,6,0,0,,,,,,Starting XI,,Hungary,False,,False,,False
80282,3930177,1,0,0,00:00:00.000,Starting XI,,Hungary,Scotland,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,2,1,5,0,0,Starting XI,,Scotland,0.0,0.0,Half Start,,Scotland,False,,False,,False
80283,3930177,1,0,0,00:00:00.000,Half Start,,Scotland,Scotland,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,1,1,2,6,0,0,Starting XI,,Hungary,0.0,0.0,Half Start,,Hungary,False,,False,,False
80284,3930177,1,0,0,00:00:00.000,Half Start,,Hungary,Scotland,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,2,1,5,0,0,Half Start,,Scotland,0.0,0.0,Pass,András Schäfer,Hungary,True,,False,,False
80285,3930177,1,0,0,00:00:00.491,Pass,András Schäfer,Hungary,Hungary,61.0,40.1,,1.358431,From Kick Off,Willi Orban,20.206186,Ground Pass,,3.1168451,40.8,40.6,,,,,False,,,,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,0,0,0,0,0,2,1,5,0,0,Half Start,,Hungary,0.0,0.0,Ball Receipt*,Willi Orban,Hungary,True,59.0,False,False,False
80286,3930177,1,0,1,00:00:01.849,Ball Receipt*,Willi Orban,Hungary,Hungary,40.8,40.6,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 4, 'name': 'Center Back'}",,0,0,0,0,0,2,1,5,0,0,Pass,András Schäfer,Hungary,0.0,0.0,Carry,Willi Orban,Hungary,True,79.2,False,False,False
80287,3930177,1,0,1,00:00:01.849,Carry,Willi Orban,Hungary,Hungary,40.8,40.6,,1.439024,From Kick Off,,,,,,,,,,,,False,42.3,41.6,1.8027756377319946,,False,,"{'id': 4, 'name': 'Center Back'}",,0,0,0,0,0,2,1,5,0,0,Ball Receipt*,Willi Orban,Hungary,0.0,1.0,Pass,Willi Orban,Hungary,True,79.2,False,False,False
80288,3930177,1,0,3,00:00:03.288,Pass,Willi Orban,Hungary,Hungary,42.3,41.6,,2.915059,From Kick Off,Barnabás Varga,57.7201,High Pass,Incomplete,-0.27187425,97.9,26.1,,,,,False,,,,,False,,"{'id': 4, 'name': 'Center Back'}",,0,0,0,0,0,2,1,5,0,0,Carry,Willi Orban,Hungary,0.0,1.0,Ball Receipt*,Barnabás Varga,Hungary,True,77.7,False,False,False
80289,3930177,1,0,6,00:00:06.204,Ball Receipt*,Barnabás Varga,Hungary,Hungary,87.3,18.1,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,0,0,2,1,5,1,0,Pass,Willi Orban,Hungary,0.0,3.0,Clearance,Jack Hendry,Scotland,False,32.7,False,False,False
80290,3930177,1,0,6,00:00:06.204,Clearance,Jack Hendry,Scotland,Hungary,22.2,54.0,True,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,0,1,1,2,6,0,0,Ball Receipt*,Barnabás Varga,Hungary,0.0,6.0,Pressure,Márton Dárdai,Hungary,False,97.8,False,False,False
