event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Albania_score,Spain_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
69012,3930179,1,0,0,00:00:00.000,Starting XI,,Albania,Albania,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,1,1,3,4,0,0,,,,,,Starting XI,,Spain,False,,False,,False
69013,3930179,1,0,0,00:00:00.000,Starting XI,,Spain,Albania,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,2,0,0,4,0,0,0,Starting XI,,Albania,0.0,0.0,Half Start,,Spain,True,,False,,False
69014,3930179,1,0,0,00:00:00.000,Half Start,,Spain,Albania,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,2,0,0,4,0,0,0,Starting XI,,Spain,0.0,0.0,Half Start,,Albania,False,,False,,False
69015,3930179,1,0,0,00:00:00.000,Half Start,,Albania,Albania,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,1,1,3,4,0,0,Half Start,,Spain,0.0,0.0,Pass,Qazim Laçi,Albania,True,,False,,False
69016,3930179,1,0,0,00:00:00.646,Pass,Qazim Laçi,Albania,Albania,60.0,40.0,,1.513716,From Kick Off,Ylber Ramadani,21.612265,Ground Pass,,-3.039622,38.5,37.8,,,,,False,,,,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,0,1,1,3,4,1,0,Half Start,,Albania,0.0,0.0,Ball Receipt*,Ylber Ramadani,Albania,True,60.0,False,False,False
69017,3930179,1,0,2,00:00:02.160,Ball Receipt*,Ylber Ramadani,Albania,Albania,38.5,37.8,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,0,0,0,0,1,1,3,4,0,0,Pass,Qazim Laçi,Albania,0.0,0.0,Carry,Ylber Ramadani,Albania,True,81.5,False,False,False
69018,3930179,1,0,2,00:00:02.160,Carry,Ylber Ramadani,Albania,Albania,38.5,37.8,,1.043689,From Kick Off,,,,,,,,,,,,False,40.2,40.2,2.941088233970555,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,0,0,0,0,1,1,3,4,0,0,Ball Receipt*,Ylber Ramadani,Albania,0.0,2.0,Pass,Ylber Ramadani,Albania,True,81.5,False,False,False
69019,3930179,1,0,3,00:00:03.203,Pass,Ylber Ramadani,Albania,Albania,40.2,40.2,,2.410254,From Kick Off,Rey Manaj,61.192974,High Pass,,-0.62290907,89.9,4.5,,,,,False,,,,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,0,0,0,0,1,1,3,4,0,0,Carry,Ylber Ramadani,Albania,0.0,2.0,Ball Receipt*,Rey Manaj,Albania,True,79.8,False,False,False
69020,3930179,1,0,5,00:00:05.614,Ball Receipt*,Rey Manaj,Albania,Albania,89.9,4.5,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,0,1,1,3,4,0,0,Pass,Ylber Ramadani,Albania,0.0,3.0,Duel,Jesús Navas González,Spain,False,30.099999999999994,False,False,False
69021,3930179,1,0,5,00:00:05.791,Duel,Jesús Navas González,Spain,Albania,28.8,77.8,True,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,2,0,0,4,0,0,0,Ball Receipt*,Rey Manaj,Albania,0.0,5.0,Pass,Rey Manaj,Albania,False,91.2,False,False,False
69022,3930179,1,0,5,00:00:05.791,Pass,Rey Manaj,Albania,Albania,91.3,2.3,True,1.262509,From Kick Off,Nedim Bajrami,8.875246,High Pass,Incomplete,2.155674,86.4,9.7,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,0,1,1,3,4,0,0,Duel,Jesús Navas González,Spain,0.0,5.0,Ball Receipt*,Nedim Bajrami,Albania,True,28.700000000000003,False,False,False
69023,3930179,1,0,7,00:00:07.053,Ball Receipt*,Nedim Bajrami,Albania,Albania,85.3,5.8,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 21, 'name': 'Left Wing'}",,0,0,0,0,1,1,3,4,1,0,Pass,Rey Manaj,Albania,0.0,5.0,Pass,Martín Zubimendi Ibáñez,Spain,False,34.7,False,False,False
69024,3930179,1,0,7,00:00:07.053,Pass,Martín Zubimendi Ibáñez,Spain,Spain,33.7,70.4,,1.300495,Regular Play,Ferrán Torres García,8.832327,Low Pass,,1.036202,38.2,78.0,,,,,False,,,,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,0,0,0,2,0,0,4,0,0,0,Ball Receipt*,Nedim Bajrami,Albania,0.0,7.0,Pressure,Mario Mitaj,Albania,False,86.3,False,False,False
69025,3930179,1,0,8,00:00:08.252,Pressure,Mario Mitaj,Albania,Spain,80.4,1.7,,0.568939,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,0,1,1,3,4,0,0,Pass,Martín Zubimendi Ibáñez,Spain,0.0,7.0,Ball Receipt*,Ferrán Torres García,Spain,False,39.599999999999994,False,False,False
69026,3930179,1,0,8,00:00:08.354,Ball Receipt*,Ferrán Torres García,Spain,Spain,38.2,78.0,True,,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 17, 'name': 'Right Wing'}",,0,0,0,2,0,0,4,0,0,0,Pressure,Mario Mitaj,Albania,0.0,8.0,Carry,Ferrán Torres García,Spain,True,81.8,False,False,True
69027,3930179,1,0,8,00:00:08.354,Carry,Ferrán Torres García,Spain,Spain,38.2,78.0,True,0.5873,Regular Play,,,,,,,,,,,,False,37.6,79.2,1.341640786499877,,False,,"{'id': 17, 'name': 'Right Wing'}",,0,0,0,2,0,0,4,0,0,0,Ball Receipt*,Ferrán Torres García,Spain,0.0,8.0,Pass,Ferrán Torres García,Spain,True,81.8,False,False,False
69028,3930179,1,0,8,00:00:08.941,Pass,Ferrán Torres García,Spain,Spain,37.6,79.2,,0.787139,Regular Play,Jesús Navas González,6.1188235,Ground Pass,,-2.9441972,31.6,78.0,,,,,False,,,,,False,,"{'id': 17, 'name': 'Right Wing'}",,0,0,0,2,0,0,4,0,0,0,Carry,Ferrán Torres García,Spain,0.0,8.0,Pressure,Rey Manaj,Albania,False,82.4,False,False,False
