event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,England_score,Slovenia_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
141221,3930181,1,0,0,00:00:00.000,Starting XI,,England,England,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,1,0,2,1,0,0,,,,,,Starting XI,,Slovenia,False,,False,,False
141222,3930181,1,0,0,00:00:00.000,Starting XI,,Slovenia,England,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,2,0,2,2,0,0,Starting XI,,England,0.0,0.0,Half Start,,England,False,,False,,False
141223,3930181,1,0,0,00:00:00.000,Half Start,,England,England,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,1,0,2,1,0,0,Starting XI,,Slovenia,0.0,0.0,Half Start,,Slovenia,False,,False,,False
141224,3930181,1,0,0,00:00:00.000,Half Start,,Slovenia,England,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,2,0,2,2,0,0,Half Start,,England,0.0,0.0,Pass,Phil Foden,England,False,,False,,False
141225,3930181,1,0,1,00:00:01.404,Pass,Phil Foden,England,England,61.0,40.1,,2.477005,From Kick Off,Jordan Pickford,32.512306,Ground Pass,,3.0584514,28.6,42.8,,,,,False,,,,,False,,"{'id': 21, 'name': 'Left Wing'}",,0,0,0,1,1,0,2,1,0,0,Half Start,,Slovenia,0.0,0.0,Ball Receipt*,Jordan Pickford,England,True,59.0,False,False,False
141226,3930181,1,0,3,00:00:03.881,Ball Receipt*,Jordan Pickford,England,England,28.6,42.8,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,1,1,0,2,1,0,0,Pass,Phil Foden,England,0.0,1.0,Carry,Jordan Pickford,England,True,91.4,False,False,False
141227,3930181,1,0,3,00:00:03.881,Carry,Jordan Pickford,England,England,28.6,42.8,,0.02516,From Kick Off,,,,,,,,,,,,False,29.9,44.9,2.4698178070456938,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,1,1,0,2,1,0,0,Ball Receipt*,Jordan Pickford,England,0.0,3.0,Pass,Jordan Pickford,England,True,91.4,False,False,False
141228,3930181,1,0,3,00:00:03.906,Pass,Jordan Pickford,England,England,29.9,44.9,,3.983493,From Kick Off,Harry Kane,65.82173,High Pass,Incomplete,0.18488131,94.6,57.0,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,1,1,0,2,1,0,0,Carry,Jordan Pickford,England,0.0,3.0,Ball Receipt*,Harry Kane,England,True,90.1,False,False,False
141229,3930181,1,0,7,00:00:07.890,Ball Receipt*,Harry Kane,England,England,89.2,58.5,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,1,1,0,2,1,1,0,Pass,Jordan Pickford,England,0.0,3.0,Pass,Jaka Bijol,Slovenia,False,30.799999999999997,False,False,False
141230,3930181,1,0,7,00:00:07.890,Pass,Jaka Bijol,Slovenia,England,25.5,23.1,,2.780105,From Kick Off,Benjamin Šeško,36.40014,High Pass,Incomplete,0.0027472458,61.9,23.2,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,0,2,0,2,2,0,0,Ball Receipt*,Harry Kane,England,0.0,7.0,Ball Receipt*,Benjamin Šeško,Slovenia,True,94.5,False,False,False
