event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Czech Republic_score,Turkey_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
38679,3930184,1,0,0,00:00:00.000,Starting XI,,Czech Republic,Czech Republic,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,1,1,2,3,0,0,,,,,,Starting XI,,Turkey,False,,False,,False
38680,3930184,1,0,0,00:00:00.000,Starting XI,,Turkey,Czech Republic,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,0,1,3,4,0,0,Starting XI,,Czech Republic,0.0,0.0,Half Start,,Turkey,True,,False,,False
38681,3930184,1,0,0,00:00:00.000,Half Start,,Turkey,Czech Republic,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,0,1,3,4,0,0,Starting XI,,Turkey,0.0,0.0,Half Start,,Czech Republic,False,,False,,False
38682,3930184,1,0,0,00:00:00.000,Half Start,,Czech Republic,Czech Republic,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,1,1,2,3,0,0,Half Start,,Turkey,0.0,0.0,Pass,Antonín Barák,Czech Republic,True,,False,,False
38683,3930184,1,0,0,00:00:00.489,Pass,Antonín Barák,Czech Republic,Czech Republic,60.0,40.0,,0.829151,From Kick Off,Ladislav Krejčí,16.417368,Ground Pass,,-2.844885,44.3,35.2,,,,,False,,,,,False,,"{'id': 18, 'name': 'Right Attacking Midfield'}",,0,0,0,0,1,1,2,3,0,0,Half Start,,Czech Republic,0.0,0.0,Ball Receipt*,Ladislav Krejčí,Czech Republic,True,60.0,False,False,False
38684,3930184,1,0,1,00:00:01.318,Ball Receipt*,Ladislav Krejčí,Czech Republic,Czech Republic,44.3,35.2,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,0,1,1,2,3,0,0,Pass,Antonín Barák,Czech Republic,0.0,0.0,Carry,Ladislav Krejčí,Czech Republic,True,75.7,False,False,False
38685,3930184,1,0,1,00:00:01.318,Carry,Ladislav Krejčí,Czech Republic,Czech Republic,44.3,35.2,,2.661182,From Kick Off,,,,,,,,,,,,False,49.0,36.7,4.9335585534176065,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,0,1,1,2,3,0,0,Ball Receipt*,Ladislav Krejčí,Czech Republic,0.0,1.0,Pass,Ladislav Krejčí,Czech Republic,True,75.7,False,False,False
38686,3930184,1,0,3,00:00:03.979,Pass,Ladislav Krejčí,Czech Republic,Czech Republic,49.0,36.7,,1.843632,From Kick Off,Tomáš Holeš,26.77611,Ground Pass,,1.3294408,55.4,62.7,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,0,1,1,2,3,0,0,Carry,Ladislav Krejčí,Czech Republic,0.0,1.0,Ball Receipt*,Tomáš Holeš,Czech Republic,True,71.0,False,False,False
38687,3930184,1,0,5,00:00:05.823,Ball Receipt*,Tomáš Holeš,Czech Republic,Czech Republic,55.4,62.7,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,0,1,1,2,3,0,0,Pass,Ladislav Krejčí,Czech Republic,0.0,3.0,Carry,Tomáš Holeš,Czech Republic,True,64.6,False,False,False
38688,3930184,1,0,5,00:00:05.823,Carry,Tomáš Holeš,Czech Republic,Czech Republic,55.4,62.7,,2.116077,From Kick Off,,,,,,,,,,,,False,56.7,69.5,6.923149572268389,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,0,1,1,2,3,0,0,Ball Receipt*,Tomáš Holeš,Czech Republic,0.0,5.0,Pass,Tomáš Holeš,Czech Republic,True,64.6,False,False,False
