event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Poland_score,Netherlands_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
110258,3938637,1,0,0,00:00:00.000,Starting XI,,Poland,Poland,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,,,,,,Starting XI,,Netherlands,False,,False,,False
110259,3938637,1,0,0,00:00:00.000,Starting XI,,Netherlands,Poland,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,Starting XI,,Poland,0.0,0.0,Half Start,,Netherlands,True,,False,,False
110260,3938637,1,0,0,00:00:00.000,Half Start,,Netherlands,Poland,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,Starting XI,,Netherlands,0.0,0.0,Half Start,,Poland,False,,False,,False
110261,3938637,1,0,0,00:00:00.000,Half Start,,Poland,Poland,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,Half Start,,Netherlands,0.0,0.0,Pass,Piotr Zieliński,Poland,True,,False,,False
110262,3938637,1,0,1,00:00:01.289,Pass,Piotr Zieliński,Poland,Poland,60.0,40.0,,1.154519,From Kick Off,Sebastian Szymański,4.763402,Ground Pass,,2.4602945,56.3,43.0,,,,,False,,,,,False,,"{'id': 15, 'name': 'Left Center Midfield'}",,0,0,0,0,0,0,0,0,0,0,Half Start,,Poland,0.0,0.0,Ball Receipt*,Sebastian Szymański,Poland,True,60.0,False,False,False
110263,3938637,1,0,2,00:00:02.444,Ball Receipt*,Sebastian Szymański,Poland,Poland,56.3,43.0,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 13, 'name': 'Right Center Midfield'}",,0,0,0,0,0,0,0,0,0,0,Pass,Piotr Zieliński,Poland,0.0,1.0,Pass,Sebastian Szymański,Poland,True,63.7,False,False,False
110264,3938637,1,0,2,00:00:02.444,Pass,Sebastian Szymański,Poland,Poland,55.7,42.8,,2.058165,From Kick Off,Nicola Zalewski,40.50889,High Pass,,-1.2467039,68.6,4.4,,,,,False,,,,,False,,"{'id': 13, 'name': 'Right Center Midfield'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Sebastian Szymański,Poland,0.0,2.0,Ball Receipt*,Nicola Zalewski,Poland,True,64.3,False,False,False
110265,3938637,1,0,4,00:00:04.502,Ball Receipt*,Nicola Zalewski,Poland,Poland,68.6,4.4,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 8, 'name': 'Left Wing Back'}",,0,0,0,0,0,0,0,0,0,0,Pass,Sebastian Szymański,Poland,0.0,2.0,Carry,Nicola Zalewski,Poland,True,51.400000000000006,False,False,False
110266,3938637,1,0,4,00:00:04.502,Carry,Nicola Zalewski,Poland,Poland,68.6,4.4,True,3.482079,From Kick Off,,,,,,,,,,,,False,68.1,4.2,0.5385164807134505,,False,,"{'id': 8, 'name': 'Left Wing Back'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Nicola Zalewski,Poland,0.0,4.0,Pressure,Denzel Dumfries,Netherlands,False,51.400000000000006,False,False,False
110267,3938637,1,0,7,00:00:07.020,Pressure,Denzel Dumfries,Netherlands,Poland,49.8,76.2,,0.842727,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,0,0,0,0,0,0,0,Carry,Nicola Zalewski,Poland,0.0,4.0,Pass,Nicola Zalewski,Poland,False,70.2,False,False,False
110268,3938637,1,0,7,00:00:07.984,Pass,Nicola Zalewski,Poland,Poland,68.1,4.2,,3.159053,From Kick Off,,43.38894,Low Pass,Incomplete,0.44303197,107.3,22.8,,,,,False,,,,,False,,"{'id': 8, 'name': 'Left Wing Back'}",,0,0,0,0,0,0,0,0,0,0,Pressure,Denzel Dumfries,Netherlands,0.0,7.0,Ball Recovery,Bart Verbruggen,Netherlands,False,51.900000000000006,False,False,True
110269,3938637,1,0,11,00:00:11.143,Ball Recovery,Bart Verbruggen,Netherlands,Netherlands,12.8,57.3,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,0,0,0,0,0,0,0,Pass,Nicola Zalewski,Poland,0.0,7.0,Carry,Bart Verbruggen,Netherlands,True,107.2,False,False,False
110270,3938637,1,0,11,00:00:11.143,Carry,Bart Verbruggen,Netherlands,Netherlands,12.8,57.3,,5.783741,Regular Play,,,,,,,,,,,,False,12.0,44.9,12.425779653607252,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,0,0,0,0,0,0,0,Ball Recovery,Bart Verbruggen,Netherlands,0.0,11.0,Pass,Bart Verbruggen,Netherlands,True,107.2,False,False,False
110271,3938637,1,0,16,00:00:16.927,Pass,Bart Verbruggen,Netherlands,Netherlands,12.0,44.9,,1.071789,Regular Play,Virgil van Dijk,12.85496,Ground Pass,,-1.3352513,15.0,32.4,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,0,0,0,0,0,0,0,Carry,Bart Verbruggen,Netherlands,0.0,11.0,Ball Receipt*,Virgil van Dijk,Netherlands,True,108.0,False,False,False
110272,3938637,1,0,17,00:00:17.999,Ball Receipt*,Virgil van Dijk,Netherlands,Netherlands,15.0,32.4,,,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,0,0,0,0,0,0,0,Pass,Bart Verbruggen,Netherlands,0.0,16.0,Carry,Virgil van Dijk,Netherlands,True,105.0,False,False,False
110273,3938637,1,0,17,00:00:17.999,Carry,Virgil van Dijk,Netherlands,Netherlands,15.0,32.4,,0.062794,Regular Play,,,,,,,,,,,,False,15.0,32.4,0.0,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Virgil van Dijk,Netherlands,0.0,17.0,Pass,Virgil van Dijk,Netherlands,True,105.0,False,False,False
