event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Romania_score,Ukraine_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
135166,3938638,1,0,0,00:00:00.000,Starting XI,,Romania,Romania,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,,,,,,Starting XI,,Ukraine,False,,False,,False
135167,3938638,1,0,0,00:00:00.000,Starting XI,,Ukraine,Romania,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,Starting XI,,Romania,0.0,0.0,Half Start,,Romania,False,,False,,False
135168,3938638,1,0,0,00:00:00.000,Half Start,,Romania,Romania,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,Starting XI,,Ukraine,0.0,0.0,Half Start,,Ukraine,False,,False,,False
135169,3938638,1,0,0,00:00:00.000,Half Start,,Ukraine,Romania,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,Half Start,,Romania,0.0,0.0,Pass,Artem Dovbyk,Ukraine,True,,False,,False
135170,3938638,1,0,0,00:00:00.917,Pass,Artem Dovbyk,Ukraine,Ukraine,60.0,40.0,,0.98929,From Kick Off,Taras Stepanenko,15.274161,Ground Pass,,-2.9904366,44.9,37.7,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,0,0,0,0,0,0,0,Half Start,,Ukraine,0.0,0.0,Ball Receipt*,Taras Stepanenko,Ukraine,True,60.0,False,False,False
135171,3938638,1,0,1,00:00:01.906,Ball Receipt*,Taras Stepanenko,Ukraine,Ukraine,44.9,37.7,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Pass,Artem Dovbyk,Ukraine,0.0,0.0,Carry,Taras Stepanenko,Ukraine,True,75.1,False,False,False
135172,3938638,1,0,1,00:00:01.906,Carry,Taras Stepanenko,Ukraine,Ukraine,44.9,37.7,,0.758058,From Kick Off,,,,,,,,,,,,False,45.9,37.7,1.0,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Taras Stepanenko,Ukraine,0.0,1.0,Pass,Taras Stepanenko,Ukraine,True,75.1,False,False,False
135173,3938638,1,0,2,00:00:02.664,Pass,Taras Stepanenko,Ukraine,Ukraine,45.9,37.7,,1.893617,From Kick Off,Mykola Matvienko,19.764868,Ground Pass,,-2.827842,27.1,31.6,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Carry,Taras Stepanenko,Ukraine,0.0,1.0,Ball Receipt*,Mykola Matvienko,Ukraine,True,74.1,False,False,False
135174,3938638,1,0,4,00:00:04.558,Ball Receipt*,Mykola Matvienko,Ukraine,Ukraine,27.1,31.6,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,0,0,0,0,0,0,0,Pass,Taras Stepanenko,Ukraine,0.0,2.0,Carry,Mykola Matvienko,Ukraine,True,92.9,False,False,False
135175,3938638,1,0,4,00:00:04.558,Carry,Mykola Matvienko,Ukraine,Ukraine,27.1,31.6,,0.702509,From Kick Off,,,,,,,,,,,,False,30.1,31.6,3.0,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Mykola Matvienko,Ukraine,0.0,4.0,Pass,Mykola Matvienko,Ukraine,True,92.9,False,False,False
135176,3938638,1,0,5,00:00:05.261,Pass,Mykola Matvienko,Ukraine,Ukraine,30.1,31.6,,1.387728,From Kick Off,Illia Zabarnyi,18.893915,Ground Pass,,1.8221934,25.4,49.9,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,0,0,0,0,0,0,0,Carry,Mykola Matvienko,Ukraine,0.0,4.0,Ball Receipt*,Illia Zabarnyi,Ukraine,True,89.9,False,False,False
135177,3938638,1,0,6,00:00:06.648,Ball Receipt*,Illia Zabarnyi,Ukraine,Ukraine,25.4,49.9,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,0,0,0,0,0,0,0,Pass,Mykola Matvienko,Ukraine,0.0,5.0,Carry,Illia Zabarnyi,Ukraine,True,94.6,False,False,False
135178,3938638,1,0,6,00:00:06.648,Carry,Illia Zabarnyi,Ukraine,Ukraine,25.4,49.9,,2.92739,From Kick Off,,,,,,,,,,,,False,26.9,49.9,1.5,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Illia Zabarnyi,Ukraine,0.0,6.0,Pass,Illia Zabarnyi,Ukraine,True,94.6,False,False,False
135179,3938638,1,0,9,00:00:09.576,Pass,Illia Zabarnyi,Ukraine,Ukraine,26.9,49.9,,1.754054,From Kick Off,Mykola Matvienko,18.483776,Ground Pass,,-1.4296644,29.5,31.6,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,0,0,0,0,0,0,0,Carry,Illia Zabarnyi,Ukraine,0.0,6.0,Ball Receipt*,Mykola Matvienko,Ukraine,True,93.1,False,False,False
135180,3938638,1,0,11,00:00:11.330,Ball Receipt*,Mykola Matvienko,Ukraine,Ukraine,29.5,31.6,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,0,0,0,0,0,0,0,Pass,Illia Zabarnyi,Ukraine,0.0,9.0,Carry,Mykola Matvienko,Ukraine,True,90.5,False,False,False
135181,3938638,1,0,11,00:00:11.330,Carry,Mykola Matvienko,Ukraine,Ukraine,29.5,31.6,,1.500691,From Kick Off,,,,,,,,,,,,False,31.4,32.4,2.061552812808828,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Mykola Matvienko,Ukraine,0.0,11.0,Pass,Mykola Matvienko,Ukraine,True,90.5,False,False,False
135182,3938638,1,0,12,00:00:12.830,Pass,Mykola Matvienko,Ukraine,Ukraine,31.4,32.4,,0.896464,From Kick Off,Taras Stepanenko,9.89798,Ground Pass,,0.51789296,40.0,37.3,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,0,0,0,0,0,0,0,Carry,Mykola Matvienko,Ukraine,0.0,11.0,Ball Receipt*,Taras Stepanenko,Ukraine,True,88.6,False,False,False
135183,3938638,1,0,13,00:00:13.727,Ball Receipt*,Taras Stepanenko,Ukraine,Ukraine,40.0,37.3,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Pass,Mykola Matvienko,Ukraine,0.0,12.0,Carry,Taras Stepanenko,Ukraine,True,80.0,False,False,False
135184,3938638,1,0,13,00:00:13.727,Carry,Taras Stepanenko,Ukraine,Ukraine,40.0,37.3,,0.647244,From Kick Off,,,,,,,,,,,,False,40.0,37.3,0.0,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Taras Stepanenko,Ukraine,0.0,13.0,Pass,Taras Stepanenko,Ukraine,True,80.0,False,False,False
135185,3938638,1,0,14,00:00:14.374,Pass,Taras Stepanenko,Ukraine,Ukraine,40.0,37.3,,1.003873,From Kick Off,Mykola Matvienko,13.954211,Ground Pass,,-2.6651251,27.6,30.9,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,0,0,0,0,0,0,0,Carry,Taras Stepanenko,Ukraine,0.0,13.0,Ball Receipt*,Mykola Matvienko,Ukraine,True,80.0,False,False,False
