event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Turkey_score,Georgia_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
120503,3938639,1,0,0,00:00:00.000,Starting XI,,Turkey,Turkey,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,,,,,,Starting XI,,Georgia,False,,False,,False
120504,3938639,1,0,0,00:00:00.000,Starting XI,,Georgia,Turkey,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,Starting XI,,Turkey,0.0,0.0,Half Start,,Georgia,True,,False,,False
120505,3938639,1,0,0,00:00:00.000,Half Start,,Georgia,Turkey,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,Starting XI,,Georgia,0.0,0.0,Half Start,,Turkey,False,,False,,False
120506,3938639,1,0,0,00:00:00.000,Half Start,,Turkey,Turkey,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,0,0,0,0,0,Half Start,,Georgia,0.0,0.0,Pass,Georges Mikautadze,Georgia,False,,False,,False
120507,3938639,1,0,0,00:00:00.838,Pass,Georges Mikautadze,Georgia,Georgia,60.0,40.0,,0.97636,From Kick Off,Giorgi Kochorashvili,7.8243213,Ground Pass,,-2.4648557,53.9,35.1,,,,,False,,,,,False,,"{'id': 22, 'name': 'Right Center Forward'}",,0,0,0,0,0,0,0,0,0,0,Half Start,,Turkey,0.0,0.0,Ball Receipt*,Giorgi Kochorashvili,Georgia,True,60.0,False,False,False
120508,3938639,1,0,1,00:00:01.815,Ball Receipt*,Giorgi Kochorashvili,Georgia,Georgia,53.9,35.1,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 15, 'name': 'Left Center Midfield'}",,0,0,0,0,0,0,0,0,0,0,Pass,Georges Mikautadze,Georgia,0.0,0.0,Carry,Giorgi Kochorashvili,Georgia,True,66.1,False,False,False
120509,3938639,1,0,1,00:00:01.815,Carry,Giorgi Kochorashvili,Georgia,Georgia,53.9,35.1,,0.770759,From Kick Off,,,,,,,,,,,,False,53.9,34.9,0.20000000000000284,,False,,"{'id': 15, 'name': 'Left Center Midfield'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Giorgi Kochorashvili,Georgia,0.0,1.0,Pass,Giorgi Kochorashvili,Georgia,True,66.1,False,False,False
120510,3938639,1,0,2,00:00:02.586,Pass,Giorgi Kochorashvili,Georgia,Georgia,53.9,34.9,,1.849699,From Kick Off,Heorhii Tsitaishvili,32.70061,Ground Pass,,-1.5769124,53.7,2.2,,,,,False,,,,,False,,"{'id': 15, 'name': 'Left Center Midfield'}",,0,0,0,0,0,0,0,0,0,0,Carry,Giorgi Kochorashvili,Georgia,0.0,1.0,Ball Receipt*,Heorhii Tsitaishvili,Georgia,True,66.1,False,False,False
120511,3938639,1,0,4,00:00:04.435,Ball Receipt*,Heorhii Tsitaishvili,Georgia,Georgia,53.7,2.2,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 8, 'name': 'Left Wing Back'}",,0,0,0,0,0,0,0,0,0,0,Pass,Giorgi Kochorashvili,Georgia,0.0,2.0,Carry,Heorhii Tsitaishvili,Georgia,True,66.3,False,False,False
120512,3938639,1,0,4,00:00:04.435,Carry,Heorhii Tsitaishvili,Georgia,Georgia,53.7,2.2,,3.06376,From Kick Off,,,,,,,,,,,,False,57.8,1.6,4.143669871020126,,False,,"{'id': 8, 'name': 'Left Wing Back'}",,0,0,0,0,0,0,0,0,0,0,Ball Receipt*,Heorhii Tsitaishvili,Georgia,0.0,4.0,Pass,Heorhii Tsitaishvili,Georgia,True,66.3,False,False,False
120513,3938639,1,0,7,00:00:07.499,Pass,Heorhii Tsitaishvili,Georgia,Georgia,57.8,1.6,,1.461033,From Kick Off,Lasha Dvali,18.047161,Ground Pass,,3.0138013,39.9,3.9,,,,,False,,,,,False,,"{'id': 8, 'name': 'Left Wing Back'}",,0,0,0,0,0,0,0,0,0,0,Carry,Heorhii Tsitaishvili,Georgia,0.0,4.0,Ball Receipt*,Lasha Dvali,Georgia,True,62.2,False,False,False
