event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Poland_score,Austria_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
124340,3938641,1,0,0,00:00:00.000,Starting XI,,Poland,Poland,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,1,1,2,0,0,,,,,,Starting XI,,Austria,False,,False,,False
124341,3938641,1,0,0,00:00:00.000,Starting XI,,Austria,Poland,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,1,0,1,0,0,Starting XI,,Poland,0.0,0.0,Half Start,,Poland,False,,False,,False
124342,3938641,1,0,0,00:00:00.000,Half Start,,Poland,Poland,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,1,1,2,0,0,Starting XI,,Austria,0.0,0.0,Half Start,,Austria,False,,False,,False
124343,3938641,1,0,0,00:00:00.000,Half Start,,Austria,Poland,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,1,0,1,0,0,Half Start,,Poland,0.0,0.0,Pass,Konrad Laimer,Austria,True,,False,,False
124344,3938641,1,0,1,00:00:01.266,Pass,Konrad Laimer,Austria,Austria,61.0,40.1,,1.117529,From Kick Off,Christoph Baumgartner,3.7215588,Ground Pass,,1.0349851,62.9,43.3,,,,,False,,,,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,0,0,1,0,1,0,0,Half Start,,Austria,0.0,0.0,Ball Receipt*,Christoph Baumgartner,Austria,True,59.0,False,False,False
124345,3938641,1,0,2,00:00:02.384,Ball Receipt*,Christoph Baumgartner,Austria,Austria,62.9,43.3,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 17, 'name': 'Right Wing'}",,0,0,0,0,0,1,0,1,0,0,Pass,Konrad Laimer,Austria,0.0,1.0,Carry,Christoph Baumgartner,Austria,True,57.1,False,False,False
124346,3938641,1,0,2,00:00:02.384,Carry,Christoph Baumgartner,Austria,Austria,62.9,43.3,True,2.44833,From Kick Off,,,,,,,,,,,,False,76.9,34.0,16.80743882928033,,False,,"{'id': 17, 'name': 'Right Wing'}",,0,0,0,0,0,1,0,1,0,0,Ball Receipt*,Christoph Baumgartner,Austria,0.0,2.0,Pressure,Krzysztof Piątek,Poland,False,57.1,False,False,False
124347,3938641,1,0,3,00:00:03.569,Pressure,Krzysztof Piątek,Poland,Austria,50.7,41.7,,0.563552,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 22, 'name': 'Right Center Forward'}",,0,0,0,0,0,1,1,2,0,0,Carry,Christoph Baumgartner,Austria,0.0,2.0,Pass,Christoph Baumgartner,Austria,False,69.3,False,False,False
124348,3938641,1,0,4,00:00:04.832,Pass,Christoph Baumgartner,Austria,Austria,76.9,34.0,,1.370892,From Kick Off,Marcel Sabitzer,6.484597,Ground Pass,,-1.2246604,79.1,27.9,,,,,False,,,,,False,,"{'id': 17, 'name': 'Right Wing'}",,0,0,0,0,0,1,0,1,0,0,Pressure,Krzysztof Piątek,Poland,0.0,3.0,Ball Receipt*,Marcel Sabitzer,Austria,True,43.099999999999994,False,False,True
124349,3938641,1,0,5,00:00:05.133,Ball Receipt*,Marcel Sabitzer,Austria,Austria,79.1,27.9,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 21, 'name': 'Left Wing'}",,0,0,0,0,0,1,0,1,0,0,Pass,Christoph Baumgartner,Austria,0.0,4.0,Carry,Marcel Sabitzer,Austria,True,40.900000000000006,False,False,False
124350,3938641,1,0,5,00:00:05.133,Carry,Marcel Sabitzer,Austria,Austria,79.1,27.9,True,1.16869,From Kick Off,,,,,,,,,,,,False,82.9,27.9,3.8000000000000114,,False,,"{'id': 21, 'name': 'Left Wing'}",,0,0,0,0,0,1,0,1,0,0,Ball Receipt*,Marcel Sabitzer,Austria,0.0,5.0,Block,Piotr Zieliński,Poland,False,40.900000000000006,False,False,False
124351,3938641,1,0,5,00:00:05.133,Block,Piotr Zieliński,Poland,Austria,41.8,47.0,,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 13, 'name': 'Right Center Midfield'}",,0,0,0,0,0,1,1,2,0,0,Carry,Marcel Sabitzer,Austria,0.0,5.0,Pressure,Piotr Zieliński,Poland,True,78.2,False,False,False
124352,3938641,1,0,5,00:00:05.846,Pressure,Piotr Zieliński,Poland,Austria,38.3,50.8,,0.497169,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 13, 'name': 'Right Center Midfield'}",,0,0,0,0,0,1,1,2,0,0,Block,Piotr Zieliński,Poland,0.0,5.0,Pass,Marcel Sabitzer,Austria,False,81.7,False,False,False
124353,3938641,1,0,6,00:00:06.302,Pass,Marcel Sabitzer,Austria,Austria,82.9,27.9,True,1.090037,From Kick Off,Konrad Laimer,9.654015,Ground Pass,,0.22990443,92.3,30.1,,,,,False,,,,,False,,"{'id': 21, 'name': 'Left Wing'}",,0,0,0,0,0,1,0,1,0,0,Pressure,Piotr Zieliński,Poland,0.0,5.0,Ball Receipt*,Konrad Laimer,Austria,True,37.099999999999994,False,False,True
124354,3938641,1,0,7,00:00:07.392,Ball Receipt*,Konrad Laimer,Austria,Austria,92.3,30.1,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,0,0,1,0,1,0,0,Pass,Marcel Sabitzer,Austria,0.0,6.0,Carry,Konrad Laimer,Austria,True,27.700000000000003,False,False,False
124355,3938641,1,0,7,00:00:07.392,Carry,Konrad Laimer,Austria,Austria,92.3,30.1,True,1.955034,From Kick Off,,,,,,,,,,,,False,92.1,25.5,4.604345773288538,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,0,0,1,0,1,0,0,Ball Receipt*,Konrad Laimer,Austria,0.0,7.0,Pressure,Jan Bednarek,Poland,False,27.700000000000003,False,False,False
124356,3938641,1,0,7,00:00:07.447,Pressure,Jan Bednarek,Poland,Austria,27.6,51.4,,1.523481,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,0,0,1,1,2,0,0,Carry,Konrad Laimer,Austria,0.0,7.0,Pass,Konrad Laimer,Austria,False,92.4,False,False,False
124357,3938641,1,0,9,00:00:09.347,Pass,Konrad Laimer,Austria,Austria,92.1,25.5,,1.118726,From Kick Off,Philipp Mwene,12.801562,Ground Pass,,-1.0652152,98.3,14.3,,,,,False,,,,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,0,0,1,0,1,0,0,Pressure,Jan Bednarek,Poland,0.0,7.0,Ball Receipt*,Philipp Mwene,Austria,True,27.900000000000006,False,False,False
124358,3938641,1,0,10,00:00:10.465,Ball Receipt*,Philipp Mwene,Austria,Austria,98.3,14.3,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,0,0,1,0,1,0,0,Pass,Konrad Laimer,Austria,0.0,9.0,Carry,Philipp Mwene,Austria,True,21.700000000000003,False,True,False
124359,3938641,1,0,10,00:00:10.465,Carry,Philipp Mwene,Austria,Austria,98.3,14.3,True,1.013021,From Kick Off,,,,,,,,,,,,False,97.3,11.5,2.9732137494637016,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,0,0,1,0,1,0,0,Ball Receipt*,Philipp Mwene,Austria,0.0,10.0,Pressure,Przemysław Frankowski,Poland,False,21.700000000000003,False,True,False
