event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,France_score,Poland_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
131399,3938643,1,0,0,00:00:00.000,Starting XI,,France,France,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,1,0,1,0,0,0,,,,,,Starting XI,,Poland,False,,False,,False
131400,3938643,1,0,0,00:00:00.000,Starting XI,,Poland,France,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,2,2,5,0,0,Starting XI,,France,0.0,0.0,Half Start,,Poland,True,,False,,False
131401,3938643,1,0,0,00:00:00.000,Half Start,,Poland,France,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,0,2,2,5,0,0,Starting XI,,Poland,0.0,0.0,Half Start,,France,False,,False,,False
131402,3938643,1,0,0,00:00:00.000,Half Start,,France,France,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,1,0,1,0,0,0,Half Start,,Poland,0.0,0.0,Pass,Kacper Urbanski,Poland,False,,False,,False
131403,3938643,1,0,0,00:00:00.420,Pass,Kacper Urbanski,Poland,Poland,61.0,40.1,,0.308025,From Kick Off,Piotr Zieliński,2.9,Ground Pass,,-2.331809,59.0,38.0,,,,,False,,,,,False,,"{'id': 22, 'name': 'Right Center Forward'}",,0,0,0,0,0,2,2,5,0,0,Half Start,,France,0.0,0.0,Ball Receipt*,Piotr Zieliński,Poland,True,59.0,False,False,False
131404,3938643,1,0,0,00:00:00.728,Ball Receipt*,Piotr Zieliński,Poland,Poland,59.0,38.0,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 15, 'name': 'Left Center Midfield'}",,0,0,0,0,0,2,2,5,0,0,Pass,Kacper Urbanski,Poland,0.0,0.0,Carry,Piotr Zieliński,Poland,True,61.0,False,False,False
131405,3938643,1,0,0,00:00:00.728,Carry,Piotr Zieliński,Poland,Poland,59.0,38.0,,1.862283,From Kick Off,,,,,,,,,,,,False,65.5,44.5,9.192388155425117,,False,,"{'id': 15, 'name': 'Left Center Midfield'}",,0,0,0,0,0,2,2,5,0,0,Ball Receipt*,Piotr Zieliński,Poland,0.0,0.0,Pass,Piotr Zieliński,Poland,True,61.0,False,False,False
131406,3938643,1,0,2,00:00:02.590,Pass,Piotr Zieliński,Poland,Poland,65.5,44.5,,0.670324,From Kick Off,Robert Lewandowski,9.585405,Ground Pass,,1.1631649,69.3,53.3,,,,,False,,,,,False,,"{'id': 15, 'name': 'Left Center Midfield'}",,0,0,0,0,0,2,2,5,0,0,Carry,Piotr Zieliński,Poland,0.0,0.0,Pressure,Aurélien Djani Tchouaméni,France,False,54.5,False,False,False
131407,3938643,1,0,3,00:00:03.097,Pressure,Aurélien Djani Tchouaméni,France,Poland,47.7,27.2,,1.268974,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 10, 'name': 'Center Defensive Midfield'}",,0,0,0,1,1,0,1,0,0,0,Pass,Piotr Zieliński,Poland,0.0,2.0,Ball Receipt*,Robert Lewandowski,Poland,False,72.3,False,False,False
131408,3938643,1,0,3,00:00:03.260,Ball Receipt*,Robert Lewandowski,Poland,Poland,69.3,53.3,True,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 24, 'name': 'Left Center Forward'}",,0,0,0,0,0,2,2,5,0,0,Pressure,Aurélien Djani Tchouaméni,France,0.0,3.0,Carry,Robert Lewandowski,Poland,True,50.7,False,False,True
