event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Georgia_score,Portugal_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
127740,3938644,1,0,0,00:00:00.000,Starting XI,,Georgia,Georgia,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,1,1,2,4,0,0,,,,,,Starting XI,,Portugal,False,,False,,False
127741,3938644,1,0,0,00:00:00.000,Starting XI,,Portugal,Georgia,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,2,0,0,5,1,0,0,Starting XI,,Georgia,0.0,0.0,Half Start,,Georgia,False,,False,,False
127742,3938644,1,0,0,00:00:00.000,Half Start,,Georgia,Georgia,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,1,1,2,4,0,0,Starting XI,,Portugal,0.0,0.0,Half Start,,Portugal,False,,False,,False
127743,3938644,1,0,0,00:00:00.000,Half Start,,Portugal,Georgia,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,2,0,0,5,1,0,0,Half Start,,Georgia,0.0,0.0,Pass,João Neves,Portugal,True,,False,,False
127744,3938644,1,0,0,00:00:00.905,Pass,João Neves,Portugal,Portugal,61.0,40.1,,1.600293,From Kick Off,Gonçalo Bernardo Inácio,22.055386,Ground Pass,,-2.608949,42.0,28.9,,,,,False,,,,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,0,0,0,2,0,0,5,1,0,0,Half Start,,Portugal,0.0,0.0,Ball Receipt*,Gonçalo Bernardo Inácio,Portugal,True,59.0,False,False,False
127745,3938644,1,0,2,00:00:02.505,Ball Receipt*,Gonçalo Bernardo Inácio,Portugal,Portugal,42.0,28.9,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,2,0,0,5,1,0,0,Pass,João Neves,Portugal,0.0,0.0,Carry,Gonçalo Bernardo Inácio,Portugal,True,78.0,False,False,False
127746,3938644,1,0,2,00:00:02.505,Carry,Gonçalo Bernardo Inácio,Portugal,Portugal,42.0,28.9,,1.216948,From Kick Off,,,,,,,,,,,,False,43.7,28.9,1.7000000000000028,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,2,0,0,5,1,0,0,Ball Receipt*,Gonçalo Bernardo Inácio,Portugal,0.0,2.0,Pass,Gonçalo Bernardo Inácio,Portugal,True,78.0,False,False,False
127747,3938644,1,0,3,00:00:03.722,Pass,Gonçalo Bernardo Inácio,Portugal,Portugal,43.7,28.9,,2.991699,From Kick Off,Cristiano Ronaldo dos Santos Aveiro,51.8788,High Pass,Incomplete,0.536122,88.3,55.4,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,2,0,0,5,1,0,0,Carry,Gonçalo Bernardo Inácio,Portugal,0.0,2.0,Ball Receipt*,Cristiano Ronaldo dos Santos Aveiro,Portugal,True,76.3,False,False,False
127748,3938644,1,0,6,00:00:06.714,Ball Receipt*,Cristiano Ronaldo dos Santos Aveiro,Portugal,Portugal,93.5,58.3,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,2,0,0,5,1,0,0,Pass,Gonçalo Bernardo Inácio,Portugal,0.0,3.0,Pass,Guram Kashia,Georgia,False,26.5,False,False,False
127749,3938644,1,0,6,00:00:06.714,Pass,Guram Kashia,Georgia,Georgia,31.8,24.7,,1.123339,Regular Play,Khvicha Kvaratskhelia,15.807909,High Pass,,-0.031635012,47.6,24.2,,,,,False,,,,,False,,"{'id': 4, 'name': 'Center Back'}",,0,0,0,0,1,1,2,4,0,0,Ball Receipt*,Cristiano Ronaldo dos Santos Aveiro,Portugal,0.0,6.0,Ball Receipt*,Khvicha Kvaratskhelia,Georgia,True,88.2,False,False,False
127750,3938644,1,0,7,00:00:07.837,Ball Receipt*,Khvicha Kvaratskhelia,Georgia,Georgia,47.6,24.2,,,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 24, 'name': 'Left Center Forward'}",,0,0,0,0,1,1,2,4,0,0,Pass,Guram Kashia,Georgia,0.0,6.0,Carry,Khvicha Kvaratskhelia,Georgia,True,72.4,False,False,False
127751,3938644,1,0,7,00:00:07.837,Carry,Khvicha Kvaratskhelia,Georgia,Georgia,47.6,24.2,,0.072850004,Regular Play,,,,,,,,,,,,False,47.7,24.7,0.5099019513592787,,False,,"{'id': 24, 'name': 'Left Center Forward'}",,0,0,0,0,1,1,2,4,0,0,Ball Receipt*,Khvicha Kvaratskhelia,Georgia,0.0,7.0,Pass,Khvicha Kvaratskhelia,Georgia,True,72.4,False,False,False
127752,3938644,1,0,7,00:00:07.910,Pass,Khvicha Kvaratskhelia,Georgia,Georgia,47.7,24.7,,0.521251,Regular Play,Otar Kiteishvili,8.321658,Ground Pass,,3.069429,39.4,25.3,,,,,False,,,,,False,,"{'id': 24, 'name': 'Left Center Forward'}",,0,0,0,0,1,1,2,4,0,0,Carry,Khvicha Kvaratskhelia,Georgia,0.0,7.0,Ball Receipt*,Otar Kiteishvili,Georgia,True,72.3,False,False,False
127753,3938644,1,0,8,00:00:08.431,Ball Receipt*,Otar Kiteishvili,Georgia,Georgia,39.4,25.3,,,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 10, 'name': 'Center Defensive Midfield'}",,0,0,0,0,1,1,2,4,0,0,Pass,Khvicha Kvaratskhelia,Georgia,0.0,7.0,Carry,Otar Kiteishvili,Georgia,True,80.6,False,False,False
127754,3938644,1,0,8,00:00:08.431,Carry,Otar Kiteishvili,Georgia,Georgia,39.4,25.3,True,0.692058,Regular Play,,,,,,,,,,,,False,43.6,28.2,5.10392006206994,,False,,"{'id': 10, 'name': 'Center Defensive Midfield'}",,0,0,0,0,1,1,2,4,0,0,Ball Receipt*,Otar Kiteishvili,Georgia,0.0,8.0,Pressure,João Neves,Portugal,False,80.6,False,False,False
127755,3938644,1,0,8,00:00:08.741,Pressure,João Neves,Portugal,Georgia,78.9,51.6,,0.35613,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,0,0,0,2,0,0,5,1,0,0,Carry,Otar Kiteishvili,Georgia,0.0,8.0,Pass,Otar Kiteishvili,Georgia,False,41.099999999999994,False,False,False
