event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,spain_score,england_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure,event_commentary,sequence_id,sequence_commentary,sequence_length
76428,3940878,1,0,0,00:00:00.000,Starting XI,,Switzerland,Switzerland,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,2,0,5,3,0,0,,,,,,Starting XI,,Italy,False,,False,,False,Starting XI,1,"[0:00] Starting XI . Starting XI, Half Start . Half Start, 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Italy and Switzerland. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Breel-Donald Embolo under pressure, plays a medium pass back along the ground to Manuel Obafemi Akanji",10
76429,3940878,1,0,0,00:00:00.000,Starting XI,,Italy,Switzerland,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,1,1,3,3,0,0,Starting XI,,Switzerland,0.0,0.0,Half Start,,Italy,True,,False,,False,Starting XI,1,"[0:00] Starting XI . Starting XI, Half Start . Half Start, 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Italy and Switzerland. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Breel-Donald Embolo under pressure, plays a medium pass back along the ground to Manuel Obafemi Akanji",10
76430,3940878,1,0,0,00:00:00.000,Half Start,,Italy,Switzerland,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,1,1,3,3,0,0,Starting XI,,Italy,0.0,0.0,Half Start,,Switzerland,False,,False,,False,Half Start,1,"[0:00] Starting XI . Starting XI, Half Start . Half Start, 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Italy and Switzerland. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Breel-Donald Embolo under pressure, plays a medium pass back along the ground to Manuel Obafemi Akanji",10
76431,3940878,1,0,0,00:00:00.000,Half Start,,Switzerland,Switzerland,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,2,0,5,3,0,0,Half Start,,Italy,0.0,0.0,Pass,Breel-Donald Embolo,Switzerland,True,,False,,False,Half Start,1,"[0:00] Starting XI . Starting XI, Half Start . Half Start, 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Italy and Switzerland. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Breel-Donald Embolo under pressure, plays a medium pass back along the ground to Manuel Obafemi Akanji",10
76432,3940878,1,0,0,00:00:00.595,Pass,Breel-Donald Embolo,Switzerland,Switzerland,61.0,40.1,,1.449353,From Kick Off,Manuel Obafemi Akanji,19.68248,Ground Pass,,3.0500128,41.4,41.9,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,1,2,0,5,3,1,0,Half Start,,Switzerland,0.0,0.0,Ball Receipt*,Manuel Obafemi Akanji,Switzerland,True,59.0,False,False,False,"🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Italy and Switzerland. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Breel-Donald Embolo under pressure, plays a medium pass back along the ground to Manuel Obafemi Akanji",1,"[0:00] Starting XI . Starting XI, Half Start . Half Start, 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Italy and Switzerland. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Breel-Donald Embolo under pressure, plays a medium pass back along the ground to Manuel Obafemi Akanji",10
76433,3940878,1,0,2,00:00:02.045,Ball Receipt*,Manuel Obafemi Akanji,Switzerland,Switzerland,41.4,41.9,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 4, 'name': 'Center Back'}",,0,0,0,1,2,0,5,3,0,0,Pass,Breel-Donald Embolo,Switzerland,0.0,0.0,Carry,Manuel Obafemi Akanji,Switzerland,True,78.6,False,False,False,Manuel Obafemi Akanji receives,1,"[0:00] Starting XI . Starting XI, Half Start . Half Start, 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Italy and Switzerland. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Breel-Donald Embolo under pressure, plays a medium pass back along the ground to Manuel Obafemi Akanji",10
76434,3940878,1,0,2,00:00:02.045,Carry,Manuel Obafemi Akanji,Switzerland,Switzerland,41.4,41.9,,2.451365,From Kick Off,,,,,,,,,,,,False,42.1,42.2,0.7615773105863951,,False,,"{'id': 4, 'name': 'Center Back'}",,0,0,0,1,2,0,5,3,0,0,Ball Receipt*,Manuel Obafemi Akanji,Switzerland,0.0,2.0,Pass,Manuel Obafemi Akanji,Switzerland,True,78.6,False,False,False,"Manuel Obafemi Akanji under pressure, carries the ball",1,"[0:00] Starting XI . Starting XI, Half Start . Half Start, 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Italy and Switzerland. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Breel-Donald Embolo under pressure, plays a medium pass back along the ground to Manuel Obafemi Akanji",10
76435,3940878,1,0,4,00:00:04.496,Pass,Manuel Obafemi Akanji,Switzerland,Switzerland,42.1,42.2,,1.372142,From Kick Off,Fabian Lukas Schär,22.214409,Ground Pass,,1.5347759,42.9,64.4,,,,,False,,,,,False,,"{'id': 4, 'name': 'Center Back'}",,0,0,0,1,2,0,5,3,0,0,Carry,Manuel Obafemi Akanji,Switzerland,0.0,2.0,Ball Receipt*,Fabian Lukas Schär,Switzerland,True,77.9,False,False,False,"🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Italy and Switzerland. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Manuel Obafemi Akanji under pressure, plays a medium pass along the ground to Fabian Lukas Schär",1,"[0:00] Starting XI . Starting XI, Half Start . Half Start, 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Italy and Switzerland. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Breel-Donald Embolo under pressure, plays a medium pass back along the ground to Manuel Obafemi Akanji",10
76436,3940878,1,0,5,00:00:05.868,Ball Receipt*,Fabian Lukas Schär,Switzerland,Switzerland,42.9,64.4,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,2,0,5,3,0,0,Pass,Manuel Obafemi Akanji,Switzerland,0.0,4.0,Carry,Fabian Lukas Schär,Switzerland,True,77.1,False,False,False,Fabian Lukas Schär receives,1,"[0:00] Starting XI . Starting XI, Half Start . Half Start, 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Italy and Switzerland. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Breel-Donald Embolo under pressure, plays a medium pass back along the ground to Manuel Obafemi Akanji",10
76437,3940878,1,0,5,00:00:05.868,Carry,Fabian Lukas Schär,Switzerland,Switzerland,42.9,64.4,True,1.922597,From Kick Off,,,,,,,,,,,,False,42.6,58.0,6.407027391856544,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,2,0,5,3,0,0,Ball Receipt*,Fabian Lukas Schär,Switzerland,0.0,5.0,Pressure,Stephan El Shaarawy,Italy,False,77.1,False,False,False,"Fabian Lukas Schär under pressure, carries the ball - BUT LOSES IT!",1,"[0:00] Starting XI . Starting XI, Half Start . Half Start, 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Italy and Switzerland. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Breel-Donald Embolo under pressure, plays a medium pass back along the ground to Manuel Obafemi Akanji",10
