event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Germany_score,Denmark_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
72788,3940983,1,0,0,00:00:00.000,Starting XI,,Germany,Germany,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,2,1,0,8,2,0,0,,,,,,Starting XI,,Denmark,False,,False,,False
72789,3940983,1,0,0,00:00:00.000,Starting XI,,Denmark,Germany,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,3,0,2,2,0,0,Starting XI,,Germany,0.0,0.0,Half Start,,Germany,False,,False,,False
72790,3940983,1,0,0,00:00:00.000,Half Start,,Germany,Germany,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,2,1,0,8,2,0,0,Starting XI,,Denmark,0.0,0.0,Half Start,,Denmark,False,,False,,False
72791,3940983,1,0,0,00:00:00.000,Half Start,,Denmark,Germany,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,3,0,2,2,0,0,Half Start,,Germany,0.0,0.0,Pass,Leroy Sané,Germany,False,,False,,False
72792,3940983,1,0,0,00:00:00.546,Pass,Leroy Sané,Germany,Germany,61.0,40.1,,1.386803,From Kick Off,Joshua Kimmich,21.780037,Ground Pass,,2.4374485,44.4,54.2,,,,,False,,,,,False,,"{'id': 17, 'name': 'Right Wing'}",,0,0,0,2,1,0,8,2,0,0,Half Start,,Denmark,0.0,0.0,Ball Receipt*,Joshua Kimmich,Germany,True,59.0,False,False,False
72793,3940983,1,0,1,00:00:01.933,Ball Receipt*,Joshua Kimmich,Germany,Germany,44.4,54.2,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,2,1,0,8,2,0,0,Pass,Leroy Sané,Germany,0.0,0.0,Carry,Joshua Kimmich,Germany,True,75.6,False,False,False
72794,3940983,1,0,1,00:00:01.933,Carry,Joshua Kimmich,Germany,Germany,44.4,54.2,,1.282156,From Kick Off,,,,,,,,,,,,False,49.7,57.0,5.994163828258285,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,2,1,0,8,2,0,0,Ball Receipt*,Joshua Kimmich,Germany,0.0,1.0,Pass,Joshua Kimmich,Germany,True,75.6,False,False,False
72795,3940983,1,0,3,00:00:03.215,Pass,Joshua Kimmich,Germany,Germany,49.7,57.0,,1.2,From Kick Off,Jamal Musiala,26.722649,Ground Pass,,0.88612,66.6,77.7,,,,,False,,,,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,2,1,0,8,2,0,0,Carry,Joshua Kimmich,Germany,0.0,1.0,Ball Receipt*,Jamal Musiala,Germany,True,70.3,False,False,False
72796,3940983,1,0,4,00:00:04.415,Ball Receipt*,Jamal Musiala,Germany,Germany,66.6,77.7,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 21, 'name': 'Left Wing'}",,0,0,0,2,1,0,8,2,2,0,Pass,Joshua Kimmich,Germany,0.0,3.0,Carry,Jamal Musiala,Germany,True,53.400000000000006,False,False,False
72797,3940983,1,0,4,00:00:04.415,Carry,Jamal Musiala,Germany,Germany,66.6,77.7,,1.408473,From Kick Off,,,,,,,,,,,,False,69.8,78.4,3.2756678708318434,,False,,"{'id': 21, 'name': 'Left Wing'}",,0,0,0,2,1,0,8,2,2,0,Ball Receipt*,Jamal Musiala,Germany,0.0,4.0,Pass,Jamal Musiala,Germany,True,53.400000000000006,False,False,False
