event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,England_score,Slovakia_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
60461,3941017,1,0,0,00:00:00.000,Starting XI,,England,England,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,2,0,2,1,0,0,,,,,,Starting XI,,Slovakia,False,,False,,False
60462,3941017,1,0,0,00:00:00.000,Starting XI,,Slovakia,England,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,1,1,3,3,0,0,Starting XI,,England,0.0,0.0,Half Start,,England,False,,False,,False
60463,3941017,1,0,0,00:00:00.000,Half Start,,England,England,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,2,0,2,1,0,0,Starting XI,,Slovakia,0.0,0.0,Half Start,,Slovakia,False,,False,,False
60464,3941017,1,0,0,00:00:00.000,Half Start,,Slovakia,England,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,1,1,3,3,0,0,Half Start,,England,0.0,0.0,Pass,David Strelec,Slovakia,True,,False,,False
60465,3941017,1,0,0,00:00:00.372,Pass,David Strelec,Slovakia,Slovakia,61.0,40.1,,1.742286,From Kick Off,Milan Škriniar,23.717083,Ground Pass,,-3.1036363,37.3,39.2,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,1,1,1,3,3,0,0,Half Start,,Slovakia,0.0,0.0,Ball Receipt*,Milan Škriniar,Slovakia,True,59.0,False,False,False
60466,3941017,1,0,2,00:00:02.114,Ball Receipt*,Milan Škriniar,Slovakia,Slovakia,37.3,39.2,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,1,1,3,3,0,0,Pass,David Strelec,Slovakia,0.0,0.0,Carry,Milan Škriniar,Slovakia,True,82.7,False,False,False
60467,3941017,1,0,2,00:00:02.114,Carry,Milan Škriniar,Slovakia,Slovakia,37.3,39.2,,0.189915,From Kick Off,,,,,,,,,,,,False,36.7,38.2,1.166190378969057,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,1,1,3,3,0,0,Ball Receipt*,Milan Škriniar,Slovakia,0.0,2.0,Pass,Milan Škriniar,Slovakia,True,82.7,False,False,False
60468,3941017,1,0,2,00:00:02.304,Pass,Milan Škriniar,Slovakia,Slovakia,36.7,38.2,,1.019313,From Kick Off,Denis Vavro,3.3241541,Ground Pass,,1.2966288,37.6,41.4,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,1,1,3,3,0,0,Carry,Milan Škriniar,Slovakia,0.0,2.0,Ball Receipt*,Denis Vavro,Slovakia,True,83.3,False,False,False
60469,3941017,1,0,3,00:00:03.323,Ball Receipt*,Denis Vavro,Slovakia,Slovakia,37.6,41.4,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,1,1,3,3,0,0,Pass,Milan Škriniar,Slovakia,0.0,2.0,Carry,Denis Vavro,Slovakia,True,82.4,False,False,False
60470,3941017,1,0,3,00:00:03.323,Carry,Denis Vavro,Slovakia,Slovakia,37.6,41.4,,0.070808,From Kick Off,,,,,,,,,,,,False,37.6,41.4,0.0,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,1,1,3,3,0,0,Ball Receipt*,Denis Vavro,Slovakia,0.0,3.0,Pass,Denis Vavro,Slovakia,True,82.4,False,False,False
60471,3941017,1,0,3,00:00:03.394,Pass,Denis Vavro,Slovakia,Slovakia,37.6,41.4,,0.345035,From Kick Off,David Strelec,9.241753,High Pass,Incomplete,-0.22923194,46.6,39.3,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,1,1,3,3,0,0,Carry,Denis Vavro,Slovakia,0.0,3.0,Ball Receipt*,David Strelec,Slovakia,True,82.4,False,False,False
60472,3941017,1,0,3,00:00:03.739,Ball Receipt*,David Strelec,Slovakia,Slovakia,77.3,28.7,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,1,1,1,3,3,0,0,Pass,Denis Vavro,Slovakia,0.0,3.0,Block,Harry Kane,England,False,42.7,False,False,False
60473,3941017,1,0,3,00:00:03.739,Block,Harry Kane,England,Slovakia,73.5,40.8,,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,1,2,0,2,1,1,0,Ball Receipt*,David Strelec,Slovakia,0.0,3.0,Ball Recovery,Martin Dúbravka,Slovakia,False,46.5,False,False,False
60474,3941017,1,0,6,00:00:06.003,Ball Recovery,Martin Dúbravka,Slovakia,Slovakia,10.2,36.0,,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,1,1,1,3,3,0,0,Block,Harry Kane,England,0.0,3.0,Carry,Martin Dúbravka,Slovakia,True,109.8,False,False,False
60475,3941017,1,0,6,00:00:06.003,Carry,Martin Dúbravka,Slovakia,Slovakia,10.2,36.0,,3.241798,From Kick Off,,,,,,,,,,,,False,15.5,34.7,5.457105459856901,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,1,1,1,3,3,0,0,Ball Recovery,Martin Dúbravka,Slovakia,0.0,6.0,Pass,Martin Dúbravka,Slovakia,True,109.8,False,False,False
60476,3941017,1,0,9,00:00:09.244,Pass,Martin Dúbravka,Slovakia,Slovakia,15.5,34.7,,2.207613,From Kick Off,Denis Vavro,25.360008,Ground Pass,,0.92808384,30.7,55.0,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,1,1,1,3,3,0,0,Carry,Martin Dúbravka,Slovakia,0.0,6.0,Ball Receipt*,Denis Vavro,Slovakia,True,104.5,False,False,False
60477,3941017,1,0,11,00:00:11.452,Ball Receipt*,Denis Vavro,Slovakia,Slovakia,30.7,55.0,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,1,1,3,3,0,0,Pass,Martin Dúbravka,Slovakia,0.0,9.0,Carry,Denis Vavro,Slovakia,True,89.3,False,False,False
60478,3941017,1,0,11,00:00:11.452,Carry,Denis Vavro,Slovakia,Slovakia,30.7,55.0,,4.187953,From Kick Off,,,,,,,,,,,,False,33.7,54.1,3.132091952673168,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,1,1,3,3,0,0,Ball Receipt*,Denis Vavro,Slovakia,0.0,11.0,Pass,Denis Vavro,Slovakia,True,89.3,False,False,False
60479,3941017,1,0,15,00:00:15.640,Pass,Denis Vavro,Slovakia,Slovakia,33.7,54.1,,1.348232,From Kick Off,Ondrej Duda,36.53122,Low Pass,,-0.86484224,57.4,26.3,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,1,1,3,3,0,0,Carry,Denis Vavro,Slovakia,0.0,11.0,Ball Receipt*,Ondrej Duda,Slovakia,True,86.3,False,False,False
60480,3941017,1,0,16,00:00:16.988,Ball Receipt*,Ondrej Duda,Slovakia,Slovakia,57.4,26.3,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 15, 'name': 'Left Center Midfield'}",,0,0,0,1,1,1,3,3,1,0,Pass,Denis Vavro,Slovakia,0.0,15.0,Carry,Ondrej Duda,Slovakia,True,62.6,False,False,False
60481,3941017,1,0,16,00:00:16.988,Carry,Ondrej Duda,Slovakia,Slovakia,57.4,26.3,True,3.579567,From Kick Off,,,,,,,,,,,,False,50.4,20.6,9.027181176868003,,False,,"{'id': 15, 'name': 'Left Center Midfield'}",,0,0,0,1,1,1,3,3,1,0,Ball Receipt*,Ondrej Duda,Slovakia,0.0,16.0,Pressure,Kobbie Mainoo,England,False,62.6,False,False,False
60482,3941017,1,0,17,00:00:17.400,Pressure,Kobbie Mainoo,England,Slovakia,60.5,52.0,,0.856831,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,0,0,0,1,2,0,2,1,0,0,Carry,Ondrej Duda,Slovakia,0.0,16.0,Pass,Ondrej Duda,Slovakia,False,59.5,False,False,False
60483,3941017,1,0,20,00:00:20.568,Pass,Ondrej Duda,Slovakia,Slovakia,50.4,20.6,,1.376495,From Kick Off,Milan Škriniar,17.41551,Ground Pass,,-2.9509537,33.3,17.3,,,,,False,,,,,False,,"{'id': 15, 'name': 'Left Center Midfield'}",,0,0,0,1,1,1,3,3,1,0,Pressure,Kobbie Mainoo,England,0.0,17.0,Ball Receipt*,Milan Škriniar,Slovakia,True,69.6,False,False,False
60484,3941017,1,0,21,00:00:21.944,Ball Receipt*,Milan Škriniar,Slovakia,Slovakia,33.3,17.3,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,1,1,3,3,0,0,Pass,Ondrej Duda,Slovakia,0.0,20.0,Carry,Milan Škriniar,Slovakia,True,86.7,False,False,False
60485,3941017,1,0,21,00:00:21.944,Carry,Milan Škriniar,Slovakia,Slovakia,33.3,17.3,,0.83921,From Kick Off,,,,,,,,,,,,False,33.3,17.3,0.0,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,1,1,3,3,0,0,Ball Receipt*,Milan Škriniar,Slovakia,0.0,21.0,Pass,Milan Škriniar,Slovakia,True,86.7,False,False,False
60486,3941017,1,0,22,00:00:22.784,Pass,Milan Škriniar,Slovakia,Slovakia,33.3,17.3,,1.212714,From Kick Off,Stanislav Lobotka,10.55462,Ground Pass,,0.47212198,42.7,22.1,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,1,1,3,3,0,0,Carry,Milan Škriniar,Slovakia,0.0,21.0,Ball Receipt*,Stanislav Lobotka,Slovakia,True,86.7,False,False,False
60487,3941017,1,0,23,00:00:23.996,Ball Receipt*,Stanislav Lobotka,Slovakia,Slovakia,42.7,22.1,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 10, 'name': 'Center Defensive Midfield'}",,0,0,0,1,1,1,3,3,0,0,Pass,Milan Škriniar,Slovakia,0.0,22.0,Carry,Stanislav Lobotka,Slovakia,True,77.3,False,False,False
60488,3941017,1,0,23,00:00:23.996,Carry,Stanislav Lobotka,Slovakia,Slovakia,42.7,22.1,,0.134718,From Kick Off,,,,,,,,,,,,False,42.0,22.1,0.7000000000000028,,False,,"{'id': 10, 'name': 'Center Defensive Midfield'}",,0,0,0,1,1,1,3,3,0,0,Ball Receipt*,Stanislav Lobotka,Slovakia,0.0,23.0,Pass,Stanislav Lobotka,Slovakia,True,77.3,False,False,False
60489,3941017,1,0,24,00:00:24.131,Pass,Stanislav Lobotka,Slovakia,Slovakia,42.0,22.1,,1.541983,From Kick Off,Milan Škriniar,13.723338,Ground Pass,,-1.9594216,36.8,9.4,,,,,False,,,,,False,,"{'id': 10, 'name': 'Center Defensive Midfield'}",,0,0,0,1,1,1,3,3,0,0,Carry,Stanislav Lobotka,Slovakia,0.0,23.0,Ball Receipt*,Milan Škriniar,Slovakia,True,78.0,False,False,False
60490,3941017,1,0,25,00:00:25.673,Ball Receipt*,Milan Škriniar,Slovakia,Slovakia,36.8,9.4,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,1,1,3,3,0,0,Pass,Stanislav Lobotka,Slovakia,0.0,24.0,Carry,Milan Škriniar,Slovakia,True,83.2,False,False,False
60491,3941017,1,0,25,00:00:25.673,Carry,Milan Škriniar,Slovakia,Slovakia,36.8,9.4,,1.117718,From Kick Off,,,,,,,,,,,,False,42.9,6.2,6.888396039717811,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,1,1,3,3,0,0,Ball Receipt*,Milan Škriniar,Slovakia,0.0,25.0,Pass,Milan Škriniar,Slovakia,True,83.2,False,False,False
