event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Spain_score,Georgia_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
56512,3941018,1,0,0,00:00:00.000,Starting XI,,Spain,Spain,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,3,0,0,5,0,0,0,,,,,,Starting XI,,Georgia,False,,False,,False
56513,3941018,1,0,0,00:00:00.000,Starting XI,,Georgia,Spain,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,1,1,4,4,0,0,Starting XI,,Spain,0.0,0.0,Half Start,,Georgia,True,,False,,False
56514,3941018,1,0,0,00:00:00.000,Half Start,,Georgia,Spain,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,1,1,4,4,0,0,Starting XI,,Georgia,0.0,0.0,Half Start,,Spain,False,,False,,False
56515,3941018,1,0,0,00:00:00.000,Half Start,,Spain,Spain,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,3,0,0,5,0,0,0,Half Start,,Georgia,0.0,0.0,Pass,Álvaro Borja Morata Martín,Spain,True,,False,,False
56516,3941018,1,0,0,00:00:00.662,Pass,Álvaro Borja Morata Martín,Spain,Spain,61.0,40.1,,1.223373,From Kick Off,Rodrigo Hernández Cascante,14.5,Ground Pass,,-3.024081,46.6,38.4,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,3,0,0,5,0,1,0,Half Start,,Spain,0.0,0.0,Ball Receipt*,Rodrigo Hernández Cascante,Spain,True,59.0,False,False,False
56517,3941018,1,0,1,00:00:01.885,Ball Receipt*,Rodrigo Hernández Cascante,Spain,Spain,46.6,38.4,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 10, 'name': 'Center Defensive Midfield'}",,0,0,0,3,0,0,5,0,0,0,Pass,Álvaro Borja Morata Martín,Spain,0.0,0.0,Carry,Rodrigo Hernández Cascante,Spain,True,73.4,False,False,False
56518,3941018,1,0,1,00:00:01.885,Carry,Rodrigo Hernández Cascante,Spain,Spain,46.6,38.4,,0.878513,From Kick Off,,,,,,,,,,,,False,48.9,39.0,2.37697286480094,,False,,"{'id': 10, 'name': 'Center Defensive Midfield'}",,0,0,0,3,0,0,5,0,0,0,Ball Receipt*,Rodrigo Hernández Cascante,Spain,0.0,1.0,Pass,Rodrigo Hernández Cascante,Spain,True,73.4,False,False,False
56519,3941018,1,0,2,00:00:02.764,Pass,Rodrigo Hernández Cascante,Spain,Spain,48.9,39.0,,1.444373,From Kick Off,Robin Aime Robert Le Normand,12.0440855,Ground Pass,,2.0827334,43.0,49.5,,,,,False,,,,,False,,"{'id': 10, 'name': 'Center Defensive Midfield'}",,0,0,0,3,0,0,5,0,0,0,Carry,Rodrigo Hernández Cascante,Spain,0.0,1.0,Ball Receipt*,Robin Aime Robert Le Normand,Spain,True,71.1,False,False,False
56520,3941018,1,0,4,00:00:04.208,Ball Receipt*,Robin Aime Robert Le Normand,Spain,Spain,43.0,49.5,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,3,0,0,5,0,0,0,Pass,Rodrigo Hernández Cascante,Spain,0.0,2.0,Carry,Robin Aime Robert Le Normand,Spain,True,77.0,False,False,False
56521,3941018,1,0,4,00:00:04.208,Carry,Robin Aime Robert Le Normand,Spain,Spain,43.0,49.5,,0.764798,From Kick Off,,,,,,,,,,,,False,41.5,53.7,4.4598206241955545,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,3,0,0,5,0,0,0,Ball Receipt*,Robin Aime Robert Le Normand,Spain,0.0,4.0,Pass,Robin Aime Robert Le Normand,Spain,True,77.0,False,False,False
56522,3941018,1,0,4,00:00:04.973,Pass,Robin Aime Robert Le Normand,Spain,Spain,41.5,53.7,,1.202941,From Kick Off,Daniel Carvajal Ramos,22.671568,Ground Pass,,0.84781694,56.5,70.7,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,3,0,0,5,0,0,0,Carry,Robin Aime Robert Le Normand,Spain,0.0,4.0,Ball Receipt*,Daniel Carvajal Ramos,Spain,True,78.5,False,False,False
56523,3941018,1,0,6,00:00:06.176,Ball Receipt*,Daniel Carvajal Ramos,Spain,Spain,56.5,70.7,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,3,0,0,5,0,1,0,Pass,Robin Aime Robert Le Normand,Spain,0.0,4.0,Carry,Daniel Carvajal Ramos,Spain,True,63.5,False,False,False
56524,3941018,1,0,6,00:00:06.176,Carry,Daniel Carvajal Ramos,Spain,Spain,56.5,70.7,,4.154099,From Kick Off,,,,,,,,,,,,False,69.6,73.5,13.395894893585863,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,3,0,0,5,0,1,0,Ball Receipt*,Daniel Carvajal Ramos,Spain,0.0,6.0,Pass,Daniel Carvajal Ramos,Spain,True,63.5,False,False,False
56525,3941018,1,0,10,00:00:10.330,Pass,Daniel Carvajal Ramos,Spain,Spain,69.6,73.5,,1.656547,From Kick Off,Robin Aime Robert Le Normand,19.773973,Ground Pass,,-2.6055098,52.6,63.4,,,,,False,,,,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,3,0,0,5,0,1,0,Carry,Daniel Carvajal Ramos,Spain,0.0,6.0,Ball Receipt*,Robin Aime Robert Le Normand,Spain,True,50.400000000000006,False,False,False
56526,3941018,1,0,11,00:00:11.986,Ball Receipt*,Robin Aime Robert Le Normand,Spain,Spain,52.6,63.4,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,3,0,0,5,0,0,0,Pass,Daniel Carvajal Ramos,Spain,0.0,10.0,Carry,Robin Aime Robert Le Normand,Spain,True,67.4,False,False,False
56527,3941018,1,0,11,00:00:11.986,Carry,Robin Aime Robert Le Normand,Spain,Spain,52.6,63.4,,1.87949,From Kick Off,,,,,,,,,,,,False,53.5,57.0,6.462971452822608,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,3,0,0,5,0,0,0,Ball Receipt*,Robin Aime Robert Le Normand,Spain,0.0,11.0,Pass,Robin Aime Robert Le Normand,Spain,True,67.4,False,False,False
56528,3941018,1,0,13,00:00:13.866,Pass,Robin Aime Robert Le Normand,Spain,Spain,53.5,57.0,,1.652866,From Kick Off,Aymeric Laporte,33.807987,Ground Pass,,-1.4908484,56.2,23.3,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,3,0,0,5,0,0,0,Carry,Robin Aime Robert Le Normand,Spain,0.0,11.0,Ball Receipt*,Aymeric Laporte,Spain,True,66.5,False,False,False
56529,3941018,1,0,15,00:00:15.519,Ball Receipt*,Aymeric Laporte,Spain,Spain,56.2,23.3,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,3,0,0,5,0,0,0,Pass,Robin Aime Robert Le Normand,Spain,0.0,13.0,Carry,Aymeric Laporte,Spain,True,63.8,False,False,False
56530,3941018,1,0,15,00:00:15.519,Carry,Aymeric Laporte,Spain,Spain,56.2,23.3,,1.477338,From Kick Off,,,,,,,,,,,,False,63.0,19.0,8.04549563420427,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,3,0,0,5,0,0,0,Ball Receipt*,Aymeric Laporte,Spain,0.0,15.0,Pass,Aymeric Laporte,Spain,True,63.8,False,False,False
