event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Portugal_score,Slovenia_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
48350,3941020,1,0,0,00:00:00.000,Starting XI,,Portugal,Portugal,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,2,0,1,5,3,0,0,,,,,,Starting XI,,Slovenia,False,,False,,False
48351,3941020,1,0,0,00:00:00.000,Starting XI,,Slovenia,Portugal,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,3,0,2,2,0,0,Starting XI,,Portugal,0.0,0.0,Half Start,,Portugal,False,,False,,False
48352,3941020,1,0,0,00:00:00.000,Half Start,,Portugal,Portugal,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,2,0,1,5,3,0,0,Starting XI,,Slovenia,0.0,0.0,Half Start,,Slovenia,False,,False,,False
48353,3941020,1,0,0,00:00:00.000,Half Start,,Slovenia,Portugal,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,0,3,0,2,2,0,0,Half Start,,Portugal,0.0,0.0,Pass,Bruno Miguel Borges Fernandes,Portugal,False,,False,,False
48354,3941020,1,0,0,00:00:00.547,Pass,Bruno Miguel Borges Fernandes,Portugal,Portugal,61.0,40.1,,1.337765,From Kick Off,Nuno Mendes,20.50878,Ground Pass,,-3.1123328,40.5,39.5,,,,,False,,,,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,2,0,1,5,3,1,0,Half Start,,Slovenia,0.0,0.0,Ball Receipt*,Nuno Mendes,Portugal,True,59.0,False,False,False
48355,3941020,1,0,1,00:00:01.885,Ball Receipt*,Nuno Mendes,Portugal,Portugal,40.5,39.5,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,2,0,1,5,3,0,0,Pass,Bruno Miguel Borges Fernandes,Portugal,0.0,0.0,Carry,Nuno Mendes,Portugal,True,79.5,False,False,False
48356,3941020,1,0,1,00:00:01.885,Carry,Nuno Mendes,Portugal,Portugal,40.5,39.5,,1.567461,From Kick Off,,,,,,,,,,,,False,45.3,40.2,4.850773134253959,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,2,0,1,5,3,0,0,Ball Receipt*,Nuno Mendes,Portugal,0.0,1.0,Pass,Nuno Mendes,Portugal,True,79.5,False,False,False
48357,3941020,1,0,3,00:00:03.453,Pass,Nuno Mendes,Portugal,Portugal,45.3,40.2,,3.027435,From Kick Off,,51.62887,High Pass,Incomplete,0.34992936,93.8,57.9,,,,,False,,,,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,2,0,1,5,3,0,0,Carry,Nuno Mendes,Portugal,0.0,1.0,Interception,Jaka Bijol,Slovenia,False,74.7,False,False,False
48358,3941020,1,0,6,00:00:06.480,Interception,Jaka Bijol,Slovenia,Portugal,26.3,22.2,,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,0,3,0,2,2,0,0,Pass,Nuno Mendes,Portugal,0.0,3.0,Ball Recovery,Bernardo Mota Veiga de Carvalho e Silva,Portugal,False,93.7,False,False,False
48359,3941020,1,0,8,00:00:08.013,Ball Recovery,Bernardo Mota Veiga de Carvalho e Silva,Portugal,Portugal,106.9,70.5,,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 17, 'name': 'Right Wing'}",,0,0,0,2,0,1,5,3,1,0,Interception,Jaka Bijol,Slovenia,0.0,6.0,Carry,Bernardo Mota Veiga de Carvalho e Silva,Portugal,True,13.099999999999994,False,True,False
48360,3941020,1,0,8,00:00:08.013,Carry,Bernardo Mota Veiga de Carvalho e Silva,Portugal,Portugal,106.9,70.5,True,1.87586,From Kick Off,,,,,,,,,,,,False,111.8,74.2,6.140032573203496,,False,,"{'id': 17, 'name': 'Right Wing'}",,0,0,0,2,0,1,5,3,1,0,Ball Recovery,Bernardo Mota Veiga de Carvalho e Silva,Portugal,0.0,8.0,Pressure,Jure Balkovec,Slovenia,False,13.099999999999994,False,True,False
48361,3941020,1,0,8,00:00:08.539,Pressure,Jure Balkovec,Slovenia,Portugal,9.2,7.7,,1.402074,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,0,3,0,2,2,0,0,Carry,Bernardo Mota Veiga de Carvalho e Silva,Portugal,0.0,8.0,Pass,Bernardo Mota Veiga de Carvalho e Silva,Portugal,False,110.8,False,False,False
48362,3941020,1,0,9,00:00:09.888,Pass,Bernardo Mota Veiga de Carvalho e Silva,Portugal,Portugal,111.8,74.2,True,0.3254,From Kick Off,João Pedro Cavaco Cancelo,3.354102,Ground Pass,Incomplete,2.961739,108.5,74.8,,,,,False,,,,,False,,"{'id': 17, 'name': 'Right Wing'}",,0,0,0,2,0,1,5,3,1,0,Pressure,Jure Balkovec,Slovenia,0.0,8.0,Ball Receipt*,João Pedro Cavaco Cancelo,Portugal,True,8.200000000000003,False,True,True
