event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Romania_score,Netherlands_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
45354,3941021,1,0,0,00:00:00.000,Starting XI,,Romania,Romania,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,1,1,4,3,0,0,,,,,,Starting XI,,Netherlands,False,,False,,False
45355,3941021,1,0,0,00:00:00.000,Starting XI,,Netherlands,Romania,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,1,1,4,4,0,0,Starting XI,,Romania,0.0,0.0,Half Start,,Netherlands,True,,False,,False
45356,3941021,1,0,0,00:00:00.000,Half Start,,Netherlands,Romania,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,1,1,4,4,0,0,Starting XI,,Netherlands,0.0,0.0,Half Start,,Romania,False,,False,,False
45357,3941021,1,0,0,00:00:00.000,Half Start,,Romania,Romania,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,1,1,4,3,0,0,Half Start,,Netherlands,0.0,0.0,Pass,Memphis Depay,Netherlands,False,,False,,False
45358,3941021,1,0,0,00:00:00.313,Pass,Memphis Depay,Netherlands,Netherlands,60.0,40.0,,1.575442,From Kick Off,Stefan de Vrij,22.510887,Ground Pass,,-3.1104915,37.5,39.3,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,1,1,1,4,4,1,0,Half Start,,Romania,0.0,0.0,Ball Receipt*,Stefan de Vrij,Netherlands,True,60.0,False,False,False
45359,3941021,1,0,1,00:00:01.889,Ball Receipt*,Stefan de Vrij,Netherlands,Netherlands,37.5,39.3,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,1,1,4,4,0,0,Pass,Memphis Depay,Netherlands,0.0,0.0,Carry,Stefan de Vrij,Netherlands,True,82.5,False,False,False
45360,3941021,1,0,1,00:00:01.889,Carry,Stefan de Vrij,Netherlands,Netherlands,37.5,39.3,,1.518007,From Kick Off,,,,,,,,,,,,False,39.6,39.3,2.1000000000000014,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,1,1,4,4,0,0,Ball Receipt*,Stefan de Vrij,Netherlands,0.0,1.0,Pass,Stefan de Vrij,Netherlands,True,82.5,False,False,False
45361,3941021,1,0,3,00:00:03.407,Pass,Stefan de Vrij,Netherlands,Netherlands,39.6,39.3,,3.10207,From Kick Off,Cody Mathès Gakpo,62.005566,High Pass,,-0.523547,93.3,8.3,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,1,1,4,4,0,0,Carry,Stefan de Vrij,Netherlands,0.0,1.0,Ball Receipt*,Cody Mathès Gakpo,Netherlands,True,80.4,False,False,False
45362,3941021,1,0,6,00:00:06.509,Ball Receipt*,Cody Mathès Gakpo,Netherlands,Netherlands,93.3,8.3,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 21, 'name': 'Left Wing'}",,0,0,0,1,1,1,4,4,2,0,Pass,Stefan de Vrij,Netherlands,0.0,3.0,Duel,Andrei Florin Ratiu,Romania,False,26.700000000000003,False,False,False
45363,3941021,1,0,6,00:00:06.509,Duel,Andrei Florin Ratiu,Romania,Netherlands,26.8,71.8,True,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,1,1,1,4,3,0,0,Ball Receipt*,Cody Mathès Gakpo,Netherlands,0.0,6.0,Pass,Cody Mathès Gakpo,Netherlands,False,93.2,False,False,False
