event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Austria_score,Turkey_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
41632,3941022,1,0,0,00:00:00.000,Starting XI,,Austria,Austria,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,2,0,1,6,4,0,0,,,,,,Starting XI,,Turkey,False,,False,,False
41633,3941022,1,0,0,00:00:00.000,Starting XI,,Turkey,Austria,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,2,0,1,5,5,0,0,Starting XI,,Austria,0.0,0.0,Half Start,,Turkey,True,,False,,False
41634,3941022,1,0,0,00:00:00.000,Half Start,,Turkey,Austria,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,2,0,1,5,5,0,0,Starting XI,,Turkey,0.0,0.0,Half Start,,Austria,False,,False,,False
41635,3941022,1,0,0,00:00:00.000,Half Start,,Austria,Austria,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,2,0,1,6,4,0,0,Half Start,,Turkey,0.0,0.0,Pass,Konrad Laimer,Austria,True,,False,,False
41636,3941022,1,0,0,00:00:00.704,Pass,Konrad Laimer,Austria,Austria,61.0,40.1,,0.660922,From Kick Off,Christoph Baumgartner,5.3450913,Ground Pass,,1.2667954,62.6,45.2,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,2,0,1,6,4,0,0,Half Start,,Austria,0.0,0.0,Ball Receipt*,Christoph Baumgartner,Austria,True,59.0,False,False,False
41637,3941022,1,0,1,00:00:01.365,Ball Receipt*,Christoph Baumgartner,Austria,Austria,62.6,45.2,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,2,0,1,6,4,1,0,Pass,Konrad Laimer,Austria,0.0,0.0,Carry,Christoph Baumgartner,Austria,True,57.4,False,False,False
41638,3941022,1,0,1,00:00:01.365,Carry,Christoph Baumgartner,Austria,Austria,62.6,45.2,,1.073961,From Kick Off,,,,,,,,,,,,False,64.8,44.4,2.3409399821439223,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,2,0,1,6,4,1,0,Ball Receipt*,Christoph Baumgartner,Austria,0.0,1.0,Pass,Christoph Baumgartner,Austria,True,57.4,False,False,False
41639,3941022,1,0,2,00:00:02.439,Pass,Christoph Baumgartner,Austria,Austria,64.8,44.4,,1.7316,From Kick Off,Nicolas Seiwald,11.175867,Ground Pass,,-2.3815055,56.7,36.7,,,,,False,,,,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,2,0,1,6,4,1,0,Carry,Christoph Baumgartner,Austria,0.0,1.0,Ball Receipt*,Nicolas Seiwald,Austria,True,55.2,False,False,False
41640,3941022,1,0,4,00:00:04.170,Ball Receipt*,Nicolas Seiwald,Austria,Austria,56.7,36.7,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,0,0,0,2,0,1,6,4,0,0,Pass,Christoph Baumgartner,Austria,0.0,2.0,Pass,Nicolas Seiwald,Austria,True,63.3,False,False,False
41641,3941022,1,0,4,00:00:04.170,Pass,Nicolas Seiwald,Austria,Austria,55.0,36.5,,1.038983,From Kick Off,Philipp Mwene,14.669697,Ground Pass,,-1.7628443,52.2,22.1,,,,,False,,,,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,0,0,0,2,0,1,6,4,0,0,Ball Receipt*,Nicolas Seiwald,Austria,0.0,4.0,Ball Receipt*,Philipp Mwene,Austria,True,65.0,False,False,False
