event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Spain_score,Germany_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
30691,3942226,1,0,0,00:00:00.000,Starting XI,,Spain,Spain,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,4,0,0,9,1,0,0,,,,,,Starting XI,,Germany,False,,False,,False
30692,3942226,1,0,0,00:00:00.000,Starting XI,,Germany,Spain,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,3,1,0,10,2,0,0,Starting XI,,Spain,0.0,0.0,Half Start,,Germany,True,,False,,False
30693,3942226,1,0,0,00:00:00.000,Half Start,,Germany,Spain,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,3,1,0,10,2,0,0,Starting XI,,Germany,0.0,0.0,Half Start,,Spain,False,,False,,False
30694,3942226,1,0,0,00:00:00.000,Half Start,,Spain,Spain,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,4,0,0,9,1,0,0,Half Start,,Germany,0.0,0.0,Pass,Kai Havertz,Germany,False,,False,,False
30695,3942226,1,0,1,00:00:01.291,Pass,Kai Havertz,Germany,Germany,60.0,40.0,,0.645908,From Kick Off,Toni Kroos,3.3136084,Ground Pass,,-1.6614562,59.7,36.7,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,3,1,0,10,2,2,0,Half Start,,Spain,0.0,0.0,Ball Receipt*,Toni Kroos,Germany,True,60.0,False,False,False
30696,3942226,1,0,1,00:00:01.937,Ball Receipt*,Toni Kroos,Germany,Germany,59.7,36.7,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,3,1,0,10,2,0,0,Pass,Kai Havertz,Germany,0.0,1.0,Carry,Toni Kroos,Germany,True,60.3,False,False,False
30697,3942226,1,0,1,00:00:01.937,Carry,Toni Kroos,Germany,Germany,59.7,36.7,,1.634789,From Kick Off,,,,,,,,,,,,False,54.2,40.1,6.466065264130883,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,3,1,0,10,2,0,0,Ball Receipt*,Toni Kroos,Germany,0.0,1.0,Pass,Toni Kroos,Germany,True,60.3,False,False,False
30698,3942226,1,0,3,00:00:03.572,Pass,Toni Kroos,Germany,Germany,54.2,40.1,,2.104005,From Kick Off,Kai Havertz,37.400536,High Pass,Incomplete,-0.25405753,90.4,30.7,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,3,1,0,10,2,0,0,Carry,Toni Kroos,Germany,0.0,1.0,Ball Receipt*,Kai Havertz,Germany,True,65.8,False,False,False
30699,3942226,1,0,5,00:00:05.676,Ball Receipt*,Kai Havertz,Germany,Germany,74.1,35.5,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,3,1,0,10,2,2,0,Pass,Toni Kroos,Germany,0.0,3.0,Pass,Robin Aime Robert Le Normand,Spain,False,45.900000000000006,False,False,False
30700,3942226,1,0,5,00:00:05.676,Pass,Robin Aime Robert Le Normand,Spain,Germany,29.7,49.4,,0.483888,From Kick Off,,8.786353,Low Pass,Incomplete,-0.20632389,38.3,47.6,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,4,0,0,9,1,0,0,Ball Receipt*,Kai Havertz,Germany,0.0,5.0,Ball Recovery,Jamal Musiala,Germany,False,90.3,False,False,False
