event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,England_score,Switzerland_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
25809,3942227,1,0,0,00:00:00.000,Starting XI,,England,England,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,2,2,0,4,2,0,0,,,,,,Starting XI,,Switzerland,False,,False,,False
25810,3942227,1,0,0,00:00:00.000,Starting XI,,Switzerland,England,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,2,2,0,7,3,0,0,Starting XI,,England,0.0,0.0,Half Start,,England,False,,False,,False
25811,3942227,1,0,0,00:00:00.000,Half Start,,England,England,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,2,2,0,4,2,0,0,Starting XI,,Switzerland,0.0,0.0,Half Start,,Switzerland,False,,False,,False
25812,3942227,1,0,0,00:00:00.000,Half Start,,Switzerland,England,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,2,2,0,7,3,0,0,Half Start,,England,0.0,0.0,Pass,Kobbie Mainoo,England,False,,False,,False
25813,3942227,1,0,0,00:00:00.235,Pass,Kobbie Mainoo,England,England,60.0,40.0,,2.574634,From Kick Off,Jordan Pickford,36.239895,Ground Pass,,-3.0946658,23.8,38.3,,,,,False,,,,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,0,0,0,2,2,0,4,2,0,0,Half Start,,Switzerland,0.0,0.0,Ball Receipt*,Jordan Pickford,England,True,60.0,False,False,False
25814,3942227,1,0,2,00:00:02.809,Ball Receipt*,Jordan Pickford,England,England,23.8,38.3,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,2,2,0,4,2,0,0,Pass,Kobbie Mainoo,England,0.0,0.0,Carry,Jordan Pickford,England,True,96.2,False,False,False
25815,3942227,1,0,2,00:00:02.809,Carry,Jordan Pickford,England,England,23.8,38.3,,1.687195,From Kick Off,,,,,,,,,,,,False,28.9,37.7,5.135172830587104,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,2,2,0,4,2,0,0,Ball Receipt*,Jordan Pickford,England,0.0,2.0,Pass,Jordan Pickford,England,True,96.2,False,False,False
25816,3942227,1,0,4,00:00:04.496,Pass,Jordan Pickford,England,England,28.9,37.7,,5.953277,From Kick Off,,92.66655,High Pass,Out,0.47281724,111.4,79.9,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,2,2,0,4,2,0,0,Carry,Jordan Pickford,England,0.0,2.0,Pass,Ricardo Iván Rodríguez Araya,Switzerland,False,91.1,False,False,False
25817,3942227,1,0,24,00:00:24.205,Pass,Ricardo Iván Rodríguez Araya,Switzerland,Switzerland,12.0,0.1,,2.939023,From Throw In,Yann Sommer,32.41265,Low Pass,,1.6541938,9.3,32.4,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,2,2,0,7,3,0,0,Pass,Jordan Pickford,England,0.0,4.0,Ball Receipt*,Yann Sommer,Switzerland,True,108.0,False,False,False
25818,3942227,1,0,27,00:00:27.144,Ball Receipt*,Yann Sommer,Switzerland,Switzerland,9.3,32.4,,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,2,2,0,7,3,0,0,Pass,Ricardo Iván Rodríguez Araya,Switzerland,0.0,24.0,Carry,Yann Sommer,Switzerland,True,110.7,False,False,False
25819,3942227,1,0,27,00:00:27.144,Carry,Yann Sommer,Switzerland,Switzerland,9.3,32.4,True,0.159999,From Throw In,,,,,,,,,,,,False,10.2,32.5,0.9055385138137404,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,2,2,0,7,3,0,0,Ball Receipt*,Yann Sommer,Switzerland,0.0,27.0,Pressure,Jude Bellingham,England,False,110.7,False,False,False
