event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Portugal_score,France_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
13540,3942349,1,0,0,00:00:00.000,Starting XI,,Portugal,Portugal,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,2,1,1,5,3,0,0,,,,,,Starting XI,,France,False,,False,,False
13541,3942349,1,0,0,00:00:00.000,Starting XI,,France,Portugal,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,2,2,0,3,1,0,0,Starting XI,,Portugal,0.0,0.0,Half Start,,Portugal,False,,False,,False
13542,3942349,1,0,0,00:00:00.000,Half Start,,Portugal,Portugal,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,2,1,1,5,3,0,0,Starting XI,,France,0.0,0.0,Half Start,,France,False,,False,,False
13543,3942349,1,0,0,00:00:00.000,Half Start,,France,Portugal,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,2,2,0,3,1,0,0,Half Start,,Portugal,0.0,0.0,Pass,Antoine Griezmann,France,True,,False,,False
13544,3942349,1,0,0,00:00:00.455,Pass,Antoine Griezmann,France,France,60.0,40.0,,0.938508,From Kick Off,Aurélien Djani Tchouaméni,11.754574,Ground Pass,,-2.9792411,48.4,38.1,,,,,False,,,,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,2,2,0,3,1,0,0,Half Start,,France,0.0,0.0,Ball Receipt*,Aurélien Djani Tchouaméni,France,True,60.0,False,False,False
13545,3942349,1,0,1,00:00:01.394,Ball Receipt*,Aurélien Djani Tchouaméni,France,France,48.4,38.1,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 10, 'name': 'Center Defensive Midfield'}",,0,0,0,2,2,0,3,1,0,0,Pass,Antoine Griezmann,France,0.0,0.0,Carry,Aurélien Djani Tchouaméni,France,True,71.6,False,False,False
13546,3942349,1,0,1,00:00:01.394,Carry,Aurélien Djani Tchouaméni,France,France,48.4,38.1,,1.048531,From Kick Off,,,,,,,,,,,,False,47.9,37.4,0.860232526704265,,False,,"{'id': 10, 'name': 'Center Defensive Midfield'}",,0,0,0,2,2,0,3,1,0,0,Ball Receipt*,Aurélien Djani Tchouaméni,France,0.0,1.0,Pass,Aurélien Djani Tchouaméni,France,True,71.6,False,False,False
13547,3942349,1,0,2,00:00:02.442,Pass,Aurélien Djani Tchouaméni,France,France,47.9,37.4,,0.911355,From Kick Off,Eduardo Camavinga,8.811924,Ground Pass,,-1.4112446,49.3,28.7,,,,,False,,,,,False,,"{'id': 10, 'name': 'Center Defensive Midfield'}",,0,0,0,2,2,0,3,1,0,0,Carry,Aurélien Djani Tchouaméni,France,0.0,1.0,Ball Receipt*,Eduardo Camavinga,France,True,72.1,False,False,False
13548,3942349,1,0,3,00:00:03.354,Ball Receipt*,Eduardo Camavinga,France,France,49.3,28.7,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 15, 'name': 'Left Center Midfield'}",,0,0,0,2,2,0,3,1,0,0,Pass,Aurélien Djani Tchouaméni,France,0.0,2.0,Carry,Eduardo Camavinga,France,True,70.7,False,False,False
13549,3942349,1,0,3,00:00:03.354,Carry,Eduardo Camavinga,France,France,49.3,28.7,,1.509661,From Kick Off,,,,,,,,,,,,False,49.0,25.2,3.512833614050059,,False,,"{'id': 15, 'name': 'Left Center Midfield'}",,0,0,0,2,2,0,3,1,0,0,Ball Receipt*,Eduardo Camavinga,France,0.0,3.0,Pass,Eduardo Camavinga,France,True,70.7,False,False,False
13550,3942349,1,0,4,00:00:04.863,Pass,Eduardo Camavinga,France,France,49.0,25.2,,1.653205,From Kick Off,Dayotchanculle Upamecano,24.194422,Ground Pass,,2.0381408,38.1,46.8,,,,,False,,,,,False,,"{'id': 15, 'name': 'Left Center Midfield'}",,0,0,0,2,2,0,3,1,0,0,Carry,Eduardo Camavinga,France,0.0,3.0,Ball Receipt*,Dayotchanculle Upamecano,France,True,71.0,False,False,False
13551,3942349,1,0,6,00:00:06.517,Ball Receipt*,Dayotchanculle Upamecano,France,France,38.1,46.8,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,2,2,0,3,1,0,0,Pass,Eduardo Camavinga,France,0.0,4.0,Carry,Dayotchanculle Upamecano,France,True,81.9,False,False,False
13552,3942349,1,0,6,00:00:06.517,Carry,Dayotchanculle Upamecano,France,France,38.1,46.8,,1.081204,From Kick Off,,,,,,,,,,,,False,41.6,49.4,4.360045871318329,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,2,2,0,3,1,0,0,Ball Receipt*,Dayotchanculle Upamecano,France,0.0,6.0,Pass,Dayotchanculle Upamecano,France,True,81.9,False,False,False
13553,3942349,1,0,7,00:00:07.598,Pass,Dayotchanculle Upamecano,France,France,41.6,49.4,,0.882697,From Kick Off,N'Golo Kanté,8.415462,Ground Pass,,0.35181668,49.5,52.3,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,2,2,0,3,1,0,0,Carry,Dayotchanculle Upamecano,France,0.0,6.0,Ball Receipt*,N'Golo Kanté,France,True,78.4,False,False,False
13554,3942349,1,0,8,00:00:08.481,Ball Receipt*,N'Golo Kanté,France,France,49.5,52.3,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 13, 'name': 'Right Center Midfield'}",,0,0,0,2,2,0,3,1,0,0,Pass,Dayotchanculle Upamecano,France,0.0,7.0,Carry,N'Golo Kanté,France,True,70.5,False,False,False
13555,3942349,1,0,8,00:00:08.481,Carry,N'Golo Kanté,France,France,49.5,52.3,,1.197961,From Kick Off,,,,,,,,,,,,False,44.7,50.3,5.1999999999999975,,False,,"{'id': 13, 'name': 'Right Center Midfield'}",,0,0,0,2,2,0,3,1,0,0,Ball Receipt*,N'Golo Kanté,France,0.0,8.0,Pass,N'Golo Kanté,France,True,70.5,False,False,False
