event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Netherlands_score,Turkey_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
10125,3942382,1,0,0,00:00:00.000,Starting XI,,Netherlands,Netherlands,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,2,1,1,7,4,0,0,,,,,,Starting XI,,Turkey,False,,False,,False
10126,3942382,1,0,0,00:00:00.000,Starting XI,,Turkey,Netherlands,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,3,0,1,7,6,0,0,Starting XI,,Netherlands,0.0,0.0,Half Start,,Netherlands,False,,False,,False
10127,3942382,1,0,0,00:00:00.000,Half Start,,Netherlands,Netherlands,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,2,1,1,7,4,0,0,Starting XI,,Turkey,0.0,0.0,Half Start,,Turkey,False,,False,,False
10128,3942382,1,0,0,00:00:00.000,Half Start,,Turkey,Netherlands,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,3,0,1,7,6,0,0,Half Start,,Netherlands,0.0,0.0,Pass,Memphis Depay,Netherlands,False,,False,,False
10129,3942382,1,0,0,00:00:00.492,Pass,Memphis Depay,Netherlands,Netherlands,61.0,40.1,,1.475015,From Kick Off,Stefan de Vrij,25.014595,Ground Pass,,2.8286915,37.2,47.8,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,2,1,1,7,4,1,0,Half Start,,Turkey,0.0,0.0,Ball Receipt*,Stefan de Vrij,Netherlands,True,59.0,False,False,False
10130,3942382,1,0,1,00:00:01.967,Ball Receipt*,Stefan de Vrij,Netherlands,Netherlands,37.2,47.8,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,2,1,1,7,4,0,0,Pass,Memphis Depay,Netherlands,0.0,0.0,Carry,Stefan de Vrij,Netherlands,True,82.8,False,False,False
10131,3942382,1,0,1,00:00:01.967,Carry,Stefan de Vrij,Netherlands,Netherlands,37.2,47.8,,1.186571,From Kick Off,,,,,,,,,,,,False,39.5,48.4,2.37697286480094,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,2,1,1,7,4,0,0,Ball Receipt*,Stefan de Vrij,Netherlands,0.0,1.0,Pass,Stefan de Vrij,Netherlands,True,82.8,False,False,False
10132,3942382,1,0,3,00:00:03.153,Pass,Stefan de Vrij,Netherlands,Netherlands,39.5,48.4,,3.144103,From Kick Off,Cody Mathès Gakpo,69.18396,High Pass,Incomplete,-0.65419745,94.4,6.3,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,2,1,1,7,4,0,0,Carry,Stefan de Vrij,Netherlands,0.0,1.0,Ball Receipt*,Cody Mathès Gakpo,Netherlands,True,80.5,False,False,False
10133,3942382,1,0,6,00:00:06.297,Ball Receipt*,Cody Mathès Gakpo,Netherlands,Netherlands,77.6,4.5,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 21, 'name': 'Left Wing'}",,0,0,0,2,1,1,7,4,3,0,Pass,Stefan de Vrij,Netherlands,0.0,3.0,Duel,Cody Mathès Gakpo,Netherlands,True,42.400000000000006,False,False,False
10134,3942382,1,0,6,00:00:06.297,Duel,Cody Mathès Gakpo,Netherlands,Netherlands,94.4,6.3,True,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 21, 'name': 'Left Wing'}",,0,0,0,2,1,1,7,4,3,0,Ball Receipt*,Cody Mathès Gakpo,Netherlands,0.0,6.0,Clearance,Mert Müldür,Turkey,False,25.599999999999994,False,False,False
10135,3942382,1,0,6,00:00:06.297,Clearance,Mert Müldür,Turkey,Netherlands,25.7,73.8,True,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 7, 'name': 'Right Wing Back'}",,0,0,0,3,0,1,7,6,1,0,Duel,Cody Mathès Gakpo,Netherlands,0.0,6.0,Pass,Nathan Aké,Netherlands,False,94.3,False,False,False
10136,3942382,1,0,19,00:00:19.298,Pass,Nathan Aké,Netherlands,Netherlands,88.0,0.1,,1.745171,From Throw In,Memphis Depay,18.094475,High Pass,,0.2570424,105.5,4.7,,,,,False,,,,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,2,1,1,7,4,0,0,Clearance,Mert Müldür,Turkey,0.0,6.0,Pressure,Kaan Ayhan,Turkey,False,32.0,False,False,False
10137,3942382,1,0,20,00:00:20.797,Pressure,Kaan Ayhan,Turkey,Netherlands,13.9,70.8,,0.510013,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,3,0,1,7,6,0,0,Pass,Nathan Aké,Netherlands,0.0,19.0,Pressure,Mert Müldür,Turkey,True,106.1,False,False,False
10138,3942382,1,0,20,00:00:20.989,Pressure,Mert Müldür,Turkey,Netherlands,18.7,74.0,,0.628163,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 7, 'name': 'Right Wing Back'}",,0,0,0,3,0,1,7,6,1,0,Pressure,Kaan Ayhan,Turkey,0.0,20.0,Ball Receipt*,Memphis Depay,Netherlands,False,101.3,False,False,True
10139,3942382,1,0,21,00:00:21.043,Ball Receipt*,Memphis Depay,Netherlands,Netherlands,105.5,4.7,True,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,2,1,1,7,4,1,0,Pressure,Mert Müldür,Turkey,0.0,20.0,Carry,Memphis Depay,Netherlands,True,14.5,False,True,True
10140,3942382,1,0,21,00:00:21.043,Carry,Memphis Depay,Netherlands,Netherlands,105.5,4.7,True,0.444336,From Throw In,,,,,,,,,,,,False,106.1,4.9,0.6324555320336706,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,2,1,1,7,4,1,0,Ball Receipt*,Memphis Depay,Netherlands,0.0,21.0,Pass,Memphis Depay,Netherlands,True,14.5,False,True,False
10141,3942382,1,0,21,00:00:21.487,Pass,Memphis Depay,Netherlands,Netherlands,106.1,4.9,True,0.179553,From Throw In,Tijjani Reijnders,2.6925824,Ground Pass,Incomplete,2.5948038,103.8,6.3,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,2,1,1,7,4,1,0,Carry,Memphis Depay,Netherlands,0.0,21.0,Ball Receipt*,Tijjani Reijnders,Netherlands,True,13.900000000000006,False,True,False
10142,3942382,1,0,21,00:00:21.667,Ball Receipt*,Tijjani Reijnders,Netherlands,Netherlands,99.0,5.5,,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,2,1,1,7,4,0,0,Pass,Memphis Depay,Netherlands,0.0,21.0,Block,Mert Müldür,Turkey,False,21.0,False,True,False
10143,3942382,1,0,21,00:00:21.667,Block,Mert Müldür,Turkey,Netherlands,16.3,73.8,,0.0,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 7, 'name': 'Right Wing Back'}",,0,0,0,3,0,1,7,6,1,0,Ball Receipt*,Tijjani Reijnders,Netherlands,0.0,21.0,Ball Recovery,Hakan Çalhanoğlu,Turkey,True,103.7,False,False,False
10144,3942382,1,0,22,00:00:22.476,Ball Recovery,Hakan Çalhanoğlu,Turkey,Netherlands,18.1,69.6,,0.0,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,3,0,1,7,6,1,0,Block,Mert Müldür,Turkey,0.0,21.0,Carry,Hakan Çalhanoğlu,Turkey,True,101.9,False,False,False
